Orthogroup	Prav	Syaf
OG0000001	Prav.g_01458	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634
OG0000004	Prav.g_01293	Syaf.g_01455
OG0000004	Prav.g_00806	Syaf.g_02351, Syaf.g_02794
OG0000005	Prav.g_01774	Syaf.g_01017
OG0000005	Prav.g_01654	Syaf.g_01057
OG0000006	Prav.g_02001	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Prav.g_01095	Syaf.g_02702
OG0000007	Prav.g_01761	Syaf.g_01033
OG0000008	Prav.g_01749	Syaf.g_01479
OG0000008	Prav.g_01750	Syaf.g_01480
OG0000009	Prav.g_00170	Syaf.g_00905
OG0000010	Prav.g_00218	Syaf.g_02499
OG0000011	Prav.g_01014, Prav.g_01407	Syaf.g_01532
OG0000011	Prav.g_01334	Syaf.g_01483
OG0000012	Prav.g_01221	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Prav.g_01973	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Prav.g_01952	Syaf.g_00280
OG0000015	Prav.g_00363, Prav.g_00961	Syaf.g_02120, Syaf.g_02121
OG0000016	Prav.g_00081	Syaf.g_00484
OG0000016	Prav.g_01385	Syaf.g_01713
OG0000017	Prav.g_01194	Syaf.g_02561, Syaf.g_02554
OG0000018	Prav.g_00046	Syaf.g_02451
OG0000019	Prav.g_01896, Prav.g_00375	Syaf.g_00193
OG0000020	Prav.g_00014, Prav.g_01386	Syaf.g_02187
OG0000021	Prav.g_00984	Syaf.g_01726, Syaf.g_02773
OG0000022	Prav.g_00029	Syaf.g_02256
OG0000023	Prav.g_00979	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prav.g_00343, Prav.g_01273	Syaf.g_01484
OG0000025	Prav.g_01977, Prav.g_00431	Syaf.g_01385
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syaf.g_00461
OG0000027	Prav.g_01068, Prav.g_01416	Syaf.g_02284, Syaf.g_01688
OG0000028	Prav.g_01885, Prav.g_01966	Syaf.g_00297
OG0000029	Prav.g_00350	Syaf.g_01761
OG0000030	Prav.g_00699	Syaf.g_00406, Syaf.g_00407
OG0000034	Prav.g_01448	Syaf.g_01241, Syaf.g_00837
OG0000035	Prav.g_01578	Syaf.g_02412
OG0000037	Prav.g_00174	Syaf.g_00899
OG0000038	Prav.g_00739	Syaf.g_00642
OG0000039	Prav.g_01284	Syaf.g_01395
OG0000040	Prav.g_00045	Syaf.g_00558
OG0000041	Prav.g_01808	Syaf.g_01171, Syaf.g_01414
OG0000042	Prav.g_00696	Syaf.g_00403
OG0000045	Prav.g_00990	Syaf.g_00979
OG0000047	Prav.g_01976	Syaf.g_00030
OG0000048	Prav.g_00993	Syaf.g_00230
OG0000050	Prav.g_01013	Syaf.g_01770
OG0000053	Prav.g_01598	Syaf.g_02447
OG0000054	Prav.g_01202	Syaf.g_02376
OG0000055	Prav.g_00376	Syaf.g_01402
OG0000057	Prav.g_01296	Syaf.g_01665, Syaf.g_01452
OG0000059	Prav.g_00292	Syaf.g_00143
OG0000060	Prav.g_00964	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603
OG0000061	Prav.g_00065	Syaf.g_01288
OG0000062	Prav.g_01338	Syaf.g_02167
OG0000062	Prav.g_01656	Syaf.g_01055
OG0000063	Prav.g_00101	Syaf.g_00457
OG0000065	Prav.g_00172	Syaf.g_00903
OG0000066	Prav.g_01137	Syaf.g_02643
OG0000067	Prav.g_00397	Syaf.g_02049
OG0000068	Prav.g_01473	Syaf.g_02733
OG0000070	Prav.g_01049	Syaf.g_01237
OG0000071	Prav.g_01438	Syaf.g_01254
OG0000072	Prav.g_00867	Syaf.g_00805
OG0000073	Prav.g_01097	Syaf.g_02700
OG0000075	Prav.g_00665	Syaf.g_00353
OG0000076	Prav.g_00689	Syaf.g_00388
OG0000077	Prav.g_00143	Syaf.g_00951
OG0000078	Prav.g_00799	Syaf.g_02782
OG0000079	Prav.g_01899	Syaf.g_00197
OG0000081	Prav.g_01129	Syaf.g_02776
OG0000082	Prav.g_01182	Syaf.g_02576
OG0000084	Prav.g_01574	Syaf.g_02409
OG0000085	Prav.g_01754	Syaf.g_01048
OG0000086	Prav.g_00153	Syaf.g_00932
OG0000087	Prav.g_00204	Syaf.g_00848
OG0000088	Prav.g_00872	Syaf.g_00811
OG0000089	Prav.g_00975	Syaf.g_02807
OG0000090	Prav.g_01131	Syaf.g_02654
OG0000091	Prav.g_01240	Syaf.g_02302
OG0000093	Prav.g_01497	Syaf.g_01775
OG0000093	Prav.g_00525	Syaf.g_02065
OG0000094	Prav.g_00914	Syaf.g_01940
OG0000095	Prav.g_00933	Syaf.g_01442
OG0000097	Prav.g_01840	Syaf.g_01574
OG0000098	Prav.g_01455	Syaf.g_01637
OG0000099	Prav.g_01514	Syaf.g_00312
OG0000100	Prav.g_01652	Syaf.g_02017
OG0000101	Prav.g_00632	Syaf.g_00093
OG0000102	Prav.g_00694	Syaf.g_00393
OG0000103	Prav.g_00773	Syaf.g_00520
OG0000104	Prav.g_00782	Syaf.g_00502
OG0000105	Prav.g_01920	Syaf.g_00235
OG0000106	Prav.g_00989	Syaf.g_01745
OG0000107	Prav.g_01001	Syaf.g_00177, Syaf.g_00758
OG0000108	Prav.g_01078	Syaf.g_02721
OG0000109	Prav.g_01092	Syaf.g_02706
OG0000110	Prav.g_01172	Syaf.g_02589
OG0000111	Prav.g_01297	Syaf.g_01451
OG0000112	Prav.g_00364	Syaf.g_01852
OG0000113	Prav.g_00419	Syaf.g_02022
OG0000114	Prav.g_00499	Syaf.g_02103
OG0000115	Prav.g_00010	Syaf.g_02445
OG0000116	Prav.g_00055	Syaf.g_01276
OG0000117	Prav.g_01390	Syaf.g_01605
OG0000118	Prav.g_01450	Syaf.g_02544
OG0000120	Prav.g_01513	Syaf.g_00313
OG0000121	Prav.g_01580	Syaf.g_02419
OG0000123	Prav.g_00639	Syaf.g_00086
OG0000124	Prav.g_00705	Syaf.g_00414
OG0000125	Prav.g_00741	Syaf.g_00640
OG0000126	Prav.g_00781	Syaf.g_00504
OG0000128	Prav.g_00079	Syaf.g_00486
OG0000129	Prav.g_00115	Syaf.g_00651
OG0000130	Prav.g_00134	Syaf.g_00963
OG0000131	Prav.g_00212	Syaf.g_00833
OG0000132	Prav.g_00874	Syaf.g_00813
OG0000133	Prav.g_01968	Syaf.g_01857
OG0000134	Prav.g_00976	Syaf.g_02804
OG0000135	Prav.g_00999	Syaf.g_00605
OG0000136	Prav.g_01040	Syaf.g_01224
OG0000137	Prav.g_01073	Syaf.g_02498
OG0000138	Prav.g_01093	Syaf.g_02705
OG0000139	Prav.g_01135	Syaf.g_02648
OG0000140	Prav.g_01136	Syaf.g_02646
OG0000141	Prav.g_01203	Syaf.g_02375
OG0000142	Prav.g_01233	Syaf.g_02310
OG0000143	Prav.g_01237	Syaf.g_02306
OG0000144	Prav.g_01250	Syaf.g_01735
OG0000145	Prav.g_00362	Syaf.g_02699
OG0000146	Prav.g_00365	Syaf.g_01851
OG0000147	Prav.g_00366	Syaf.g_01850
OG0000148	Prav.g_00413	Syaf.g_02028
OG0000149	Prav.g_00443	Syaf.g_01371
OG0000150	Prav.g_00451	Syaf.g_02645
OG0000151	Prav.g_00509	Syaf.g_02091
OG0000152	Prav.g_00556	Syaf.g_01861
OG0000153	Prav.g_00575	Syaf.g_01904
OG0000154	Prav.g_00907	Syaf.g_01930
OG0000155	Prav.g_01861	Syaf.g_01324
OG0000156	Prav.g_01427	Syaf.g_01270
OG0000157	Prav.g_01428	Syaf.g_01269
OG0000158	Prav.g_01505	Syaf.g_00364
OG0000160	Prav.g_01579	Syaf.g_02418
OG0000161	Prav.g_01585	Syaf.g_02424
OG0000162	Prav.g_01591	Syaf.g_02431
OG0000163	Prav.g_01625	Syaf.g_01105
OG0000164	Prav.g_01785	Syaf.g_00999
OG0000165	Prav.g_01792	Syaf.g_01197
OG0000166	Prav.g_00596	Syaf.g_00133
OG0000167	Prav.g_00663	Syaf.g_00350
OG0000168	Prav.g_00673	Syaf.g_00365
OG0000169	Prav.g_00683	Syaf.g_00376
OG0000170	Prav.g_00685	Syaf.g_00383
OG0000171	Prav.g_00704	Syaf.g_00413
OG0000172	Prav.g_00712	Syaf.g_00419
OG0000173	Prav.g_00727	Syaf.g_00438
OG0000174	Prav.g_00755	Syaf.g_00603
OG0000175	Prav.g_00765	Syaf.g_00531
OG0000176	Prav.g_00790	Syaf.g_00494
OG0000177	Prav.g_00791	Syaf.g_00493
OG0000178	Prav.g_00792	Syaf.g_00492
OG0000179	Prav.g_00084	Syaf.g_00477
OG0000180	Prav.g_00085	Syaf.g_00476
OG0000181	Prav.g_00086	Syaf.g_00475
OG0000182	Prav.g_00087	Syaf.g_00474
OG0000183	Prav.g_00091	Syaf.g_00470
OG0000184	Prav.g_00117	Syaf.g_00664
OG0000185	Prav.g_00120	Syaf.g_00684
OG0000186	Prav.g_00129	Syaf.g_00968
OG0000187	Prav.g_00130	Syaf.g_00966
OG0000188	Prav.g_00147	Syaf.g_00944
OG0000189	Prav.g_00161	Syaf.g_00916
OG0000190	Prav.g_00162	Syaf.g_00914
OG0000191	Prav.g_00182	Syaf.g_00877
OG0000192	Prav.g_00186	Syaf.g_00871
OG0000193	Prav.g_00213	Syaf.g_00832
OG0000194	Prav.g_00216	Syaf.g_00829
OG0000195	Prav.g_00887	Syaf.g_00827
OG0000196	Prav.g_00877	Syaf.g_00816
OG0000197	Prav.g_00876	Syaf.g_00815
OG0000198	Prav.g_00875	Syaf.g_00814
OG0000199	Prav.g_00868	Syaf.g_00806
OG0000200	Prav.g_00854	Syaf.g_00789
OG0000201	Prav.g_00846	Syaf.g_00771
OG0000202	Prav.g_00845	Syaf.g_00770
OG0000203	Prav.g_00844	Syaf.g_00769
