Orthogroup	Prav	Praf
OG0000000	Prav.g_01736, Prav.g_01415	Praf.g_00815, Praf.g_00814
OG0000000	Prav.g_01695, Prav.g_00973	Praf.g_00813
OG0000000	Prav.g_01730, Prav.g_01715	Praf.g_01039, Praf.g_01042
OG0000001	Prav.g_01458	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000002	Prav.g_01466	Praf.g_01631
OG0000002	Prav.g_01276	Praf.g_00948
OG0000004	Prav.g_01293	Praf.g_01121
OG0000004	Prav.g_00806	Praf.g_00743
OG0000005	Prav.g_01654	Praf.g_00503
OG0000006	Prav.g_02001	Praf.g_00396, Praf.g_01719
OG0000007	Prav.g_01095	Praf.g_00614
OG0000007	Prav.g_01761	Praf.g_00480
OG0000008	Prav.g_01749	Praf.g_01223
OG0000008	Prav.g_01750	Praf.g_01224
OG0000009	Prav.g_00170	Praf.g_01768, Praf.g_00246
OG0000010	Prav.g_00218	Praf.g_01908
OG0000011	Prav.g_01014, Prav.g_01407	Praf.g_01188, Praf.g_01190
OG0000012	Prav.g_01221	Praf.g_01668
OG0000013	Prav.g_01973	Praf.g_02073
OG0000014	Prav.g_01952	Praf.g_02319
OG0000015	Prav.g_00363, Prav.g_00961	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prav.g_00081	Praf.g_00014
OG0000017	Prav.g_01194	Praf.g_00752, Praf.g_00760
OG0000018	Prav.g_00046	Praf.g_01832
OG0000019	Prav.g_01896, Prav.g_00375	Praf.g_00943, Praf.g_02214
OG0000020	Prav.g_01386	Praf.g_01095
OG0000021	Prav.g_00984	Praf.g_00946, Praf.g_01089, Praf.g_00746
OG0000022	Prav.g_00029	Praf.g_00965
OG0000022	Prav.g_00360	Praf.g_00201
OG0000024	Prav.g_00343, Prav.g_01273	Praf.g_01139
OG0000025	Prav.g_01977, Prav.g_00431	Praf.g_01591
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Praf.g_00037
OG0000028	Prav.g_01966	Praf.g_02333
OG0000029	Prav.g_00350	Praf.g_02091
OG0000030	Prav.g_00699	Praf.g_00160, Praf.g_00159
OG0000032	Prav.g_01499	Praf.g_02346
OG0000034	Prav.g_01448	Praf.g_00783
OG0000035	Prav.g_01578	Praf.g_01794
OG0000037	Prav.g_00174	Praf.g_00240
OG0000038	Prav.g_00739	Praf.g_02660, Praf.g_02662
OG0000039	Prav.g_01284	Praf.g_00406, Praf.g_02541
OG0000041	Prav.g_01808	Praf.g_00426
OG0000042	Prav.g_00696	Praf.g_00164, Praf.g_00920
OG0000047	Prav.g_01976	Praf.g_01864
OG0000048	Prav.g_00993	Praf.g_02267
OG0000050	Prav.g_00247	Praf.g_01105
OG0000053	Prav.g_01598	Praf.g_01828
OG0000054	Prav.g_01202	Praf.g_00763
OG0000055	Prav.g_00376	Praf.g_01257
OG0000056	Prav.g_00106, Prav.g_00107, Prav.g_01421	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620, Praf.g_02084, Praf.g_01964, Praf.g_01881
OG0000057	Prav.g_01296	Praf.g_01125
OG0000059	Prav.g_00292	Praf.g_02172
OG0000060	Prav.g_00964	Praf.g_00592
OG0000061	Prav.g_00065	Praf.g_00854
OG0000062	Prav.g_01338	Praf.g_01047
OG0000062	Prav.g_01656	Praf.g_00501
OG0000063	Prav.g_00101	Praf.g_00041
OG0000065	Prav.g_00172	Praf.g_00244
OG0000066	Prav.g_01137	Praf.g_00672
OG0000067	Prav.g_00397	Praf.g_01530
OG0000068	Prav.g_01473	Praf.g_00585, Praf.g_00583
OG0000070	Prav.g_01049	Praf.g_01962
OG0000071	Prav.g_01438	Praf.g_00796
OG0000072	Prav.g_00867	Praf.g_02469
OG0000073	Prav.g_01097	Praf.g_00616
OG0000075	Prav.g_00665	Praf.g_02384
OG0000076	Prav.g_00689	Praf.g_00178
OG0000077	Prav.g_00143	Praf.g_00309
OG0000078	Prav.g_00799	Praf.g_00391
OG0000079	Prav.g_01899	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Prav.g_01129	Praf.g_01131
OG0000082	Prav.g_01182	Praf.g_00731
OG0000084	Prav.g_01574	Praf.g_01790
OG0000085	Prav.g_01754	Praf.g_00491
OG0000086	Prav.g_00153	Praf.g_00297
OG0000087	Prav.g_00204	Praf.g_02420
OG0000088	Prav.g_00872	Praf.g_02454, Praf.g_01239
OG0000089	Prav.g_00975	Praf.g_02015
OG0000090	Prav.g_01131	Praf.g_00660
OG0000091	Prav.g_01240	Praf.g_01700
OG0000093	Prav.g_00525	Praf.g_01503
OG0000094	Prav.g_00914	Praf.g_02685
OG0000095	Prav.g_00933	Praf.g_01274
OG0000097	Prav.g_01840	Praf.g_00905
OG0000098	Prav.g_01455	Praf.g_01886
OG0000099	Prav.g_01514	Praf.g_02342
OG0000100	Prav.g_01652	Praf.g_00370, Praf.g_01561
OG0000101	Prav.g_00632	Praf.g_02119
OG0000102	Prav.g_00694	Praf.g_00173
OG0000103	Prav.g_00773	Praf.g_02765
OG0000104	Prav.g_00782	Praf.g_02779
OG0000105	Prav.g_01920	Praf.g_02271
OG0000106	Prav.g_00989	Praf.g_00496
OG0000107	Prav.g_01001	Praf.g_02201
OG0000108	Prav.g_01078	Praf.g_00595
OG0000109	Prav.g_01092	Praf.g_00611
OG0000110	Prav.g_01172	Praf.g_00718
OG0000111	Prav.g_01297	Praf.g_01126
OG0000112	Prav.g_00364	Praf.g_01400
OG0000113	Prav.g_00419	Praf.g_01556
OG0000114	Prav.g_00499	Praf.g_01461
OG0000115	Prav.g_00010	Praf.g_01825
OG0000116	Prav.g_00055	Praf.g_00825
OG0000117	Prav.g_01390	Praf.g_00919
OG0000118	Prav.g_01450	Praf.g_00779
OG0000119	Prav.g_01469	Praf.g_01108, Praf.g_01143
OG0000120	Prav.g_01513	Praf.g_02343
OG0000121	Prav.g_01580	Praf.g_01796
OG0000122	Prav.g_01618	Praf.g_00976
OG0000123	Prav.g_00639	Praf.g_02108
OG0000124	Prav.g_00705	Praf.g_00153
OG0000125	Prav.g_00741	Praf.g_02664
OG0000126	Prav.g_00781	Praf.g_02777
OG0000128	Prav.g_00079	Praf.g_00012
OG0000129	Prav.g_00115	Praf.g_02652
OG0000130	Prav.g_00134	Praf.g_00321
OG0000131	Prav.g_00212	Praf.g_02432
OG0000132	Prav.g_00874	Praf.g_02452
OG0000133	Prav.g_01968	Praf.g_02336
OG0000134	Prav.g_00976	Praf.g_02012
OG0000135	Prav.g_00999	Praf.g_02705, Praf.g_02715
OG0000136	Prav.g_01040	Praf.g_01984
OG0000137	Prav.g_01073	Praf.g_01907
