Orthogroup	Prav	Syac
OG0000001	Prav.g_01458	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prav.g_01466, Prav.g_01276	Syac.g_01084
OG0000004	Prav.g_01293	Syac.g_00898
OG0000004	Prav.g_00806	Syac.g_00948, Syac.g_01975
OG0000005	Prav.g_01774	Syac.g_00527
OG0000005	Prav.g_01654	Syac.g_00569
OG0000006	Prav.g_02001	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prav.g_01095	Syac.g_01885
OG0000007	Prav.g_01761	Syac.g_00544
OG0000008	Prav.g_01749	Syac.g_00921
OG0000008	Prav.g_01750	Syac.g_00922
OG0000009	Prav.g_00170	Syac.g_01004, Syac.g_00398
OG0000010	Prav.g_00218	Syac.g_01701
OG0000011	Prav.g_01334	Syac.g_00924
OG0000012	Prav.g_01221	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Prav.g_01973	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prav.g_01952	Syac.g_00253
OG0000015	Prav.g_00363, Prav.g_00961	Syac.g_01408
OG0000016	Prav.g_00081	Syac.g_00014
OG0000016	Prav.g_01385	Syac.g_01053
OG0000017	Prav.g_01194	Syac.g_01749, Syac.g_01742
OG0000018	Prav.g_00046	Syac.g_01660
OG0000019	Prav.g_01896, Prav.g_00375	Syac.g_02207
OG0000022	Prav.g_00029	Syac.g_01031
OG0000023	Prav.g_00979	Syac.g_00760
OG0000024	Prav.g_00343, Prav.g_01273	Syac.g_00925
OG0000025	Prav.g_01977, Prav.g_00431	Syac.g_00847
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syac.g_00034
OG0000027	Prav.g_01068, Prav.g_01416	Syac.g_01095, Syac.g_01009
OG0000028	Prav.g_01885, Prav.g_01966	Syac.g_00237
OG0000029	Prav.g_00350	Syac.g_01942
OG0000030	Prav.g_00699	Syac.g_00143, Syac.g_00142
OG0000034	Prav.g_01448	Syac.g_00334, Syac.g_00715
OG0000035	Prav.g_01578	Syac.g_01630
OG0000037	Prav.g_00174	Syac.g_01077
OG0000038	Prav.g_00739	Syac.g_02357, Syac.g_02358
OG0000039	Prav.g_01284	Syac.g_00856, Syac.g_02378
OG0000040	Prav.g_01720	Syac.g_01006
OG0000040	Prav.g_00045	Syac.g_02437
OG0000041	Prav.g_01808	Syac.g_00655, Syac.g_00876
OG0000042	Prav.g_00696	Syac.g_00146
OG0000045	Prav.g_00990	Syac.g_01040
OG0000047	Prav.g_01976	Syac.g_02031
OG0000048	Prav.g_00993	Syac.g_02240
OG0000050	Prav.g_00247	Syac.g_01937
OG0000051	Prav.g_01410	Syac.g_01073
OG0000053	Prav.g_01598	Syac.g_01657
OG0000054	Prav.g_01202	Syac.g_00933, Syac.g_01050
OG0000055	Prav.g_00376	Syac.g_01034, Syac.g_00859
OG0000057	Prav.g_01296	Syac.g_00894
OG0000059	Prav.g_00292	Syac.g_02142
OG0000060	Prav.g_00964	Syac.g_01909
OG0000061	Prav.g_00065	Syac.g_00769
OG0000062	Prav.g_01656	Syac.g_00567
OG0000063	Prav.g_00101	Syac.g_00037
OG0000065	Prav.g_00172	Syac.g_00396, Syac.g_00490
OG0000066	Prav.g_01137	Syac.g_01827
OG0000067	Prav.g_00397	Syac.g_01341
OG0000068	Prav.g_01473	Syac.g_01916
OG0000069	Prav.g_01881, Prav.g_01689	Syac.g_01272
OG0000070	Prav.g_01049	Syac.g_00711
OG0000071	Prav.g_01438	Syac.g_01049, Syac.g_00729
OG0000072	Prav.g_00867	Syac.g_00302
OG0000073	Prav.g_01097	Syac.g_01883
OG0000075	Prav.g_00665	Syac.g_00191
OG0000076	Prav.g_00689	Syac.g_00156
OG0000077	Prav.g_00143	Syac.g_00439
OG0000078	Prav.g_00799	Syac.g_01964
OG0000079	Prav.g_01899	Syac.g_02211
OG0000081	Prav.g_01129	Syac.g_01954, Syac.g_00461
OG0000082	Prav.g_01182	Syac.g_01766
OG0000084	Prav.g_01574	Syac.g_00822, Syac.g_01627
OG0000085	Prav.g_01754	Syac.g_00560
OG0000086	Prav.g_00153	Syac.g_00423
OG0000087	Prav.g_00204	Syac.g_00343
OG0000088	Prav.g_00872	Syac.g_00308
OG0000089	Prav.g_00975	Syac.g_01988, Syac.g_01543
OG0000090	Prav.g_01131	Syac.g_01836
OG0000091	Prav.g_01240	Syac.g_00987
OG0000093	Prav.g_00525	Syac.g_01357
OG0000094	Prav.g_00914	Syac.g_01251
OG0000095	Prav.g_00933	Syac.g_00884
OG0000097	Prav.g_01840	Syac.g_01507
OG0000098	Prav.g_01455	Syac.g_02157
OG0000099	Prav.g_01514	Syac.g_00234
OG0000100	Prav.g_01652	Syac.g_01309
OG0000101	Prav.g_00632	Syac.g_02094
OG0000102	Prav.g_00694	Syac.g_00151
OG0000103	Prav.g_00773	Syac.g_02476
OG0000104	Prav.g_00782	Syac.g_02490
OG0000105	Prav.g_01920	Syac.g_02245
OG0000106	Prav.g_00989	Syac.g_01098
OG0000107	Prav.g_01001	Syac.g_02191
OG0000108	Prav.g_01078	Syac.g_01904
OG0000109	Prav.g_01092	Syac.g_01889
OG0000110	Prav.g_01172	Syac.g_01778
OG0000111	Prav.g_01297	Syac.g_00893
OG0000112	Prav.g_00364	Syac.g_01173
OG0000113	Prav.g_00419	Syac.g_01314
OG0000114	Prav.g_00499	Syac.g_01394
OG0000115	Prav.g_00010	Syac.g_01655
OG0000116	Prav.g_00055	Syac.g_00753
OG0000117	Prav.g_01390	Syac.g_01477
OG0000118	Prav.g_01450	Syac.g_01728
OG0000120	Prav.g_01513	Syac.g_00233
OG0000121	Prav.g_01580	Syac.g_01635
OG0000122	Prav.g_01618	Syac.g_01013
OG0000123	Prav.g_00639	Syac.g_02086
OG0000124	Prav.g_00705	Syac.g_00135
OG0000125	Prav.g_00741	Syac.g_02360
OG0000126	Prav.g_00781	Syac.g_02488
OG0000128	Prav.g_00079	Syac.g_00012
OG0000129	Prav.g_00115	Syac.g_02349
OG0000130	Prav.g_00134	Syac.g_00450
OG0000131	Prav.g_00212	Syac.g_00330
OG0000132	Prav.g_00874	Syac.g_00310
OG0000133	Prav.g_01968	Syac.g_01178
OG0000134	Prav.g_00976	Syac.g_01985
OG0000135	Prav.g_00999	Syac.g_02398
OG0000136	Prav.g_01040	Syac.g_00701
OG0000137	Prav.g_01073	Syac.g_01700
OG0000138	Prav.g_01093	Syac.g_01888
OG0000139	Prav.g_01135	Syac.g_01830
OG0000140	Prav.g_01136	Syac.g_01829
OG0000141	Prav.g_01203	Syac.g_00934
OG0000142	Prav.g_01233	Syac.g_00979
OG0000143	Prav.g_01237	Syac.g_00983
OG0000144	Prav.g_01250	Syac.g_01090
OG0000145	Prav.g_00362	Syac.g_01882
OG0000146	Prav.g_00365	Syac.g_01172
OG0000147	Prav.g_00366	Syac.g_01171
OG0000148	Prav.g_00413	Syac.g_01320
OG0000149	Prav.g_00443	Syac.g_00832
OG0000150	Prav.g_00451	Syac.g_00935
OG0000151	Prav.g_00509	Syac.g_01383
OG0000152	Prav.g_00556	Syac.g_01182
OG0000153	Prav.g_00575	Syac.g_01217
OG0000154	Prav.g_00907	Syac.g_01241
OG0000155	Prav.g_01861	Syac.g_00804
OG0000156	Prav.g_01427	Syac.g_00743
OG0000157	Prav.g_01428	Syac.g_00742
OG0000158	Prav.g_01505	Syac.g_00182
OG0000160	Prav.g_01579	Syac.g_01633
OG0000161	Prav.g_01585	Syac.g_01641
OG0000162	Prav.g_01591	Syac.g_01648
OG0000163	Prav.g_01625	Syac.g_00619
OG0000164	Prav.g_01785	Syac.g_00508
OG0000165	Prav.g_01792	Syac.g_00674
OG0000166	Prav.g_00596	Syac.g_02132
OG0000167	Prav.g_00663	Syac.g_00194
OG0000168	Prav.g_00673	Syac.g_00179
OG0000169	Prav.g_00683	Syac.g_00168
OG0000170	Prav.g_00685	Syac.g_00161
OG0000171	Prav.g_00704	Syac.g_00136
OG0000172	Prav.g_00712	Syac.g_00084
OG0000173	Prav.g_00727	Syac.g_00057
OG0000174	Prav.g_00755	Syac.g_02401
OG0000175	Prav.g_00765	Syac.g_02465
OG0000176	Prav.g_00790	Syac.g_00004
OG0000177	Prav.g_00791	Syac.g_00005
OG0000178	Prav.g_00792	Syac.g_00006
OG0000179	Prav.g_00084	Syac.g_00019
OG0000180	Prav.g_00085	Syac.g_00020
OG0000181	Prav.g_00086	Syac.g_00021
OG0000182	Prav.g_00087	Syac.g_00022
