Orthogroup	Prav	Syao
OG0000001	Prav.g_01458	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prav.g_01293	Syao.g_02374
OG0000004	Prav.g_00806	Syao.g_01271, Syao.g_01007
OG0000005	Prav.g_01774	Syao.g_01680
OG0000005	Prav.g_01654	Syao.g_01578
OG0000006	Prav.g_02001	Syao.g_00919, Syao.g_01518
OG0000007	Prav.g_01095	Syao.g_00105
OG0000007	Prav.g_01761	Syao.g_01554
OG0000008	Prav.g_01750	Syao.g_01321
OG0000009	Prav.g_00170	Syao.g_02598
OG0000010	Prav.g_00218	Syao.g_02683
OG0000011	Prav.g_01334	Syao.g_01282
OG0000012	Prav.g_01221	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prav.g_01973	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prav.g_01952	Syao.g_02027
OG0000015	Prav.g_00363, Prav.g_00961	Syao.g_02339, Syao.g_00302
OG0000016	Prav.g_00081	Syao.g_01955
OG0000017	Prav.g_01194	Syao.g_00997, Syao.g_01064
OG0000018	Prav.g_00046	Syao.g_00071
OG0000019	Prav.g_01896, Prav.g_00375	Syao.g_02108
OG0000021	Prav.g_00984	Syao.g_01002
OG0000022	Prav.g_00029	Syao.g_01218
OG0000023	Prav.g_00979	Syao.g_01266
OG0000025	Prav.g_01977, Prav.g_00431	Syao.g_00436, Syao.g_00437
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syao.g_02234
OG0000027	Prav.g_01068, Prav.g_01416	Syao.g_01286, Syao.g_00202
OG0000028	Prav.g_01885, Prav.g_01966	Syao.g_02012
OG0000030	Prav.g_00699	Syao.g_02189, Syao.g_02188
OG0000032	Prav.g_01499	Syao.g_01984, Syao.g_01983, Syao.g_01135
OG0000035	Prav.g_01578	Syao.g_01483, Syao.g_01486
OG0000037	Prav.g_00174	Syao.g_00374
OG0000038	Prav.g_00739	Syao.g_02440, Syao.g_02442
OG0000039	Prav.g_01284	Syao.g_00704
OG0000040	Prav.g_00045	Syao.g_00711
OG0000041	Prav.g_01808	Syao.g_00509, Syao.g_01637
OG0000042	Prav.g_00696	Syao.g_00019, Syao.g_01941
OG0000045	Prav.g_00990	Syao.g_00148
OG0000048	Prav.g_00993	Syao.g_02077
OG0000052	Prav.g_01533	Syao.g_01085
OG0000053	Prav.g_01598	Syao.g_00067
OG0000054	Prav.g_01202	Syao.g_00295, Syao.g_00625
OG0000055	Prav.g_00376	Syao.g_00498
OG0000057	Prav.g_01296	Syao.g_00377
OG0000059	Prav.g_00292	Syao.g_01801
OG0000060	Prav.g_00964	Syao.g_00312
OG0000061	Prav.g_00065	Syao.g_00123
OG0000062	Prav.g_01656	Syao.g_01576
OG0000063	Prav.g_00101	Syao.g_02230
OG0000065	Prav.g_00172	Syao.g_02600
OG0000066	Prav.g_01137	Syao.g_01422
OG0000067	Prav.g_00397	Syao.g_00756
OG0000068	Prav.g_01473	Syao.g_00868, Syao.g_00036
OG0000069	Prav.g_01881, Prav.g_01689	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prav.g_01049	Syao.g_00330
OG0000071	Prav.g_01438	Syao.g_01433
OG0000072	Prav.g_00867	Syao.g_02509, Syao.g_01749
OG0000073	Prav.g_01097	Syao.g_00103
OG0000075	Prav.g_00665	Syao.g_02257
OG0000076	Prav.g_00689	Syao.g_01949
OG0000077	Prav.g_00143	Syao.g_02629
OG0000078	Prav.g_00799	Syao.g_01709
OG0000079	Prav.g_01899	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prav.g_01182	Syao.g_01035
OG0000084	Prav.g_01574	Syao.g_01509, Syao.g_02606
OG0000085	Prav.g_01754	Syao.g_01569
OG0000086	Prav.g_00153	Syao.g_02653, Syao.g_01240
OG0000087	Prav.g_00204	Syao.g_02555
OG0000088	Prav.g_00872	Syao.g_02503
OG0000089	Prav.g_00975	Syao.g_01716
OG0000090	Prav.g_01131	Syao.g_01412
OG0000091	Prav.g_01240	Syao.g_00902
OG0000092	Prav.g_01735	Syao.g_00656
OG0000093	Prav.g_00525	Syao.g_00739
OG0000094	Prav.g_00914	Syao.g_00458
OG0000095	Prav.g_00933	Syao.g_00331
OG0000097	Prav.g_01840	Syao.g_00973
OG0000098	Prav.g_01455	Syao.g_01374
OG0000099	Prav.g_01514	Syao.g_02019
OG0000100	Prav.g_01652	Syao.g_00787
OG0000101	Prav.g_00632	Syao.g_01840
OG0000102	Prav.g_00694	Syao.g_01945
OG0000103	Prav.g_00773	Syao.g_02340
OG0000104	Prav.g_00782	Syao.g_02157
OG0000105	Prav.g_01920	Syao.g_02071, Syao.g_02072
OG0000106	Prav.g_00989	Syao.g_01385
OG0000107	Prav.g_01001	Syao.g_01935
OG0000108	Prav.g_01078	Syao.g_00028
OG0000109	Prav.g_01092	Syao.g_00110
OG0000110	Prav.g_01172	Syao.g_01051
OG0000111	Prav.g_01297	Syao.g_00378
OG0000112	Prav.g_00364	Syao.g_00683, Syao.g_00303
OG0000113	Prav.g_00419	Syao.g_00782
OG0000114	Prav.g_00499	Syao.g_00965
OG0000115	Prav.g_00010	Syao.g_01464, Syao.g_00065
OG0000116	Prav.g_00055	Syao.g_00137
OG0000117	Prav.g_01390	Syao.g_00169
OG0000118	Prav.g_01450	Syao.g_01475
OG0000120	Prav.g_01513	Syao.g_02009
OG0000121	Prav.g_01580	Syao.g_01489
OG0000122	Prav.g_01618	Syao.g_01247
OG0000123	Prav.g_00639	Syao.g_01832
OG0000124	Prav.g_00705	Syao.g_02179
OG0000125	Prav.g_00741	Syao.g_02444
OG0000126	Prav.g_00781	Syao.g_02198
OG0000127	Prav.g_00965	Syao.g_01312
OG0000128	Prav.g_00079	Syao.g_02149
OG0000129	Prav.g_00115	Syao.g_02434
OG0000130	Prav.g_00134	Syao.g_02617
OG0000131	Prav.g_00212	Syao.g_02480
OG0000132	Prav.g_00874	Syao.g_02501
OG0000133	Prav.g_01968	Syao.g_00678
OG0000134	Prav.g_00976	Syao.g_01719
OG0000135	Prav.g_00999	Syao.g_00147
OG0000136	Prav.g_01040	Syao.g_01614, Syao.g_01613
OG0000137	Prav.g_01073	Syao.g_02682
OG0000138	Prav.g_01093	Syao.g_00108
OG0000139	Prav.g_01135	Syao.g_01418, Syao.g_02005
OG0000140	Prav.g_01136	Syao.g_01373, Syao.g_01372
OG0000141	Prav.g_01203	Syao.g_01202
OG0000142	Prav.g_01233	Syao.g_00894
OG0000143	Prav.g_01237	Syao.g_00898
OG0000145	Prav.g_00362	Syao.g_00102
OG0000146	Prav.g_00365	Syao.g_00684, Syao.g_00304
OG0000147	Prav.g_00366	Syao.g_00305, Syao.g_00685
OG0000148	Prav.g_00413	Syao.g_00776
OG0000149	Prav.g_00443	Syao.g_00534
OG0000150	Prav.g_00451	Syao.g_01203
OG0000151	Prav.g_00509	Syao.g_00975
OG0000152	Prav.g_00556	Syao.g_00674
OG0000153	Prav.g_00575	Syao.g_00818, Syao.g_01176
OG0000154	Prav.g_00907	Syao.g_00447
OG0000155	Prav.g_01861	Syao.g_00178
OG0000156	Prav.g_01427	Syao.g_00151
OG0000157	Prav.g_01428	Syao.g_00152
OG0000158	Prav.g_01505	Syao.g_01141, Syao.g_02267
OG0000159	Prav.g_01506	Syao.g_02276
OG0000160	Prav.g_01579	Syao.g_01488
OG0000161	Prav.g_01585	Syao.g_01494
OG0000162	Prav.g_01591	Syao.g_01515
OG0000163	Prav.g_01625	Syao.g_01745
OG0000164	Prav.g_01785	Syao.g_01663
OG0000165	Prav.g_01792	Syao.g_01655
OG0000166	Prav.g_00596	Syao.g_01790
OG0000167	Prav.g_00663	Syao.g_01960
OG0000168	Prav.g_00673	Syao.g_02128
OG0000169	Prav.g_00683	Syao.g_02139
OG0000170	Prav.g_00685	Syao.g_02148
OG0000171	Prav.g_00704	Syao.g_02181
OG0000172	Prav.g_00712	Syao.g_02170
OG0000173	Prav.g_00727	Syao.g_02212
OG0000174	Prav.g_00755	Syao.g_02364, Syao.g_02355
OG0000175	Prav.g_00765	Syao.g_02327, Syao.g_00308
OG0000176	Prav.g_00790	Syao.g_02165
OG0000177	Prav.g_00791	Syao.g_02156
OG0000178	Prav.g_00792	Syao.g_02155
OG0000179	Prav.g_00084	Syao.g_02250
OG0000180	Prav.g_00085	Syao.g_02249
OG0000181	Prav.g_00086	Syao.g_02248
OG0000182	Prav.g_00087	Syao.g_02247
OG0000183	Prav.g_00091	Syao.g_02243
OG0000184	Prav.g_00117	Syao.g_02423
OG0000185	Prav.g_00120	Syao.g_02410
OG0000186	Prav.g_00129	Syao.g_02613
OG0000187	Prav.g_00130	Syao.g_02615
OG0000188	Prav.g_00147	Syao.g_02637
OG0000189	Prav.g_00161	Syao.g_02672
OG0000190	Prav.g_00162	Syao.g_01015
OG0000191	Prav.g_00182	Syao.g_02573
OG0000192	Prav.g_00186	Syao.g_02579
OG0000193	Prav.g_00213	Syao.g_02481
OG0000194	Prav.g_00216	Syao.g_02484
OG0000195	Prav.g_00887	Syao.g_02486
OG0000196	Prav.g_00877	Syao.g_02498
OG0000197	Prav.g_00876	Syao.g_02499
OG0000198	Prav.g_00875	Syao.g_02500
OG0000199	Prav.g_00868	Syao.g_02508
OG0000200	Prav.g_00854	Syao.g_02524
OG0000201	Prav.g_00846	Syao.g_02540
OG0000202	Prav.g_00845	Syao.g_02454
OG0000203	Prav.g_00844	Syao.g_02455
OG0000204	Prav.g_00843	Syao.g_02456
OG0000205	Prav.g_00836	Syao.g_02464
OG0000206	Prav.g_00831	Syao.g_02469
OG0000207	Prav.g_00829	Syao.g_02471
OG0000208	Prav.g_00828	Syao.g_02472
OG0000209	Prav.g_00819	Syao.g_02394
OG0000210	Prav.g_00818	Syao.g_02395
OG0000211	Prav.g_00805	Syao.g_01700
OG0000212	Prav.g_00798	Syao.g_01710
OG0000213	Prav.g_01904	Syao.g_02098
OG0000214	Prav.g_01914	Syao.g_02081
OG0000215	Prav.g_01938	Syao.g_02050
OG0000216	Prav.g_01940	Syao.g_02045
OG0000217	Prav.g_01943	Syao.g_02041
OG0000218	Prav.g_01945	Syao.g_02039
OG0000219	Prav.g_01946	Syao.g_02038
OG0000220	Prav.g_01947	Syao.g_02037
OG0000221	Prav.g_01948	Syao.g_02034
OG0000222	Prav.g_01956	Syao.g_02023
OG0000223	Prav.g_01969	Syao.g_00291
OG0000224	Prav.g_01971	Syao.g_01973
OG0000225	Prav.g_01992	Syao.g_01751
OG0000226	Prav.g_01996	Syao.g_01758
OG0000227	Prav.g_01998	Syao.g_01760
OG0000228	Prav.g_00974	Syao.g_01715
OG0000229	Prav.g_01035	Syao.g_01736
OG0000230	Prav.g_01037	Syao.g_01738
OG0000231	Prav.g_01048	Syao.g_01513
OG0000232	Prav.g_01056	Syao.g_00057
OG0000233	Prav.g_01061	Syao.g_02698
