Orthogroup	Prav	Syae
OG0000001	Prav.g_01458	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prav.g_01293	Syae.g_00779
OG0000004	Prav.g_00806	Syae.g_00042, Syae.g_02231
OG0000005	Prav.g_01774	Syae.g_01179
OG0000005	Prav.g_01654	Syae.g_01143
OG0000006	Prav.g_02001	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prav.g_01095	Syae.g_02328
OG0000007	Prav.g_01761	Syae.g_01163
OG0000008	Prav.g_01749	Syae.g_00753
OG0000008	Prav.g_01750	Syae.g_00752
OG0000009	Prav.g_01688	Syae.g_00561, Syae.g_00171
OG0000009	Prav.g_00170	Syae.g_00100, Syae.g_01361
OG0000010	Prav.g_00218	Syae.g_02529
OG0000011	Prav.g_01014, Prav.g_01407	Syae.g_00268
OG0000011	Prav.g_01334	Syae.g_00750
OG0000012	Prav.g_01221	Syae.g_00049, Syae.g_02397, Syae.g_02562
OG0000013	Prav.g_01973	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prav.g_01952	Syae.g_01930
OG0000015	Prav.g_00363, Prav.g_00961	Syae.g_01693, Syae.g_00590
OG0000016	Prav.g_00081	Syae.g_01726
OG0000016	Prav.g_01385	Syae.g_00233
OG0000017	Prav.g_01194	Syae.g_02462, Syae.g_02469
OG0000018	Prav.g_00046	Syae.g_02625
OG0000019	Prav.g_01896, Prav.g_00375	Syae.g_02015
OG0000021	Prav.g_00984	Syae.g_01261, Syae.g_00481
OG0000022	Prav.g_00029	Syae.g_00144
OG0000023	Prav.g_00979	Syae.g_00439, Syae.g_00930
OG0000025	Prav.g_01977, Prav.g_00431	Syae.g_00833
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syae.g_01748
OG0000027	Prav.g_01068, Prav.g_01416	Syae.g_00103, Syae.g_00814
OG0000028	Prav.g_01885, Prav.g_01966	Syae.g_01916
OG0000029	Prav.g_00350	Syae.g_00136
OG0000030	Prav.g_00699	Syae.g_01817, Syae.g_01816
OG0000034	Prav.g_01448	Syae.g_00975, Syae.g_01424
OG0000035	Prav.g_01578	Syae.g_02653
OG0000037	Prav.g_00174	Syae.g_01367
OG0000038	Prav.g_00739	Syae.g_01571
OG0000039	Prav.g_01284	Syae.g_00822, Syae.g_02495
OG0000040	Prav.g_00045	Syae.g_01653
OG0000041	Prav.g_01808	Syae.g_01042, Syae.g_00802
OG0000042	Prav.g_00696	Syae.g_01821
OG0000047	Prav.g_01976	Syae.g_02184
OG0000048	Prav.g_00993	Syae.g_01982
OG0000050	Prav.g_01013	Syae.g_00122
OG0000050	Prav.g_00247	Syae.g_01023
OG0000051	Prav.g_01410	Syae.g_00438
OG0000052	Prav.g_01533	Syae.g_01224
OG0000053	Prav.g_01598	Syae.g_02629
OG0000054	Prav.g_01202	Syae.g_00014, Syae.g_00221
OG0000055	Prav.g_00376	Syae.g_00817
OG0000057	Prav.g_01296	Syae.g_00782
OG0000059	Prav.g_00292	Syae.g_02074
OG0000060	Prav.g_00964	Syae.g_02514, Syae.g_02306, Syae.g_00649
OG0000061	Prav.g_00065	Syae.g_00921
OG0000062	Prav.g_01656	Syae.g_01145
OG0000063	Prav.g_00101	Syae.g_01752
OG0000065	Prav.g_00172	Syae.g_01363, Syae.g_00722
OG0000066	Prav.g_01137	Syae.g_02386
OG0000067	Prav.g_00397	Syae.g_00521
OG0000068	Prav.g_01473	Syae.g_02299
OG0000069	Prav.g_01881, Prav.g_01689	Syae.g_00458
OG0000070	Prav.g_01049	Syae.g_00979
OG0000071	Prav.g_01438	Syae.g_00961
OG0000072	Prav.g_00867	Syae.g_01455
OG0000073	Prav.g_01097	Syae.g_02330
OG0000074	Prav.g_01280	Syae.g_00719
OG0000075	Prav.g_00665	Syae.g_01871
OG0000076	Prav.g_00689	Syae.g_01829
OG0000077	Prav.g_00143	Syae.g_01297
OG0000078	Prav.g_00799	Syae.g_02243
OG0000079	Prav.g_01899	Syae.g_02011
OG0000081	Prav.g_01129	Syae.g_02261
OG0000082	Prav.g_01182	Syae.g_02447
OG0000084	Prav.g_01574	Syae.g_00857, Syae.g_02656
OG0000085	Prav.g_01754	Syae.g_01152
OG0000086	Prav.g_00153	Syae.g_01333
OG0000087	Prav.g_00204	Syae.g_01414
OG0000088	Prav.g_00872	Syae.g_01449
OG0000089	Prav.g_00975	Syae.g_02219
OG0000090	Prav.g_01131	Syae.g_02374
OG0000091	Prav.g_01240	Syae.g_00082
OG0000092	Prav.g_01735	Syae.g_00884
OG0000093	Prav.g_00525	Syae.g_00537
OG0000094	Prav.g_00914	Syae.g_00430
OG0000095	Prav.g_00933	Syae.g_00793, Syae.g_00259, Syae.g_01624
OG0000097	Prav.g_01840	Syae.g_00683
OG0000098	Prav.g_01455	Syae.g_02384, Syae.g_02058
OG0000099	Prav.g_01514	Syae.g_01913, Syae.g_01226
OG0000100	Prav.g_01652	Syae.g_00489
OG0000101	Prav.g_00632	Syae.g_02125
OG0000102	Prav.g_00694	Syae.g_01824
OG0000103	Prav.g_00773	Syae.g_01694
OG0000104	Prav.g_00782	Syae.g_01708
OG0000105	Prav.g_01920	Syae.g_01977
OG0000106	Prav.g_00989	Syae.g_00272
OG0000107	Prav.g_01001	Syae.g_02032
OG0000108	Prav.g_01078	Syae.g_02309
OG0000109	Prav.g_01092	Syae.g_02324
OG0000110	Prav.g_01172	Syae.g_02435
OG0000111	Prav.g_01297	Syae.g_00783
OG0000112	Prav.g_00364	Syae.g_00351
OG0000113	Prav.g_00419	Syae.g_00494
OG0000114	Prav.g_00499	Syae.g_00575
OG0000115	Prav.g_00010	Syae.g_02631
OG0000116	Prav.g_00055	Syae.g_00939
OG0000117	Prav.g_01390	Syae.g_00647
OG0000118	Prav.g_01450	Syae.g_02479
OG0000119	Prav.g_01469	Syae.g_00904
OG0000120	Prav.g_01513	Syae.g_01912
OG0000121	Prav.g_01580	Syae.g_02649
OG0000122	Prav.g_01618	Syae.g_00112
OG0000123	Prav.g_00639	Syae.g_02131
OG0000124	Prav.g_00705	Syae.g_01809
OG0000125	Prav.g_00741	Syae.g_01573
OG0000126	Prav.g_00781	Syae.g_01706
OG0000128	Prav.g_00079	Syae.g_01724
OG0000129	Prav.g_00115	Syae.g_01562
OG0000130	Prav.g_00134	Syae.g_01284
OG0000131	Prav.g_00212	Syae.g_01428
OG0000132	Prav.g_00874	Syae.g_01447
OG0000133	Prav.g_01968	Syae.g_00356
OG0000134	Prav.g_00976	Syae.g_02222
OG0000135	Prav.g_00999	Syae.g_01608
OG0000136	Prav.g_01040	Syae.g_00989
OG0000137	Prav.g_01073	Syae.g_02530
OG0000138	Prav.g_01093	Syae.g_02325
OG0000139	Prav.g_01135	Syae.g_02380
OG0000140	Prav.g_01136	Syae.g_02383
OG0000141	Prav.g_01203	Syae.g_00016
OG0000142	Prav.g_01233	Syae.g_00074
OG0000143	Prav.g_01237	Syae.g_00078
OG0000144	Prav.g_01250	Syae.g_00261
OG0000145	Prav.g_00362	Syae.g_02331
OG0000146	Prav.g_00365	Syae.g_00350
OG0000147	Prav.g_00366	Syae.g_00349
OG0000148	Prav.g_00413	Syae.g_00500
OG0000149	Prav.g_00443	Syae.g_00847
OG0000150	Prav.g_00451	Syae.g_00017
OG0000151	Prav.g_00509	Syae.g_00563
OG0000152	Prav.g_00556	Syae.g_00360
OG0000153	Prav.g_00575	Syae.g_00394
OG0000154	Prav.g_00907	Syae.g_00420
OG0000155	Prav.g_01861	Syae.g_00885
OG0000156	Prav.g_01427	Syae.g_00945
OG0000157	Prav.g_01428	Syae.g_00946
OG0000158	Prav.g_01505	Syae.g_01858
OG0000160	Prav.g_01579	Syae.g_02650
OG0000161	Prav.g_01585	Syae.g_02644
OG0000162	Prav.g_01591	Syae.g_02638
OG0000163	Prav.g_01625	Syae.g_01092
OG0000164	Prav.g_01785	Syae.g_01198
OG0000165	Prav.g_01792	Syae.g_01021
