Orthogroup	Prav	Syai
OG0000001	Prav.g_01458	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prav.g_01466, Prav.g_01276	Syai.g_01728
OG0000004	Prav.g_01293	Syai.g_01994
OG0000004	Prav.g_00806	Syai.g_01062, Syai.g_00530
OG0000005	Prav.g_01774	Syai.g_02393
OG0000005	Prav.g_01654	Syai.g_02356
OG0000006	Prav.g_02001	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prav.g_01095	Syai.g_00657
OG0000007	Prav.g_01761	Syai.g_02378
OG0000008	Prav.g_01749	Syai.g_01956
OG0000008	Prav.g_01750	Syai.g_01955
OG0000009	Prav.g_01688	Syai.g_01626
OG0000009	Prav.g_00170	Syai.g_02541
OG0000010	Prav.g_00218	Syai.g_00864
OG0000011	Prav.g_01014, Prav.g_01407	Syai.g_01894, Syai.g_00582
OG0000011	Prav.g_01334	Syai.g_01952
OG0000012	Prav.g_01221	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Prav.g_01973	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prav.g_01952	Syai.g_00220
OG0000015	Prav.g_00363, Prav.g_00961	Syai.g_01246, Syai.g_01245
OG0000016	Prav.g_00081	Syai.g_00014
OG0000016	Prav.g_01385	Syai.g_01632
OG0000017	Prav.g_01194	Syai.g_00801, Syai.g_00808
OG0000018	Prav.g_00046	Syai.g_00915
OG0000019	Prav.g_01896, Prav.g_00375	Syai.g_00304
OG0000020	Prav.g_00014, Prav.g_01386	Syai.g_00476
OG0000021	Prav.g_00984	Syai.g_00556
OG0000022	Prav.g_00029	Syai.g_01159
OG0000023	Prav.g_00979	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prav.g_00343, Prav.g_01273	Syai.g_01951
OG0000025	Prav.g_01977, Prav.g_00431	Syai.g_02044
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syai.g_00038
OG0000027	Prav.g_01068, Prav.g_01416	Syai.g_01128, Syai.g_01654
OG0000028	Prav.g_01885, Prav.g_01966	Syai.g_00205
OG0000029	Prav.g_00350	Syai.g_01035, Syai.g_01584
OG0000030	Prav.g_00699	Syai.g_00096, Syai.g_00095
