Orthogroup	Prav	Syad
OG0000001	Prav.g_01458	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Prav.g_01466, Prav.g_01276	Syad.g_00619
OG0000004	Prav.g_01293	Syad.g_01304
OG0000004	Prav.g_00806	Syad.g_02184, Syad.g_00810
OG0000005	Prav.g_01774	Syad.g_02639
OG0000005	Prav.g_01654	Syad.g_02596
OG0000006	Prav.g_02001	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prav.g_01095	Syad.g_00923
OG0000007	Prav.g_01761	Syad.g_02623
OG0000008	Prav.g_01750	Syad.g_01371
OG0000009	Prav.g_01688	Syad.g_01952, Syad.g_00868
OG0000009	Prav.g_00170	Syad.g_02799
OG0000010	Prav.g_00218	Syad.g_02354
OG0000011	Prav.g_01014, Prav.g_01407	Syad.g_02006
OG0000012	Prav.g_01221	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Prav.g_01973	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prav.g_01952	Syad.g_00480
OG0000015	Prav.g_00363, Prav.g_00961	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prav.g_00081	Syad.g_00176
OG0000016	Prav.g_01385	Syad.g_02065
OG0000017	Prav.g_01194	Syad.g_01084, Syad.g_01091
OG0000018	Prav.g_00046	Syad.g_02306
OG0000019	Prav.g_01896, Prav.g_00375	Syad.g_00569
OG0000020	Prav.g_00014, Prav.g_01386	Syad.g_00845
OG0000021	Prav.g_00984	Syad.g_01835, Syad.g_00874
OG0000022	Prav.g_00029	Syad.g_02090
OG0000023	Prav.g_00979	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prav.g_00343, Prav.g_01273	Syad.g_01374
OG0000025	Prav.g_01977, Prav.g_00431	Syad.g_01241
OG0000026	Prav.g_01324, Prav.g_00099, Prav.g_00226	Syad.g_00198
OG0000027	Prav.g_01068, Prav.g_01416	Syad.g_01257
OG0000028	Prav.g_01885, Prav.g_01966	Syad.g_00463
OG0000029	Prav.g_00350	Syad.g_02099
OG0000030	Prav.g_00699	Syad.g_00328, Syad.g_00327
OG0000034	Prav.g_01448	Syad.g_02420, Syad.g_02872
OG0000035	Prav.g_01578	Syad.g_02275
OG0000037	Prav.g_00174	Syad.g_02805
OG0000038	Prav.g_00739	Syad.g_03038
OG0000039	Prav.g_01284	Syad.g_01249, Syad.g_01111
OG0000040	Prav.g_00045	Syad.g_00104
OG0000041	Prav.g_01808	Syad.g_02498, Syad.g_01281
OG0000042	Prav.g_00696	Syad.g_00333
OG0000047	Prav.g_01976	Syad.g_00754
OG0000048	Prav.g_00993	Syad.g_00534
OG0000050	Prav.g_01013	Syad.g_02114
OG0000050	Prav.g_00247	Syad.g_02478
OG0000051	Prav.g_01410	Syad.g_00842
OG0000053	Prav.g_01598	Syad.g_02302
OG0000054	Prav.g_01202	Syad.g_02209
OG0000055	Prav.g_00376	Syad.g_01255
OG0000056	Prav.g_00106, Prav.g_00107, Prav.g_01421	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691
