Orthogroup	Prak	Prba
OG0000000	Prak.g_01562	Prba.g_00243, Prba.g_00269
OG0000000	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prba.g_00003, Prba.g_00270
OG0000001	Prak.g_00908, Prak.g_00913	Prba.g_00203
OG0000001	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207	Prba.g_01639
OG0000002	Prak.g_00755	Prba.g_01081, Prba.g_01080
OG0000002	Prak.g_01302	Prba.g_00211
OG0000004	Prak.g_01210	Prba.g_01172, Prba.g_00268
OG0000005	Prak.g_01251	Prba.g_01563
OG0000006	Prak.g_00702	Prba.g_01157, Prba.g_01550, Prba.g_00734
OG0000008	Prak.g_00458	Prba.g_00964
OG0000008	Prak.g_01645	Prba.g_00226
OG0000010	Prak.g_01196	Prba.g_01519
OG0000010	Prak.g_00266	Prba.g_00468
OG0000011	Prak.g_01735	Prba.g_00869
OG0000011	Prak.g_01576, Prak.g_01534	Prba.g_01551
OG0000012	Prak.g_00289	Prba.g_01213
OG0000013	Prak.g_01486	Prba.g_00276, Prba.g_01893
OG0000015	Prak.g_00385	Prba.g_00913
OG0000016	Prak.g_01584, Prak.g_01630	Prba.g_01538
OG0000017	Prak.g_01564, Prak.g_01521	Prba.g_01175, Prba.g_00991
OG0000018	Prak.g_00559, Prak.g_00566	Prba.g_01719
OG0000019	Prak.g_01606, Prak.g_01573	Prba.g_00876
OG0000020	Prak.g_01226, Prak.g_01488	Prba.g_00200
OG0000022	Prak.g_00258	Prba.g_00460
OG0000023	Prak.g_00831	Prba.g_00245, Prba.g_00858
OG0000024	Prak.g_01522, Prak.g_01218	Prba.g_01164
OG0000025	Prak.g_01038, Prak.g_00802	Prba.g_01558
OG0000028	Prak.g_01544	Prba.g_01131
OG0000029	Prak.g_01221, Prak.g_01619	Prba.g_01518
OG0000030	Prak.g_01627	Prba.g_01517
OG0000031	Prak.g_01850	Prba.g_00775
OG0000034	Prak.g_01391	Prba.g_00713
OG0000035	Prak.g_00416	Prba.g_00275
OG0000036	Prak.g_01498	Prba.g_00737
OG0000038	Prak.g_01350	Prba.g_00173
OG0000041	Prak.g_00584, Prak.g_01506	Prba.g_01694
OG0000043	Prak.g_00709	Prba.g_01409
OG0000045	Prak.g_01634, Prak.g_00546	Prba.g_01731
OG0000046	Prak.g_01482	Prba.g_01543
OG0000047	Prak.g_01172	Prba.g_00064
OG0000049	Prak.g_01351	Prba.g_00153
OG0000050	Prak.g_00178	Prba.g_00622
OG0000051	Prak.g_00721	Prba.g_00854
OG0000053	Prak.g_00837	Prba.g_01594
OG0000054	Prak.g_01516, Prak.g_01637	Prba.g_00233
OG0000055	Prak.g_01842	Prba.g_00768
OG0000056	Prak.g_00032	Prba.g_01824
OG0000057	Prak.g_00169	Prba.g_01945
OG0000058	Prak.g_00687	Prba.g_00864
OG0000059	Prak.g_00498, Prak.g_01557	Prba.g_00922
OG0000062	Prak.g_00868	Prba.g_01477
OG0000065	Prak.g_00253	Prba.g_00456
OG0000066	Prak.g_00436	Prba.g_00986
OG0000067	Prak.g_00829	Prba.g_01619
OG0000070	Prak.g_00920	Prba.g_01264
OG0000071	Prak.g_01145	Prba.g_01135
OG0000072	Prak.g_01277	Prba.g_01192
OG0000074	Prak.g_01349	Prba.g_00175
OG0000075	Prak.g_01780	Prba.g_00429
OG0000076	Prak.g_01430	Prba.g_00149
OG0000077	Prak.g_00011	Prba.g_01804
OG0000078	Prak.g_00339	Prba.g_00538
OG0000079	Prak.g_01259	Prba.g_00877
OG0000080	Prak.g_01072	Prba.g_01648
OG0000081	Prak.g_00819	Prba.g_01626
OG0000082	Prak.g_00852	Prba.g_01492
OG0000083	Prak.g_01193	Prba.g_01427
OG0000084	Prak.g_00973	Prba.g_01337
OG0000085	Prak.g_01217	Prba.g_01216
OG0000086	Prak.g_01550	Prba.g_00097
OG0000087	Prak.g_01561	Prba.g_00242
OG0000090	Prak.g_01352	Prba.g_00155
OG0000091	Prak.g_01399	Prba.g_00705
OG0000092	Prak.g_00661	Prba.g_00261
OG0000093	Prak.g_01732	Prba.g_00381
OG0000094	Prak.g_01776	Prba.g_00426
OG0000095	Prak.g_01814	Prba.g_01069
OG0000096	Prak.g_01887	Prba.g_00813
OG0000098	Prak.g_00003	Prba.g_01796
OG0000099	Prak.g_00023	Prba.g_01816
OG0000101	Prak.g_00052	Prba.g_01843
OG0000102	Prak.g_00121	Prba.g_01901
OG0000103	Prak.g_00130	Prba.g_01909
OG0000104	Prak.g_00147	Prba.g_01927
OG0000105	Prak.g_00182	Prba.g_00626
OG0000106	Prak.g_00196	Prba.g_00640
OG0000107	Prak.g_00205	Prba.g_00648
OG0000108	Prak.g_00215	Prba.g_00658
OG0000109	Prak.g_00256	Prba.g_00458
OG0000110	Prak.g_00268	Prba.g_00470
OG0000111	Prak.g_00292	Prba.g_00491
OG0000113	Prak.g_00316	Prba.g_00513
OG0000114	Prak.g_00342	Prba.g_00541
OG0000115	Prak.g_00435	Prba.g_00987
OG0000116	Prak.g_00437	Prba.g_00985
OG0000117	Prak.g_00441	Prba.g_00981
OG0000118	Prak.g_00461	Prba.g_00962
OG0000119	Prak.g_00491	Prba.g_00929
OG0000120	Prak.g_00492	Prba.g_00928
OG0000121	Prak.g_00502	Prba.g_01772
OG0000122	Prak.g_00512	Prba.g_01763
OG0000123	Prak.g_00544	Prba.g_01732
OG0000124	Prak.g_01091	Prba.g_01666
OG0000125	Prak.g_01090	Prba.g_01665
OG0000126	Prak.g_01089	Prba.g_01664
OG0000127	Prak.g_00814	Prba.g_01631
OG0000128	Prak.g_00839	Prba.g_01592
OG0000129	Prak.g_01040	Prba.g_01572
OG0000130	Prak.g_00937	Prba.g_01514
OG0000131	Prak.g_00843	Prba.g_01501
OG0000132	Prak.g_00880	Prba.g_01465
OG0000133	Prak.g_00787	Prba.g_01379
OG0000134	Prak.g_01071	Prba.g_01369
OG0000135	Prak.g_00977	Prba.g_01333
OG0000136	Prak.g_00923	Prba.g_01267
OG0000137	Prak.g_01553	Prba.g_00094
OG0000139	Prak.g_01166	Prba.g_00057
OG0000140	Prak.g_00594	Prba.g_00006
OG0000141	Prak.g_01487	Prba.g_01084
OG0000142	Prak.g_01290	Prba.g_01204
OG0000143	Prak.g_01329	Prba.g_00196
OG0000144	Prak.g_01379	Prba.g_00110
OG0000145	Prak.g_01392	Prba.g_00712
OG0000146	Prak.g_01428	Prba.g_00676, Prba.g_00351
OG0000147	Prak.g_01475	Prba.g_00311
OG0000148	Prak.g_01476	Prba.g_00310
OG0000149	Prak.g_01642	Prba.g_00228
OG0000150	Prak.g_01681	Prba.g_00584
OG0000151	Prak.g_01684	Prba.g_00581
OG0000152	Prak.g_01704	Prba.g_00352
