Orthogroup	Prak	Prax
OG0000000	Prak.g_01562	Prax.g_01608, Prax.g_00496
OG0000000	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prax.g_00259, Prax.g_01609
OG0000001	Prak.g_00908, Prak.g_00913	Prax.g_01870
OG0000001	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207	Prax.g_00964
OG0000002	Prak.g_00755	Prax.g_00522
OG0000002	Prak.g_01302	Prax.g_01878
OG0000004	Prak.g_01210	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000005	Prak.g_01251	Prax.g_00437
OG0000006	Prak.g_00702	Prax.g_01936, Prax.g_00500, Prax.g_00424, Prax.g_00141
OG0000008	Prak.g_00458	Prax.g_00704
OG0000008	Prak.g_01645	Prax.g_01559
OG0000010	Prak.g_01196	Prax.g_00393
OG0000010	Prak.g_00266	Prax.g_00926
OG0000011	Prak.g_01735	Prax.g_00798
OG0000011	Prak.g_01576, Prak.g_01534	Prax.g_00425
OG0000012	Prak.g_01264	Prax.g_00173
OG0000013	Prak.g_01486	Prax.g_01617
OG0000016	Prak.g_01584, Prak.g_01630	Prax.g_00523
OG0000017	Prak.g_01564, Prak.g_01521	Prax.g_01916
OG0000018	Prak.g_00559, Prak.g_00566	Prax.g_00057
OG0000019	Prak.g_01606, Prak.g_01573	Prax.g_00793
OG0000020	Prak.g_01226, Prak.g_01488	Prax.g_01867
OG0000022	Prak.g_00258	Prax.g_01972
OG0000023	Prak.g_00831	Prax.g_01587, Prax.g_00808
OG0000024	Prak.g_01522, Prak.g_01218	Prax.g_01931
OG0000025	Prak.g_01038, Prak.g_00802	Prax.g_00432
OG0000029	Prak.g_01221, Prak.g_01619	Prax.g_00392
OG0000030	Prak.g_01627	Prax.g_00391
OG0000031	Prak.g_01850	Prax.g_01401
OG0000034	Prak.g_01391	Prax.g_01733, Prax.g_01728
OG0000035	Prak.g_00416	Prax.g_01616
OG0000036	Prak.g_01498	Prax.g_00138
OG0000041	Prak.g_00584, Prak.g_01506	Prax.g_00082
OG0000045	Prak.g_01634, Prak.g_00546	Prax.g_00045
OG0000046	Prak.g_01482	Prax.g_00415
OG0000047	Prak.g_01172	Prax.g_00200
OG0000049	Prak.g_01351	Prax.g_01823
OG0000050	Prak.g_00178	Prax.g_01052
OG0000051	Prak.g_00721	Prax.g_00813
OG0000053	Prak.g_00837	Prax.g_00485
OG0000054	Prak.g_01516, Prak.g_01637	Prax.g_01566
OG0000055	Prak.g_01842	Prax.g_01394
OG0000056	Prak.g_00032	Prax.g_00282, Prax.g_00458
OG0000057	Prak.g_00169	Prax.g_01061
OG0000058	Prak.g_00687	Prax.g_00803
OG0000059	Prak.g_00498, Prak.g_01557	Prax.g_00662
OG0000060	Prak.g_01050	Prax.g_00452
OG0000061	Prak.g_00601	Prax.g_00457
OG0000062	Prak.g_00868	Prax.g_00351
OG0000065	Prak.g_00253	Prax.g_00981, Prax.g_01581
OG0000066	Prak.g_00436	Prax.g_00727
OG0000067	Prak.g_00829	Prax.g_00944
OG0000070	Prak.g_00920	Prax.g_01204
OG0000071	Prak.g_01145	Prax.g_01959
OG0000072	Prak.g_01277	Prax.g_01899
OG0000074	Prak.g_01349	Prax.g_01832
