Orthogroup	Prak	Pran
OG0000000	Prak.g_01562	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prak.g_01578, Prak.g_01563, Prak.g_01209	Pran.g_00579, Pran.g_00001, Pran.g_00602
OG0000001	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207	Pran.g_01500
OG0000002	Prak.g_00755	Pran.g_01395
OG0000004	Prak.g_01210	Pran.g_00894, Pran.g_00580
OG0000005	Prak.g_01251	Pran.g_01436
OG0000006	Prak.g_00702	Pran.g_00603, Pran.g_00114
OG0000008	Prak.g_00458	Pran.g_01681
OG0000008	Prak.g_01645	Pran.g_00970
OG0000010	Prak.g_01196	Pran.g_01363
OG0000010	Prak.g_00266	Pran.g_01943
OG0000011	Prak.g_01576, Prak.g_01534	Pran.g_01410
OG0000012	Prak.g_00289	Pran.g_00132
OG0000012	Prak.g_01264	Pran.g_01772
OG0000013	Prak.g_01486	Pran.g_00615, Pran.g_00328
OG0000014	Prak.g_00325	Pran.g_00754, Pran.g_00755
OG0000016	Prak.g_01584, Prak.g_01630	Pran.g_01394
OG0000017	Prak.g_01564, Prak.g_01521	Pran.g_00583
OG0000018	Prak.g_00559, Prak.g_00566	Pran.g_01580
OG0000019	Prak.g_01606, Prak.g_01573	Pran.g_01813
OG0000020	Prak.g_01226, Prak.g_01488	Pran.g_00845
OG0000021	Prak.g_01412, Prak.g_01590	Pran.g_00713
OG0000022	Prak.g_00258	Pran.g_01951
OG0000023	Prak.g_00831	Pran.g_01829
OG0000025	Prak.g_01038, Prak.g_00802	Pran.g_01420
OG0000028	Prak.g_01544	Pran.g_00642
OG0000029	Prak.g_01221, Prak.g_01619	Pran.g_01362
OG0000030	Prak.g_01627	Pran.g_01361
OG0000031	Prak.g_01850	Pran.g_01167
OG0000034	Prak.g_01391	Pran.g_00733
OG0000035	Prak.g_00416	Pran.g_00614
OG0000036	Prak.g_01498	Pran.g_00117
OG0000038	Prak.g_01350	Pran.g_00753
OG0000039	Prak.g_01230, Prak.g_00013	Pran.g_00620
OG0000041	Prak.g_00584, Prak.g_01506	Pran.g_01555
OG0000043	Prak.g_00709	Pran.g_00415
OG0000045	Prak.g_01634, Prak.g_00546	Pran.g_01593
OG0000046	Prak.g_01482	Pran.g_01401
OG0000047	Prak.g_01172	Pran.g_00060
OG0000048	Prak.g_00058	Pran.g_00777
OG0000049	Prak.g_01351	Pran.g_00807
OG0000050	Prak.g_00178	Pran.g_00266
OG0000051	Prak.g_00721	Pran.g_01834
OG0000052	Prak.g_01603, Prak.g_01609	Pran.g_01778
OG0000053	Prak.g_00837	Pran.g_01460
OG0000054	Prak.g_01516, Prak.g_01637	Pran.g_00963
OG0000055	Prak.g_01842	Pran.g_01160
OG0000056	Prak.g_00032	Pran.g_00393, Pran.g_00930
OG0000057	Prak.g_00169	Pran.g_00275
OG0000058	Prak.g_00687	Pran.g_01824
OG0000059	Prak.g_00498, Prak.g_01557	Pran.g_01639
OG0000060	Prak.g_01050	Pran.g_01447
OG0000061	Prak.g_00601	Pran.g_01379
OG0000062	Prak.g_00868	Pran.g_01321
OG0000063	Prak.g_01228	Pran.g_00935
OG0000065	Prak.g_00253	Pran.g_00195
OG0000066	Prak.g_00436	Pran.g_01703
OG0000067	Prak.g_00829	Pran.g_01480
OG0000070	Prak.g_00920	Pran.g_00903, Pran.g_00568
OG0000071	Prak.g_01145	Pran.g_01466
OG0000072	Prak.g_01277	Pran.g_00938, Pran.g_00876
OG0000074	Prak.g_01349	Pran.g_00752
OG0000075	Prak.g_01780	Pran.g_01105
OG0000077	Prak.g_00011	Pran.g_01268
OG0000078	Prak.g_00339	Pran.g_01872
OG0000079	Prak.g_01259	Pran.g_01812
OG0000080	Prak.g_01072	Pran.g_01509
OG0000081	Prak.g_00819	Pran.g_01487
OG0000082	Prak.g_00852	Pran.g_01336
OG0000083	Prak.g_01193	Pran.g_00179
OG0000084	Prak.g_00973	Pran.g_00487
OG0000085	Prak.g_01217	Pran.g_00135
OG0000086	Prak.g_01550	Pran.g_00093
OG0000090	Prak.g_01352	Pran.g_00806
OG0000091	Prak.g_01399	Pran.g_00725, Pran.g_00787
OG0000092	Prak.g_00661	Pran.g_00575, Pran.g_00912
OG0000094	Prak.g_01776	Pran.g_01102
OG0000095	Prak.g_01814	Pran.g_01135
OG0000096	Prak.g_01887	Pran.g_01204
OG0000097	Prak.g_00656	Pran.g_01222
OG0000098	Prak.g_00003	Pran.g_01260
OG0000099	Prak.g_00023	Pran.g_00401
OG0000101	Prak.g_00052	Pran.g_00376
OG0000102	Prak.g_00121	Pran.g_00320
OG0000103	Prak.g_00130	Pran.g_00312
OG0000104	Prak.g_00147	Pran.g_00295
OG0000105	Prak.g_00182	Pran.g_00262
OG0000106	Prak.g_00196	Pran.g_00248
OG0000107	Prak.g_00205	Pran.g_00240
OG0000108	Prak.g_00215	Pran.g_00230
OG0000109	Prak.g_00256	Pran.g_00194
OG0000110	Prak.g_00268	Pran.g_01941
OG0000111	Prak.g_00292	Pran.g_01920
OG0000113	Prak.g_00316	Pran.g_01897
OG0000114	Prak.g_00342	Pran.g_01869
OG0000115	Prak.g_00435	Pran.g_01704
OG0000116	Prak.g_00437	Pran.g_01702
OG0000117	Prak.g_00441	Pran.g_01698
OG0000118	Prak.g_00461	Pran.g_01679
OG0000119	Prak.g_00491	Pran.g_01646
OG0000120	Prak.g_00492	Pran.g_01645
OG0000121	Prak.g_00502	Pran.g_01635
OG0000122	Prak.g_00512	Pran.g_01626
OG0000123	Prak.g_00544	Pran.g_01594
OG0000124	Prak.g_01091	Pran.g_01527
OG0000125	Prak.g_01090	Pran.g_01526
OG0000126	Prak.g_01089	Pran.g_01525
OG0000127	Prak.g_00814	Pran.g_01492
OG0000128	Prak.g_00839	Pran.g_01458
OG0000129	Prak.g_01040	Pran.g_01438
OG0000130	Prak.g_00937	Pran.g_01358
OG0000131	Prak.g_00843	Pran.g_01345
OG0000132	Prak.g_00880	Pran.g_01310
OG0000133	Prak.g_00787	Pran.g_00445
OG0000134	Prak.g_01071	Pran.g_00455
OG0000135	Prak.g_00977	Pran.g_00491
OG0000136	Prak.g_00923	Pran.g_00565
OG0000137	Prak.g_01553	Pran.g_00090
OG0000138	Prak.g_01178	Pran.g_00065
OG0000139	Prak.g_01166	Pran.g_00054
OG0000140	Prak.g_00594	Pran.g_00003
OG0000141	Prak.g_01487	Pran.g_00918
OG0000142	Prak.g_01290	Pran.g_00864
OG0000143	Prak.g_01329	Pran.g_00841
OG0000144	Prak.g_01379	Pran.g_00746
OG0000145	Prak.g_01392	Pran.g_00732
OG0000146	Prak.g_01428	Pran.g_00696
OG0000147	Prak.g_01475	Pran.g_00656
OG0000148	Prak.g_01476	Pran.g_00655
OG0000149	Prak.g_01642	Pran.g_00968
OG0000150	Prak.g_01681	Pran.g_01006
OG0000151	Prak.g_01684	Pran.g_01009
OG0000152	Prak.g_01704	Pran.g_01043, Pran.g_01028
OG0000153	Prak.g_01738	Pran.g_01063
OG0000154	Prak.g_01774	Pran.g_01100
OG0000155	Prak.g_01793	Pran.g_01118
OG0000156	Prak.g_01826	Pran.g_01145
OG0000157	Prak.g_01860	Pran.g_01177
OG0000158	Prak.g_01926	Pran.g_01239
OG0000160	Prak.g_00001	Pran.g_01258
OG0000161	Prak.g_00002	Pran.g_01259
OG0000162	Prak.g_00004	Pran.g_01261
OG0000163	Prak.g_00005	Pran.g_01262
OG0000164	Prak.g_00006	Pran.g_01263
OG0000165	Prak.g_00007	Pran.g_01264
OG0000166	Prak.g_00008	Pran.g_01265
OG0000167	Prak.g_00009	Pran.g_01266
OG0000168	Prak.g_00010	Pran.g_01267
OG0000169	Prak.g_00012	Pran.g_01269
OG0000170	Prak.g_00014	Pran.g_00410
OG0000171	Prak.g_00015	Pran.g_00409
OG0000172	Prak.g_00016	Pran.g_00408
OG0000173	Prak.g_00017	Pran.g_00407
OG0000174	Prak.g_00018	Pran.g_00406
OG0000175	Prak.g_00019	Pran.g_00405
OG0000176	Prak.g_00020	Pran.g_00404
OG0000177	Prak.g_00021	Pran.g_00403
OG0000178	Prak.g_00022	Pran.g_00402
OG0000179	Prak.g_00024	Pran.g_00400
OG0000180	Prak.g_00025	Pran.g_00399
OG0000181	Prak.g_00026	Pran.g_00398
OG0000182	Prak.g_00027	Pran.g_00397
OG0000183	Prak.g_00028	Pran.g_00396
OG0000184	Prak.g_00030	Pran.g_00395
OG0000185	Prak.g_00033	Pran.g_00392
OG0000186	Prak.g_00036	Pran.g_00389
OG0000187	Prak.g_00037	Pran.g_00388
OG0000188	Prak.g_00038	Pran.g_00387
OG0000189	Prak.g_00040	Pran.g_00385
OG0000190	Prak.g_00042	Pran.g_00383
OG0000191	Prak.g_00044	Pran.g_00382
OG0000192	Prak.g_00045	Pran.g_00381
OG0000193	Prak.g_00046	Pran.g_00380
OG0000194	Prak.g_00049	Pran.g_00379
OG0000195	Prak.g_00050	Pran.g_00378
OG0000196	Prak.g_00051	Pran.g_00377
OG0000197	Prak.g_00053	Pran.g_00375
OG0000198	Prak.g_00054	Pran.g_00374
OG0000199	Prak.g_00056	Pran.g_00373
OG0000200	Prak.g_00068	Pran.g_00368
OG0000201	Prak.g_00069	Pran.g_00367
OG0000202	Prak.g_00070	Pran.g_00366
OG0000203	Prak.g_00074	Pran.g_00363
OG0000204	Prak.g_00075	Pran.g_00362
OG0000205	Prak.g_00078	Pran.g_00359
OG0000206	Prak.g_00080	Pran.g_00357
OG0000207	Prak.g_00082	Pran.g_00355
OG0000208	Prak.g_00083	Pran.g_00354
OG0000209	Prak.g_00717	Pran.g_00353
OG0000210	Prak.g_00084	Pran.g_00352
OG0000211	Prak.g_00085	Pran.g_00351
OG0000212	Prak.g_00086	Pran.g_00350
OG0000213	Prak.g_00087	Pran.g_00349
OG0000214	Prak.g_00088	Pran.g_00348
OG0000215	Prak.g_00089	Pran.g_00347
OG0000216	Prak.g_00090	Pran.g_00346
OG0000217	Prak.g_00092	Pran.g_00344
OG0000218	Prak.g_00093	Pran.g_00343
OG0000219	Prak.g_00094	Pran.g_00342
OG0000220	Prak.g_00095	Pran.g_00341
OG0000221	Prak.g_00098	Pran.g_00339
OG0000222	Prak.g_00099	Pran.g_00338
