Orthogroup	Prak	Prbc
OG0000000	Prak.g_01562	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prak.g_01563	Prbc.g_00808
OG0000000	Prak.g_01209	Prbc.g_00618
OG0000001	Prak.g_00908	Prbc.g_01920
OG0000001	Prak.g_00805	Prbc.g_01759
OG0000001	Prak.g_01494	Prbc.g_01478
OG0000001	Prak.g_01202	Prbc.g_01475
OG0000001	Prak.g_01323, Prak.g_01200	Prbc.g_01474
OG0000001	Prak.g_01207	Prbc.g_01479, Prbc.g_01473
OG0000002	Prak.g_00755	Prbc.g_00925, Prbc.g_01530
OG0000002	Prak.g_01302	Prbc.g_00588
OG0000004	Prak.g_01210	Prbc.g_00609, Prbc.g_00812
OG0000005	Prak.g_01251	Prbc.g_01233, Prbc.g_02193, Prbc.g_01823
OG0000006	Prak.g_00702	Prbc.g_01323
OG0000008	Prak.g_00458	Prbc.g_01556
OG0000008	Prak.g_01645	Prbc.g_00832
OG0000010	Prak.g_01196	Prbc.g_01832, Prbc.g_01836
OG0000012	Prak.g_01264	Prbc.g_01165
OG0000013	Prak.g_01486	Prbc.g_01344
OG0000014	Prak.g_00325	Prbc.g_01198
OG0000015	Prak.g_00385	Prbc.g_01273
OG0000016	Prak.g_01584, Prak.g_01630	Prbc.g_00599
OG0000017	Prak.g_01564, Prak.g_01521	Prbc.g_00072
OG0000018	Prak.g_00559	Prbc.g_01674
OG0000019	Prak.g_01606, Prak.g_01573	Prbc.g_00037, Prbc.g_00013
OG0000020	Prak.g_01226, Prak.g_01488	Prbc.g_00650
OG0000021	Prak.g_01412, Prak.g_01590	Prbc.g_00728
OG0000022	Prak.g_00258	Prbc.g_02202
OG0000023	Prak.g_00831	Prbc.g_02189
OG0000024	Prak.g_01522	Prbc.g_00143
OG0000024	Prak.g_01218	Prbc.g_00118, Prbc.g_00129
OG0000025	Prak.g_01038, Prak.g_00802	Prbc.g_01755
OG0000027	Prak.g_01546	Prbc.g_00894
OG0000028	Prak.g_01544	Prbc.g_00893
OG0000029	Prak.g_01221	Prbc.g_01822
OG0000029	Prak.g_01619	Prbc.g_00907
OG0000030	Prak.g_01627	Prbc.g_02139, Prbc.g_00059
OG0000031	Prak.g_01850	Prbc.g_00203
OG0000032	Prak.g_01530	Prbc.g_00932
OG0000034	Prak.g_01391	Prbc.g_00709
OG0000035	Prak.g_00416	Prbc.g_02181, Prbc.g_00752
OG0000036	Prak.g_01498	Prbc.g_02114
OG0000037	Prak.g_00667	Prbc.g_00088
OG0000038	Prak.g_01350	Prbc.g_01228
OG0000039	Prak.g_01230	Prbc.g_00929
OG0000039	Prak.g_00013	Prbc.g_01083
OG0000041	Prak.g_01506	Prbc.g_02155
OG0000042	Prak.g_01895	Prbc.g_00997
OG0000043	Prak.g_00709	Prbc.g_01380
OG0000045	Prak.g_01634	Prbc.g_00891
OG0000046	Prak.g_01482	Prbc.g_00166
OG0000047	Prak.g_01172	Prbc.g_01446
OG0000048	Prak.g_00058	Prbc.g_00517
OG0000049	Prak.g_01351	Prbc.g_01928
OG0000050	Prak.g_00178	Prbc.g_00405
OG0000051	Prak.g_00721	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006
OG0000052	Prak.g_01603, Prak.g_01609	Prbc.g_01315
OG0000053	Prak.g_00837	Prbc.g_01787
OG0000054	Prak.g_01516, Prak.g_01637	Prbc.g_00826
OG0000055	Prak.g_01842	Prbc.g_00211
OG0000056	Prak.g_00032	Prbc.g_01101
OG0000057	Prak.g_00169	Prbc.g_00414
OG0000058	Prak.g_00687	Prbc.g_00134, Prbc.g_00641
OG0000059	Prak.g_00498, Prak.g_01557	Prbc.g_01618
OG0000060	Prak.g_01050	Prbc.g_01800
OG0000061	Prak.g_00601	Prbc.g_01116
OG0000062	Prak.g_00868	Prbc.g_01882, Prbc.g_00153
OG0000063	Prak.g_01228	Prbc.g_01117
OG0000065	Prak.g_00253	Prbc.g_00333
OG0000066	Prak.g_00436	Prbc.g_01534
OG0000067	Prak.g_00829	Prbc.g_00055, Prbc.g_01780
OG0000070	Prak.g_00920	Prbc.g_00963, Prbc.g_02113
OG0000071	Prak.g_01145	Prbc.g_00102
OG0000072	Prak.g_01277	Prbc.g_00566
OG0000073	Prak.g_01605	Prbc.g_00123
OG0000073	Prak.g_01519	Prbc.g_01300, Prbc.g_00040
OG0000074	Prak.g_01349	Prbc.g_01753
OG0000075	Prak.g_01780	Prbc.g_00284
OG0000076	Prak.g_01430	Prbc.g_00746
OG0000077	Prak.g_00011	Prbc.g_01081
OG0000078	Prak.g_00339	Prbc.g_01214
OG0000079	Prak.g_01259	Prbc.g_02183
OG0000080	Prak.g_01072	Prbc.g_01748
OG0000081	Prak.g_00819	Prbc.g_01773
OG0000082	Prak.g_00852	Prbc.g_01865
OG0000083	Prak.g_01193	Prbc.g_01953, Prbc.g_00135
OG0000084	Prak.g_00973	Prbc.g_02036
OG0000085	Prak.g_01217	Prbc.g_00173
OG0000086	Prak.g_01550	Prbc.g_00896
OG0000087	Prak.g_01561	Prbc.g_00807, Prbc.g_02166, Prbc.g_00105
OG0000090	Prak.g_01352	Prbc.g_01229
OG0000091	Prak.g_01399	Prbc.g_00717
OG0000092	Prak.g_00661	Prbc.g_00144
OG0000093	Prak.g_01732	Prbc.g_00958
OG0000094	Prak.g_01776	Prbc.g_00288
OG0000095	Prak.g_01814	Prbc.g_00238
OG0000096	Prak.g_01887	Prbc.g_00989
OG0000097	Prak.g_00656	Prbc.g_01009
OG0000098	Prak.g_00003	Prbc.g_01073
OG0000099	Prak.g_00023	Prbc.g_01093
OG0000101	Prak.g_00052	Prbc.g_01127
OG0000102	Prak.g_00121	Prbc.g_00458
OG0000103	Prak.g_00130	Prbc.g_00449
OG0000104	Prak.g_00147	Prbc.g_00432
OG0000105	Prak.g_00182	Prbc.g_00401
OG0000106	Prak.g_00196	Prbc.g_00388
OG0000107	Prak.g_00205	Prbc.g_00379
OG0000108	Prak.g_00215	Prbc.g_00369
OG0000109	Prak.g_00256	Prbc.g_00330
OG0000110	Prak.g_00268	Prbc.g_01147
OG0000111	Prak.g_00292	Prbc.g_01167
OG0000112	Prak.g_00303	Prbc.g_01177
OG0000113	Prak.g_00316	Prbc.g_01189
OG0000114	Prak.g_00342	Prbc.g_01217
OG0000115	Prak.g_00435	Prbc.g_01533
OG0000116	Prak.g_00437	Prbc.g_01535
OG0000117	Prak.g_00441	Prbc.g_01540
OG0000118	Prak.g_00461	Prbc.g_01579
OG0000119	Prak.g_00491	Prbc.g_01611
OG0000120	Prak.g_00492	Prbc.g_01612
OG0000121	Prak.g_00502	Prbc.g_01622
OG0000122	Prak.g_00512	Prbc.g_01632
OG0000123	Prak.g_00544	Prbc.g_01662
OG0000124	Prak.g_01091	Prbc.g_01728
OG0000125	Prak.g_01090	Prbc.g_01729
OG0000126	Prak.g_01089	Prbc.g_01730
OG0000127	Prak.g_00814	Prbc.g_01768
OG0000128	Prak.g_00839	Prbc.g_01789
OG0000129	Prak.g_01040	Prbc.g_01811
OG0000130	Prak.g_00937	Prbc.g_01999
OG0000131	Prak.g_00843	Prbc.g_01856
OG0000132	Prak.g_00880	Prbc.g_01893
OG0000133	Prak.g_00787	Prbc.g_01995
OG0000134	Prak.g_01071	Prbc.g_01843
OG0000135	Prak.g_00977	Prbc.g_02040
OG0000136	Prak.g_00923	Prbc.g_02110
OG0000137	Prak.g_01553	Prbc.g_00899
OG0000138	Prak.g_01178	Prbc.g_01452
OG0000139	Prak.g_01166	Prbc.g_01439
OG0000140	Prak.g_00594	Prbc.g_01387
OG0000141	Prak.g_01487	Prbc.g_02103
OG0000142	Prak.g_01290	Prbc.g_00577
OG0000143	Prak.g_01329	Prbc.g_00657
OG0000144	Prak.g_01379	Prbc.g_00695
OG0000145	Prak.g_01392	Prbc.g_00710
OG0000146	Prak.g_01428	Prbc.g_00744
OG0000147	Prak.g_01475	Prbc.g_00789
OG0000148	Prak.g_01476	Prbc.g_00790
OG0000149	Prak.g_01642	Prbc.g_00830
OG0000150	Prak.g_01681	Prbc.g_00867
OG0000151	Prak.g_01684	Prbc.g_00869
OG0000152	Prak.g_01704	Prbc.g_00889
OG0000153	Prak.g_01738	Prbc.g_00326
OG0000154	Prak.g_01774	Prbc.g_00290
OG0000155	Prak.g_01793	Prbc.g_00271
OG0000156	Prak.g_01826	Prbc.g_00226
OG0000157	Prak.g_01860	Prbc.g_00190
OG0000158	Prak.g_01926	Prbc.g_01047
OG0000160	Prak.g_00001	Prbc.g_01071
OG0000161	Prak.g_00002	Prbc.g_01072
OG0000162	Prak.g_00004	Prbc.g_01074
OG0000163	Prak.g_00005	Prbc.g_01075
OG0000164	Prak.g_00006	Prbc.g_01076
OG0000165	Prak.g_00007	Prbc.g_01077
OG0000166	Prak.g_00008	Prbc.g_01078
