Orthogroup	Prak	Prae
OG0000000	Prak.g_01562	Prae.g_01580
OG0000000	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prae.g_01222, Prae.g_01579
OG0000001	Prak.g_00908, Prak.g_00913	Prae.g_01361
OG0000001	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207	Prae.g_00652
OG0000002	Prak.g_00755	Prae.g_01236, Prae.g_01224, Prae.g_01223
OG0000002	Prak.g_01302	Prae.g_01353
OG0000004	Prak.g_01210	Prae.g_01308, Prae.g_01581
OG0000005	Prak.g_01251	Prae.g_00742
OG0000006	Prak.g_00702	Prae.g_01283, Prae.g_00756, Prae.g_01110
OG0000008	Prak.g_00458	Prae.g_00471
OG0000008	Prak.g_01645	Prae.g_01623
OG0000010	Prak.g_01196	Prae.g_00786
OG0000010	Prak.g_00266	Prae.g_00252
OG0000011	Prak.g_01735	Prae.g_00375
OG0000011	Prak.g_01576, Prak.g_01534	Prae.g_00755
OG0000012	Prak.g_00289	Prae.g_01093
OG0000013	Prak.g_01486	Prae.g_01572
OG0000016	Prak.g_01584, Prak.g_01630	Prae.g_00769, Prae.g_01235
OG0000017	Prak.g_01564, Prak.g_01521	Prae.g_01311, Prae.g_00444
OG0000018	Prak.g_00559, Prak.g_00566	Prae.g_00572
OG0000019	Prak.g_01606, Prak.g_01573	Prae.g_00381
OG0000020	Prak.g_01226, Prak.g_01488	Prae.g_01364
OG0000022	Prak.g_00258	Prae.g_00244
OG0000023	Prak.g_00831	Prae.g_01600, Prae.g_00364
OG0000024	Prak.g_01522, Prak.g_01218	Prae.g_01290
OG0000025	Prak.g_01038, Prak.g_00802	Prae.g_00748
OG0000029	Prak.g_01221, Prak.g_01619	Prae.g_00787
OG0000030	Prak.g_01627	Prae.g_00788
OG0000031	Prak.g_01850	Prae.g_01822
OG0000034	Prak.g_01391	Prae.g_01459
OG0000035	Prak.g_00416	Prae.g_01573
OG0000036	Prak.g_01498	Prae.g_01107
OG0000038	Prak.g_01350	Prae.g_01402
OG0000041	Prak.g_00584, Prak.g_01506	Prae.g_00597
OG0000043	Prak.g_00709	Prae.g_00894
OG0000045	Prak.g_01634, Prak.g_00546	Prae.g_00559
OG0000046	Prak.g_01482	Prae.g_00764
OG0000047	Prak.g_01172	Prae.g_01163, Prae.g_01422
OG0000049	Prak.g_01351	Prae.g_01417, Prae.g_01406
OG0000050	Prak.g_00178	Prae.g_00169
OG0000051	Prak.g_00721	Prae.g_00359
OG0000053	Prak.g_00837	Prae.g_00711
OG0000054	Prak.g_01516, Prak.g_01637	Prae.g_01616
OG0000055	Prak.g_01842	Prae.g_01815
OG0000056	Prak.g_00032	Prae.g_00031
OG0000057	Prak.g_00169	Prae.g_00160
OG0000058	Prak.g_00687	Prae.g_00370
OG0000059	Prak.g_00498, Prak.g_01557	Prae.g_00514
OG0000060	Prak.g_01050	Prae.g_01247
OG0000062	Prak.g_00868	Prae.g_00828
OG0000063	Prak.g_01228	Prae.g_01322
OG0000065	Prak.g_00253	Prae.g_00240
OG0000066	Prak.g_00436	Prae.g_00449
OG0000067	Prak.g_00829	Prae.g_00672
OG0000070	Prak.g_00920	Prae.g_01040
OG0000071	Prak.g_01145	Prae.g_01263
OG0000072	Prak.g_01277	Prae.g_01329
OG0000074	Prak.g_01349	Prae.g_01389
OG0000075	Prak.g_01780	Prae.g_01758
OG0000077	Prak.g_00011	Prae.g_00011
OG0000078	Prak.g_00339	Prae.g_00323
OG0000079	Prak.g_01259	Prae.g_00382
OG0000080	Prak.g_01072	Prae.g_00643
OG0000081	Prak.g_00819	Prae.g_00665
OG0000082	Prak.g_00852	Prae.g_00813
OG0000083	Prak.g_01193	Prae.g_00876
OG0000084	Prak.g_00973	Prae.g_00964
OG0000085	Prak.g_01217	Prae.g_01090
OG0000086	Prak.g_01550	Prae.g_01130
OG0000090	Prak.g_01352	Prae.g_01390
OG0000091	Prak.g_01399	Prae.g_01467
OG0000092	Prak.g_00661	Prae.g_01588
OG0000093	Prak.g_01732	Prae.g_01710
OG0000094	Prak.g_01776	Prae.g_01755
OG0000095	Prak.g_01814	Prae.g_01789
OG0000096	Prak.g_01887	Prae.g_01859
OG0000098	Prak.g_00003	Prae.g_00003
OG0000099	Prak.g_00023	Prae.g_00023
OG0000101	Prak.g_00052	Prae.g_00051
OG0000102	Prak.g_00121	Prae.g_00112
OG0000103	Prak.g_00130	Prae.g_00121
OG0000104	Prak.g_00147	Prae.g_00139
OG0000105	Prak.g_00182	Prae.g_00173
OG0000106	Prak.g_00196	Prae.g_00187
OG0000107	Prak.g_00205	Prae.g_00195
OG0000108	Prak.g_00215	Prae.g_00205
OG0000109	Prak.g_00256	Prae.g_00242
OG0000110	Prak.g_00268	Prae.g_00254
OG0000111	Prak.g_00292	Prae.g_01440
OG0000113	Prak.g_00316	Prae.g_00298
OG0000114	Prak.g_00342	Prae.g_00326
OG0000115	Prak.g_00435	Prae.g_00448
OG0000116	Prak.g_00437	Prae.g_00450
OG0000117	Prak.g_00441	Prae.g_00454
OG0000118	Prak.g_00461	Prae.g_00473
OG0000119	Prak.g_00491	Prae.g_00506
OG0000120	Prak.g_00492	Prae.g_00508
OG0000121	Prak.g_00502	Prae.g_00518
OG0000122	Prak.g_00512	Prae.g_00527
OG0000123	Prak.g_00544	Prae.g_01432, Prae.g_00558
OG0000124	Prak.g_01091	Prae.g_00625
OG0000125	Prak.g_01090	Prae.g_00626
OG0000126	Prak.g_01089	Prae.g_00627
OG0000127	Prak.g_00814	Prae.g_00660
OG0000128	Prak.g_00839	Prae.g_00713
OG0000129	Prak.g_01040	Prae.g_00733
OG0000130	Prak.g_00937	Prae.g_00791
OG0000131	Prak.g_00843	Prae.g_00804
OG0000132	Prak.g_00880	Prae.g_00839
OG0000133	Prak.g_00787	Prae.g_00924
OG0000134	Prak.g_01071	Prae.g_00933
OG0000135	Prak.g_00977	Prae.g_00968
OG0000136	Prak.g_00923	Prae.g_01037
OG0000137	Prak.g_01553	Prae.g_01133
OG0000139	Prak.g_01166	Prae.g_01169
OG0000140	Prak.g_00594	Prae.g_01220
OG0000141	Prak.g_01487	Prae.g_01434
OG0000142	Prak.g_01290	Prae.g_01341
OG0000143	Prak.g_01329	Prae.g_01368
OG0000144	Prak.g_01379	Prae.g_01446
OG0000145	Prak.g_01392	Prae.g_01460
OG0000146	Prak.g_01428	Prae.g_01496
OG0000147	Prak.g_01475	Prae.g_01536
OG0000148	Prak.g_01476	Prae.g_01537
OG0000149	Prak.g_01642	Prae.g_01621
OG0000150	Prak.g_01681	Prae.g_01659
OG0000151	Prak.g_01684	Prae.g_01662
OG0000152	Prak.g_01704	Prae.g_01681
OG0000153	Prak.g_01738	Prae.g_01717
OG0000154	Prak.g_01774	Prae.g_01753
OG0000155	Prak.g_01793	Prae.g_01772
OG0000156	Prak.g_01826	Prae.g_01800
OG0000157	Prak.g_01860	Prae.g_01832
OG0000158	Prak.g_01926	Prae.g_01894
OG0000160	Prak.g_00001	Prae.g_00001
OG0000161	Prak.g_00002	Prae.g_00002
OG0000162	Prak.g_00004	Prae.g_00004
OG0000163	Prak.g_00005	Prae.g_00005
OG0000164	Prak.g_00006	Prae.g_00006
OG0000165	Prak.g_00007	Prae.g_00007
OG0000166	Prak.g_00008	Prae.g_00008
OG0000167	Prak.g_00009	Prae.g_00009
OG0000168	Prak.g_00010	Prae.g_00010
OG0000169	Prak.g_00012	Prae.g_00012
OG0000170	Prak.g_00014	Prae.g_00014
OG0000171	Prak.g_00015	Prae.g_00015
OG0000172	Prak.g_00016	Prae.g_00016
OG0000173	Prak.g_00017	Prae.g_00017
OG0000174	Prak.g_00018	Prae.g_00018
OG0000175	Prak.g_00019	Prae.g_00019
OG0000176	Prak.g_00020	Prae.g_00020
OG0000177	Prak.g_00021	Prae.g_00021
OG0000178	Prak.g_00022	Prae.g_00022
OG0000179	Prak.g_00024	Prae.g_00024
OG0000180	Prak.g_00025	Prae.g_00025
OG0000181	Prak.g_00026	Prae.g_00026
OG0000182	Prak.g_00027	Prae.g_00027
OG0000183	Prak.g_00028	Prae.g_00028
OG0000184	Prak.g_00030	Prae.g_00029
OG0000185	Prak.g_00033	Prae.g_00032
OG0000186	Prak.g_00036	Prae.g_00035
OG0000187	Prak.g_00037	Prae.g_00036
OG0000188	Prak.g_00038	Prae.g_00037
OG0000189	Prak.g_00040	Prae.g_00042
OG0000190	Prak.g_00042	Prae.g_00044
OG0000191	Prak.g_00044	Prae.g_00045
OG0000192	Prak.g_00045	Prae.g_00046
OG0000193	Prak.g_00046	Prae.g_00047
OG0000194	Prak.g_00049	Prae.g_00048
OG0000195	Prak.g_00050	Prae.g_00049
OG0000196	Prak.g_00051	Prae.g_00050
OG0000197	Prak.g_00053	Prae.g_00052
OG0000198	Prak.g_00054	Prae.g_00053
OG0000199	Prak.g_00056	Prae.g_00054
OG0000200	Prak.g_00068	Prae.g_00064
OG0000201	Prak.g_00069	Prae.g_00065
OG0000202	Prak.g_00070	Prae.g_00066
OG0000203	Prak.g_00074	Prae.g_00069
OG0000204	Prak.g_00075	Prae.g_00070
OG0000205	Prak.g_00078	Prae.g_00073
OG0000206	Prak.g_00080	Prae.g_00075
OG0000207	Prak.g_00082	Prae.g_00077
OG0000208	Prak.g_00083	Prae.g_00078
OG0000209	Prak.g_00717	Prae.g_00079
OG0000210	Prak.g_00084	Prae.g_00080
OG0000211	Prak.g_00085	Prae.g_00081
OG0000212	Prak.g_00086	Prae.g_00082
OG0000213	Prak.g_00087	Prae.g_00083
OG0000214	Prak.g_00088	Prae.g_00084
OG0000215	Prak.g_00089	Prae.g_00085
OG0000216	Prak.g_00090	Prae.g_00086
OG0000217	Prak.g_00092	Prae.g_00088
OG0000218	Prak.g_00093	Prae.g_00089
OG0000219	Prak.g_00094	Prae.g_00090
OG0000220	Prak.g_00095	Prae.g_00091
OG0000221	Prak.g_00098	Prae.g_00094
OG0000222	Prak.g_00099	Prae.g_00095
OG0000223	Prak.g_00100	Prae.g_00096
OG0000224	Prak.g_00102	Prae.g_00097
OG0000225	Prak.g_00103	Prae.g_00098
OG0000226	Prak.g_00104	Prae.g_00099
OG0000227	Prak.g_00106	Prae.g_00100
OG0000228	Prak.g_00107	Prae.g_00101
OG0000229	Prak.g_00108	Prae.g_00102
OG0000230	Prak.g_00109	Prae.g_00103
OG0000231	Prak.g_00110	Prae.g_00104
OG0000232	Prak.g_00111	Prae.g_00105
OG0000233	Prak.g_00113	Prae.g_00106
OG0000234	Prak.g_00114	Prae.g_00107
OG0000235	Prak.g_00115	Prae.g_00108
OG0000236	Prak.g_00118	Prae.g_00109
OG0000237	Prak.g_00119	Prae.g_00110
OG0000238	Prak.g_00120	Prae.g_00111
OG0000239	Prak.g_00122	Prae.g_00113
OG0000240	Prak.g_00123	Prae.g_00115
OG0000241	Prak.g_00124	Prae.g_00116
OG0000242	Prak.g_00125	Prae.g_00117
OG0000243	Prak.g_00128	Prae.g_00120
OG0000244	Prak.g_00131	Prae.g_00122
OG0000245	Prak.g_00132	Prae.g_00123
OG0000246	Prak.g_00133	Prae.g_00124
OG0000247	Prak.g_00135	Prae.g_00127
OG0000248	Prak.g_00137	Prae.g_00129
OG0000249	Prak.g_00139	Prae.g_00130
OG0000250	Prak.g_00140	Prae.g_00131
OG0000251	Prak.g_00141	Prae.g_00132
OG0000252	Prak.g_00142	Prae.g_00133
OG0000253	Prak.g_00143	Prae.g_00134
OG0000254	Prak.g_01035	Prae.g_00136
OG0000255	Prak.g_00145	Prae.g_00137
OG0000256	Prak.g_00148	Prae.g_00140
OG0000257	Prak.g_00150	Prae.g_00142
OG0000258	Prak.g_00156	Prae.g_00148
OG0000259	Prak.g_00157	Prae.g_00149
OG0000260	Prak.g_00158	Prae.g_00150
OG0000261	Prak.g_00159	Prae.g_00151
OG0000262	Prak.g_00160	Prae.g_00152
OG0000263	Prak.g_00162	Prae.g_00154
OG0000264	Prak.g_00163	Prae.g_00155
OG0000265	Prak.g_00164	Prae.g_00156
