Orthogroup	Prak	Praa
OG0000000	Prak.g_01562	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prak.g_01578, Prak.g_01563, Prak.g_01209	Praa.g_01597
OG0000001	Prak.g_00908, Prak.g_00913	Praa.g_01359
OG0000001	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207	Praa.g_00678
OG0000002	Prak.g_00755	Praa.g_01222, Praa.g_01220
OG0000002	Prak.g_01302	Praa.g_01351
OG0000004	Prak.g_01210	Praa.g_01298, Praa.g_01599, Praa.g_00413
OG0000005	Prak.g_01251	Praa.g_00742
OG0000006	Prak.g_00702	Praa.g_01280, Praa.g_00755, Praa.g_01110
OG0000008	Prak.g_00458	Praa.g_00497
OG0000008	Prak.g_01645	Praa.g_01635
OG0000010	Prak.g_01196	Praa.g_00782
OG0000010	Prak.g_00266	Praa.g_00249
OG0000011	Prak.g_01735	Praa.g_00374
OG0000011	Prak.g_01576, Prak.g_01534	Praa.g_00754
OG0000012	Prak.g_00289	Praa.g_01092
OG0000013	Prak.g_01486	Praa.g_01589, Praa.g_00105
OG0000016	Prak.g_01584, Prak.g_01630	Praa.g_00765
OG0000017	Prak.g_01564, Prak.g_01521	Praa.g_01301, Praa.g_00470
OG0000018	Prak.g_00559, Prak.g_00566	Praa.g_00598
OG0000019	Prak.g_01606, Prak.g_01573	Praa.g_00380
OG0000020	Prak.g_01226, Prak.g_01488	Praa.g_01362
OG0000022	Prak.g_00258	Praa.g_00241, Praa.g_01245
OG0000023	Prak.g_00831	Praa.g_01623, Praa.g_00364
OG0000024	Prak.g_01522, Prak.g_01218	Praa.g_01287
OG0000025	Prak.g_01038, Prak.g_00802	Praa.g_00747
OG0000028	Prak.g_01544	Praa.g_01241
OG0000029	Prak.g_01221, Prak.g_01619	Praa.g_00783
OG0000030	Prak.g_01627	Praa.g_00784
OG0000031	Prak.g_01850	Praa.g_01839
OG0000034	Prak.g_01391	Praa.g_01476
OG0000035	Prak.g_00416	Praa.g_01590
OG0000036	Prak.g_01498	Praa.g_01107
OG0000041	Prak.g_00584, Prak.g_01506	Praa.g_00623
OG0000045	Prak.g_01634, Prak.g_00546	Praa.g_00585
OG0000046	Prak.g_01482	Praa.g_00763
OG0000047	Prak.g_01172	Praa.g_01159, Praa.g_01415
OG0000048	Prak.g_01369	Praa.g_01447
OG0000049	Prak.g_01351	Praa.g_01425
OG0000050	Prak.g_00178	Praa.g_00166
OG0000051	Prak.g_00721	Praa.g_00359
OG0000053	Prak.g_00837	Praa.g_00711
OG0000054	Prak.g_01516, Prak.g_01637	Praa.g_01628
OG0000055	Prak.g_01842	Praa.g_01832
OG0000056	Prak.g_00032	Praa.g_00031
OG0000057	Prak.g_00169	Praa.g_00157
OG0000058	Prak.g_00687	Praa.g_00369
OG0000059	Prak.g_00498, Prak.g_01557	Praa.g_00539
OG0000062	Prak.g_00868	Praa.g_00826
OG0000065	Prak.g_00253	Praa.g_00237
OG0000066	Prak.g_00436	Praa.g_01414, Praa.g_00475
OG0000067	Prak.g_00829	Praa.g_00698
OG0000070	Prak.g_00920	Praa.g_01039
OG0000071	Prak.g_01145	Praa.g_01255
OG0000072	Prak.g_01277	Praa.g_01318
OG0000073	Prak.g_01519	Praa.g_01342
OG0000074	Prak.g_01349	Praa.g_01387
OG0000075	Prak.g_01780	Praa.g_01775
OG0000077	Prak.g_00011	Praa.g_00011
OG0000078	Prak.g_00339	Praa.g_00322
OG0000079	Prak.g_01259	Praa.g_00381
OG0000080	Prak.g_01072	Praa.g_00669
OG0000081	Prak.g_00819	Praa.g_00691
OG0000082	Prak.g_00852	Praa.g_00810, Praa.g_00811
OG0000083	Prak.g_01193	Praa.g_00876
OG0000084	Prak.g_00973	Praa.g_00964
OG0000085	Prak.g_01217	Praa.g_01089
OG0000086	Prak.g_01550	Praa.g_01127
OG0000087	Prak.g_01561	Praa.g_01236
OG0000090	Prak.g_01352	Praa.g_01394
OG0000091	Prak.g_01399	Praa.g_01484
OG0000092	Prak.g_00661	Praa.g_01606
OG0000093	Prak.g_01732	Praa.g_01723
OG0000094	Prak.g_01776	Praa.g_01772
OG0000095	Prak.g_01814	Praa.g_01806
OG0000096	Prak.g_01887	Praa.g_01877
OG0000098	Prak.g_00003	Praa.g_00003
OG0000099	Prak.g_00023	Praa.g_00023
OG0000101	Prak.g_00052	Praa.g_00049
OG0000102	Prak.g_00121	Praa.g_00113
OG0000103	Prak.g_00130	Praa.g_00121
OG0000104	Prak.g_00147	Praa.g_00139
OG0000105	Prak.g_00182	Praa.g_00170
OG0000106	Prak.g_00196	Praa.g_00184
OG0000107	Prak.g_00205	Praa.g_00192
OG0000108	Prak.g_00215	Praa.g_00202
OG0000109	Prak.g_00256	Praa.g_00239
OG0000110	Prak.g_00268	Praa.g_00251
OG0000111	Prak.g_00292	Praa.g_00274
OG0000113	Prak.g_00316	Praa.g_00297
OG0000114	Prak.g_00342	Praa.g_00325
OG0000115	Prak.g_00435	Praa.g_00474
OG0000116	Prak.g_00437	Praa.g_00476
OG0000117	Prak.g_00441	Praa.g_00480
OG0000118	Prak.g_00461	Praa.g_00499
OG0000119	Prak.g_00491	Praa.g_00532
OG0000120	Prak.g_00492	Praa.g_00533
OG0000121	Prak.g_00502	Praa.g_00544
OG0000122	Prak.g_00512	Praa.g_00553
OG0000123	Prak.g_00544	Praa.g_00584
OG0000124	Prak.g_01091	Praa.g_00651
OG0000125	Prak.g_01090	Praa.g_00652
OG0000126	Prak.g_01089	Praa.g_00653
OG0000127	Prak.g_00814	Praa.g_00686
OG0000128	Prak.g_00839	Praa.g_00713
OG0000129	Prak.g_01040	Praa.g_00733
OG0000130	Prak.g_00937	Praa.g_00787
OG0000131	Prak.g_00843	Praa.g_00801
OG0000132	Prak.g_00880	Praa.g_00838
OG0000133	Prak.g_00787	Praa.g_00923
OG0000134	Prak.g_01071	Praa.g_00932
OG0000135	Prak.g_00977	Praa.g_00968
OG0000136	Prak.g_00923	Praa.g_01036
OG0000137	Prak.g_01553	Praa.g_01130
OG0000139	Prak.g_01166	Praa.g_01165
OG0000140	Prak.g_00594	Praa.g_01216
OG0000141	Prak.g_01487	Praa.g_01224
OG0000142	Prak.g_01290	Praa.g_01330
OG0000143	Prak.g_01329	Praa.g_01366
OG0000144	Prak.g_01379	Praa.g_01463
OG0000145	Prak.g_01392	Praa.g_01477
OG0000146	Prak.g_01428	Praa.g_01513
OG0000147	Prak.g_01475	Praa.g_01554
OG0000148	Prak.g_01476	Praa.g_01555
OG0000149	Prak.g_01642	Praa.g_01633
OG0000150	Prak.g_01681	Praa.g_01672
OG0000151	Prak.g_01684	Praa.g_01675
OG0000152	Prak.g_01704	Praa.g_01695
OG0000153	Prak.g_01738	Praa.g_01734
OG0000154	Prak.g_01774	Praa.g_01770
OG0000155	Prak.g_01793	Praa.g_01788
OG0000156	Prak.g_01826	Praa.g_01817
OG0000157	Prak.g_01860	Praa.g_01849
OG0000158	Prak.g_01926	Praa.g_01911
OG0000160	Prak.g_00001	Praa.g_00001
OG0000161	Prak.g_00002	Praa.g_00002
OG0000162	Prak.g_00004	Praa.g_00004
OG0000163	Prak.g_00005	Praa.g_00005
OG0000164	Prak.g_00006	Praa.g_00006
OG0000165	Prak.g_00007	Praa.g_00007
OG0000166	Prak.g_00008	Praa.g_00008
OG0000167	Prak.g_00009	Praa.g_00009
OG0000168	Prak.g_00010	Praa.g_00010
OG0000169	Prak.g_00012	Praa.g_00012
OG0000170	Prak.g_00014	Praa.g_00014
OG0000171	Prak.g_00015	Praa.g_00015
OG0000172	Prak.g_00016	Praa.g_00016
OG0000173	Prak.g_00017	Praa.g_00017
OG0000174	Prak.g_00018	Praa.g_00018
OG0000175	Prak.g_00019	Praa.g_00019
OG0000176	Prak.g_00020	Praa.g_00020
OG0000177	Prak.g_00021	Praa.g_00021
OG0000178	Prak.g_00022	Praa.g_00022
OG0000179	Prak.g_00024	Praa.g_00024
OG0000180	Prak.g_00025	Praa.g_00025
OG0000181	Prak.g_00026	Praa.g_00026
OG0000182	Prak.g_00027	Praa.g_00027
OG0000183	Prak.g_00028	Praa.g_00028
OG0000184	Prak.g_00030	Praa.g_00029
OG0000185	Prak.g_00033	Praa.g_00032
OG0000186	Prak.g_00036	Praa.g_00035
OG0000187	Prak.g_00037	Praa.g_00036
OG0000188	Prak.g_00038	Praa.g_00037
OG0000189	Prak.g_00040	Praa.g_00040
OG0000190	Prak.g_00042	Praa.g_00042
OG0000191	Prak.g_00044	Praa.g_00043
OG0000192	Prak.g_00045	Praa.g_00044
OG0000193	Prak.g_00046	Praa.g_00045
OG0000194	Prak.g_00049	Praa.g_00046
OG0000195	Prak.g_00050	Praa.g_00047
OG0000196	Prak.g_00051	Praa.g_00048
OG0000197	Prak.g_00053	Praa.g_00050
OG0000198	Prak.g_00054	Praa.g_00051
OG0000199	Prak.g_00056	Praa.g_00052
OG0000200	Prak.g_00068	Praa.g_00064
OG0000201	Prak.g_00069	Praa.g_00065
OG0000202	Prak.g_00070	Praa.g_00066
OG0000203	Prak.g_00074	Praa.g_00069
OG0000204	Prak.g_00075	Praa.g_00070
OG0000205	Prak.g_00078	Praa.g_00073
OG0000206	Prak.g_00080	Praa.g_00075
OG0000207	Prak.g_00082	Praa.g_00077
OG0000208	Prak.g_00083	Praa.g_00078
OG0000209	Prak.g_00717	Praa.g_00079
OG0000210	Prak.g_00084	Praa.g_00080
OG0000211	Prak.g_00085	Praa.g_00081
OG0000212	Prak.g_00086	Praa.g_00082
OG0000213	Prak.g_00087	Praa.g_00083
OG0000214	Prak.g_00088	Praa.g_00084
OG0000215	Prak.g_00089	Praa.g_00085
OG0000216	Prak.g_00090	Praa.g_00086
OG0000217	Prak.g_00092	Praa.g_00088
OG0000218	Prak.g_00093	Praa.g_00089
OG0000219	Prak.g_00094	Praa.g_00090
OG0000220	Prak.g_00095	Praa.g_00091
OG0000221	Prak.g_00098	Praa.g_00094
OG0000222	Prak.g_00099	Praa.g_00095
OG0000223	Prak.g_00100	Praa.g_00096
OG0000224	Prak.g_00102	Praa.g_00097
OG0000225	Prak.g_00103	Praa.g_00098
OG0000226	Prak.g_00104	Praa.g_00099
OG0000227	Prak.g_00106	Praa.g_00100
OG0000228	Prak.g_00107	Praa.g_00101
OG0000229	Prak.g_00108	Praa.g_00102
OG0000230	Prak.g_00109	Praa.g_00103
OG0000231	Prak.g_00110	Praa.g_00104
OG0000232	Prak.g_00111	Praa.g_00106
OG0000233	Prak.g_00113	Praa.g_00107
OG0000234	Prak.g_00114	Praa.g_00108
OG0000235	Prak.g_00115	Praa.g_00109
OG0000236	Prak.g_00118	Praa.g_00110
OG0000237	Prak.g_00119	Praa.g_00111
OG0000238	Prak.g_00120	Praa.g_00112
OG0000239	Prak.g_00122	Praa.g_00114
OG0000240	Prak.g_00123	Praa.g_00115
OG0000241	Prak.g_00124	Praa.g_00116
OG0000242	Prak.g_00125	Praa.g_00117
OG0000243	Prak.g_00128	Praa.g_00120
OG0000244	Prak.g_00131	Praa.g_00122
OG0000245	Prak.g_00132	Praa.g_00123
OG0000246	Prak.g_00133	Praa.g_00124
OG0000247	Prak.g_00135	Praa.g_00127
OG0000248	Prak.g_00137	Praa.g_00129
OG0000249	Prak.g_00139	Praa.g_00130
OG0000250	Prak.g_00140	Praa.g_00131
OG0000251	Prak.g_00141	Praa.g_00132
OG0000252	Prak.g_00142	Praa.g_00133
OG0000253	Prak.g_00143	Praa.g_00134
OG0000254	Prak.g_01035	Praa.g_00136
OG0000255	Prak.g_00145	Praa.g_00137
OG0000256	Prak.g_00148	Praa.g_00140
OG0000257	Prak.g_00150	Praa.g_00142
OG0000258	Prak.g_00156	Praa.g_00145
OG0000259	Prak.g_00157	Praa.g_00146
OG0000260	Prak.g_00158	Praa.g_00147
OG0000261	Prak.g_00159	Praa.g_00148
OG0000262	Prak.g_00160	Praa.g_00149
OG0000263	Prak.g_00162	Praa.g_00151
OG0000264	Prak.g_00163	Praa.g_00152
OG0000265	Prak.g_00164	Praa.g_00153
OG0000266	Prak.g_00165	Praa.g_00154
OG0000267	Prak.g_00166	Praa.g_00155
OG0000268	Prak.g_00168	Praa.g_00156
OG0000269	Prak.g_00170	Praa.g_00158
OG0000270	Prak.g_00171	Praa.g_00159
OG0000271	Prak.g_00172	Praa.g_00160
OG0000272	Prak.g_00173	Praa.g_00161
OG0000273	Prak.g_00174	Praa.g_00162
OG0000274	Prak.g_00175	Praa.g_00163
OG0000275	Prak.g_00176	Praa.g_00164
OG0000276	Prak.g_00177	Praa.g_00165
OG0000277	Prak.g_00179	Praa.g_00167
OG0000278	Prak.g_00180	Praa.g_00168
OG0000279	Prak.g_00181	Praa.g_00169
OG0000280	Prak.g_00183	Praa.g_00171
OG0000281	Prak.g_00185	Praa.g_00173
OG0000282	Prak.g_00186	Praa.g_00174
OG0000283	Prak.g_00187	Praa.g_00175
OG0000284	Prak.g_00188	Praa.g_00176
OG0000285	Prak.g_00189	Praa.g_00177
OG0000286	Prak.g_00190	Praa.g_00178
