Orthogroup	Praf	Praw
OG0000000	Praf.g_00815, Praf.g_00814	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Praf.g_00813	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Praf.g_01039, Praf.g_01042	Praw.g_00472
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Praw.g_01000
OG0000002	Praf.g_01631	Praw.g_01009
OG0000002	Praf.g_00948	Praw.g_01844
OG0000004	Praf.g_01121	Praw.g_01827
OG0000004	Praf.g_00743	Praw.g_01203
OG0000005	Praf.g_00503	Praw.g_00413
OG0000006	Praf.g_00396, Praf.g_01719	Praw.g_01950
OG0000007	Praf.g_00614	Praw.g_00651
OG0000007	Praf.g_00480	Praw.g_00515
OG0000008	Praf.g_01223	Praw.g_00501
OG0000008	Praf.g_01224	Praw.g_00502
OG0000009	Praf.g_01768, Praf.g_00246	Praw.g_01330
OG0000010	Praf.g_01908	Praw.g_01460
OG0000011	Praf.g_01188, Praf.g_01190	Praw.g_00952
OG0000012	Praf.g_01668	Praw.g_00159
OG0000013	Praf.g_02073	Praw.g_00807
OG0000014	Praf.g_02319	Praw.g_00828
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Praw.g_01738
OG0000016	Praf.g_00906	Praw.g_01415
OG0000017	Praf.g_00752, Praf.g_00760	Praw.g_01944
OG0000018	Praf.g_01832	Praw.g_00215
OG0000019	Praf.g_00943, Praf.g_02214	Praw.g_00884, Praw.g_01717
OG0000020	Praf.g_01095	Praw.g_00483
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Praw.g_00479, Praw.g_00767
OG0000022	Praf.g_00965	Praw.g_00197
OG0000022	Praf.g_00201	Praw.g_01746
OG0000024	Praf.g_01139	Praw.g_01763, Praw.g_01847
OG0000025	Praf.g_01591	Praw.g_00803, Praw.g_01664
OG0000026	Praf.g_00037	Praw.g_01397, Praw.g_01453
OG0000028	Praf.g_02333	Praw.g_00814
OG0000029	Praf.g_02091	Praw.g_01755
OG0000030	Praf.g_00160, Praf.g_00159	Praw.g_00029
OG0000031	Praf.g_00101	Praw.g_01073
OG0000032	Praf.g_02346	Praw.g_01043
OG0000034	Praf.g_00783	Praw.g_00991
OG0000035	Praf.g_01794	Praw.g_01081, Praw.g_01083
OG0000037	Praf.g_00240	Praw.g_01326
OG0000038	Praf.g_02660, Praf.g_02662	Praw.g_01182
OG0000039	Praf.g_00406, Praf.g_02541	Praw.g_01836
OG0000041	Praf.g_00426	Praw.g_00562
OG0000042	Praf.g_00164, Praf.g_00920	Praw.g_00032
OG0000047	Praf.g_01864	Praw.g_00804
OG0000048	Praf.g_02267	Praw.g_00504, Praw.g_00758
OG0000050	Praf.g_01105	Praw.g_01432
OG0000053	Praf.g_01828	Praw.g_00357
OG0000054	Praf.g_00763	Praw.g_00142
OG0000055	Praf.g_01257	Praw.g_01716
OG0000057	Praf.g_01125	Praw.g_01824
OG0000059	Praf.g_02172	Praw.g_01894
OG0000060	Praf.g_00592	Praw.g_01743
OG0000061	Praf.g_00854	Praw.g_00234
OG0000062	Praf.g_00501	Praw.g_00415
OG0000063	Praf.g_00041	Praw.g_01395
OG0000065	Praf.g_00244	Praw.g_01328
OG0000066	Praf.g_00672	Praw.g_00609
OG0000067	Praf.g_01530	Praw.g_01697
