Orthogroup	Praf	Syag
OG0000001	Praf.g_01031	Syag.g_01942
OG0000001	Praf.g_02422	Syag.g_01943
OG0000003	Praf.g_02463	Syag.g_01569
OG0000003	Praf.g_01102	Syag.g_01572
OG0000003	Praf.g_02523	Syag.g_00691
OG0000003	Praf.g_01086, Praf.g_02530, Praf.g_01260, Praf.g_02464, Praf.g_01101, Praf.g_01162, Praf.g_00199, Praf.g_00383, Praf.g_01762, Praf.g_02595, Praf.g_01088, Praf.g_01104, Praf.g_01995, Praf.g_00381, Praf.g_00343, Praf.g_00382, Praf.g_00473	Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000003	Praf.g_01103	Syag.g_02658
OG0000004	Praf.g_01121	Syag.g_00988
OG0000004	Praf.g_00743	Syag.g_00370, Syag.g_01790
OG0000005	Praf.g_00503	Syag.g_01667
OG0000006	Praf.g_00396, Praf.g_01719	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Praf.g_00614	Syag.g_01507
OG0000007	Praf.g_00480	Syag.g_01687
OG0000008	Praf.g_01223	Syag.g_00496
OG0000008	Praf.g_01224	Syag.g_01017
OG0000009	Praf.g_01768, Praf.g_00246	Syag.g_01883
OG0000010	Praf.g_01908	Syag.g_01355
OG0000012	Praf.g_01668	Syag.g_00377
OG0000013	Praf.g_02073	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Praf.g_02319	Syag.g_02559
OG0000014	Praf.g_00112	Syag.g_02487
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syag.g_02252, Syag.g_00596
OG0000016	Praf.g_00014	Syag.g_02286
OG0000016	Praf.g_00906	Syag.g_01066
OG0000017	Praf.g_00752	Syag.g_00336
OG0000017	Praf.g_00760	Syag.g_00344
OG0000018	Praf.g_01832	Syag.g_01387
OG0000019	Praf.g_00943, Praf.g_02214	Syag.g_02663
OG0000020	Praf.g_01095	Syag.g_00085
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Syag.g_00229
OG0000022	Praf.g_00965	Syag.g_00458
OG0000024	Praf.g_01139	Syag.g_00455
OG0000025	Praf.g_01591	Syag.g_00718
OG0000026	Praf.g_00037	Syag.g_02309
OG0000028	Praf.g_02333	Syag.g_02540
OG0000029	Praf.g_02091, Praf.g_02647	Syag.g_00195
OG0000030	Praf.g_00160	Syag.g_02375
OG0000030	Praf.g_00159	Syag.g_02374
OG0000031	Praf.g_02400	Syag.g_02510
OG0000031	Praf.g_00113	Syag.g_02486
OG0000032	Praf.g_01851	Syag.g_01366
OG0000032	Praf.g_02346	Syag.g_02480
OG0000033	Praf.g_02457	Syag.g_01978, Syag.g_02481
OG0000034	Praf.g_00783	Syag.g_01225, Syag.g_01947
OG0000035	Praf.g_01794	Syag.g_01421
OG0000037	Praf.g_00240	Syag.g_00173
OG0000038	Praf.g_02660	Syag.g_02130
OG0000038	Praf.g_02662	Syag.g_02132
OG0000039	Praf.g_00406	Syag.g_01325
OG0000039	Praf.g_02541	Syag.g_02155
OG0000041	Praf.g_00426	Syag.g_00962
OG0000042	Praf.g_00164, Praf.g_00920	Syag.g_01094, Syag.g_02378
OG0000045	Praf.g_00322	Syag.g_00225
OG0000046	Praf.g_02072	Syag.g_02812, Syag.g_02819, Syag.g_02805
OG0000047	Praf.g_01864, Praf.g_01898	Syag.g_00768
OG0000048	Praf.g_02267	Syag.g_02611
OG0000051	Praf.g_01479	Syag.g_00214
OG0000052	Praf.g_02366	Syag.g_02451
OG0000053	Praf.g_01828	Syag.g_01391
OG0000054	Praf.g_00763	Syag.g_00350
OG0000055	Praf.g_01257	Syag.g_01799, Syag.g_00946
OG0000057	Praf.g_01125	Syag.g_00985
OG0000058	Praf.g_02345	Syag.g_02477
OG0000059	Praf.g_02172	Syag.g_02721
OG0000060	Praf.g_00592	Syag.g_01530
OG0000061	Praf.g_00854	Syag.g_01141
OG0000062	Praf.g_00501	Syag.g_01669
OG0000063	Praf.g_00041	Syag.g_02313
OG0000065	Praf.g_00244	Syag.g_01885
OG0000066	Praf.g_00672	Syag.g_01443
