Orthogroup	Praf	Syan
OG0000001	Praf.g_02422	Syan.g_02266
OG0000001	Praf.g_01293	Syan.g_02528
OG0000003	Praf.g_02523	Syan.g_01063, Syan.g_01258, Syan.g_02794, Syan.g_01055
OG0000004	Praf.g_01121	Syan.g_00183
OG0000004	Praf.g_00743	Syan.g_00989
OG0000005	Praf.g_00503	Syan.g_01378
OG0000006	Praf.g_00396, Praf.g_01719	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Praf.g_00614	Syan.g_02743
OG0000007	Praf.g_00480	Syan.g_01400
OG0000008	Praf.g_01223	Syan.g_00640, Syan.g_02532
OG0000008	Praf.g_01224	Syan.g_00641, Syan.g_02531
OG0000009	Praf.g_01768, Praf.g_00246	Syan.g_02972
OG0000010	Praf.g_01908	Syan.g_02847
OG0000013	Praf.g_02073	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Praf.g_02319	Syan.g_01987
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syan.g_01691, Syan.g_00248
OG0000016	Praf.g_00014	Syan.g_01766
OG0000016	Praf.g_00906	Syan.g_02598
OG0000017	Praf.g_00760	Syan.g_01013
OG0000018	Praf.g_01832	Syan.g_02816
OG0000019	Praf.g_02214	Syan.g_02088
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Syan.g_01001
OG0000022	Praf.g_00965	Syan.g_00089
OG0000025	Praf.g_01591	Syan.g_00374
OG0000026	Praf.g_00037	Syan.g_01743
OG0000028	Praf.g_02333	Syan.g_01971
OG0000030	Praf.g_00160	Syan.g_01884
OG0000030	Praf.g_00159	Syan.g_01883
OG0000031	Praf.g_02400	Syan.g_01967
OG0000032	Praf.g_01851	Syan.g_02835
OG0000032	Praf.g_02346	Syan.g_01819
OG0000033	Praf.g_02457	Syan.g_03036
OG0000034	Praf.g_00783	Syan.g_01227, Syan.g_03003
OG0000035	Praf.g_01794	Syan.g_01279, Syan.g_01276
OG0000037	Praf.g_00240	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Praf.g_02660	Syan.g_01569
OG0000038	Praf.g_02662	Syan.g_01571
