Orthogroup	Praf	Syap
OG0000001	Praf.g_02422	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Praf.g_01293	Syap.g_00399
OG0000004	Praf.g_00743	Syap.g_01987
OG0000005	Praf.g_00503	Syap.g_01218
OG0000006	Praf.g_00396, Praf.g_01719	Syap.g_02770
OG0000007	Praf.g_00614	Syap.g_00275
OG0000007	Praf.g_00480	Syap.g_00621
OG0000009	Praf.g_01768, Praf.g_00246	Syap.g_02081
OG0000010	Praf.g_01908	Syap.g_02757
OG0000013	Praf.g_02073	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Praf.g_02319	Syap.g_01675
OG0000014	Praf.g_00112	Syap.g_00813
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syap.g_02606, Syap.g_00786
OG0000016	Praf.g_00014	Syap.g_00071
OG0000018	Praf.g_01832	Syap.g_02010
OG0000019	Praf.g_02214	Syap.g_01586
OG0000025	Praf.g_01591	Syap.g_01846
OG0000028	Praf.g_02333	Syap.g_01658
OG0000030	Praf.g_00160	Syap.g_00787
OG0000030	Praf.g_00159	Syap.g_00788
OG0000031	Praf.g_02400	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000031	Praf.g_00101	Syap.g_00722
OG0000032	Praf.g_02346	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Praf.g_02457	Syap.g_01198
OG0000034	Praf.g_00783	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Praf.g_01794	Syap.g_02125, Syap.g_02465
OG0000037	Praf.g_00240	Syap.g_02492
OG0000038	Praf.g_02662	Syap.g_00139
OG0000039	Praf.g_00406, Praf.g_02541	Syap.g_01749, Syap.g_01748
OG0000042	Praf.g_00164, Praf.g_00920	Syap.g_01891, Syap.g_01120
OG0000044	Praf.g_00356, Praf.g_01078	Syap.g_00378
OG0000045	Praf.g_00322	Syap.g_02525
OG0000046	Praf.g_02072	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Praf.g_02267	Syap.g_02340
OG0000051	Praf.g_01022, Praf.g_01479	Syap.g_01574
OG0000053	Praf.g_01828	Syap.g_02006
OG0000054	Praf.g_00763	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Praf.g_01125	Syap.g_01569
OG0000058	Praf.g_02345	Syap.g_02074
OG0000059	Praf.g_02172	Syap.g_01918
OG0000061	Praf.g_01859	Syap.g_00870
OG0000061	Praf.g_00854	Syap.g_00228
OG0000062	Praf.g_01047	Syap.g_01365
OG0000062	Praf.g_00501	Syap.g_01220
OG0000063	Praf.g_00041	Syap.g_01796
OG0000066	Praf.g_00672	Syap.g_01972
OG0000068	Praf.g_00585, Praf.g_00583	Syap.g_00108, Syap.g_00144
OG0000070	Praf.g_01962	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Praf.g_00796	Syap.g_01483
OG0000072	Praf.g_02469	Syap.g_00555
OG0000073	Praf.g_00616	Syap.g_00273
OG0000075	Praf.g_02384	Syap.g_01064, Syap.g_00664
OG0000076	Praf.g_00178	Syap.g_01111
OG0000078	Praf.g_00391	Syap.g_01149
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Syap.g_01589
OG0000085	Praf.g_00491	Syap.g_00611
OG0000087	Praf.g_02420	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Praf.g_01239	Syap.g_01202
OG0000089	Praf.g_02015	Syap.g_00115, Syap.g_02042
OG0000090	Praf.g_00660	Syap.g_01451
OG0000091	Praf.g_01700	Syap.g_01861
OG0000094	Praf.g_02685	Syap.g_02781
OG0000095	Praf.g_01274	Syap.g_01556
OG0000098	Praf.g_01886	Syap.g_01975
OG0000099	Praf.g_02342	Syap.g_01385
OG0000102	Praf.g_00173	Syap.g_01116
OG0000103	Praf.g_02765	Syap.g_02607, Syap.g_02608
OG0000104	Praf.g_02779	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Praf.g_02271	Syap.g_01369, Syap.g_01368
OG0000107	Praf.g_02201	Syap.g_02496
OG0000108	Praf.g_00595	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Praf.g_00611	Syap.g_00279, Syap.g_02237
OG0000110	Praf.g_00718	Syap.g_01313
OG0000111	Praf.g_01126	Syap.g_01566, Syap.g_01568
OG0000112	Praf.g_01400	Syap.g_02023
OG0000113	Praf.g_01556	Syap.g_02714
OG0000114	Praf.g_01461	Syap.g_01255
OG0000115	Praf.g_01825	Syap.g_02004
OG0000116	Praf.g_00825	Syap.g_00241
OG0000117	Praf.g_00919	Syap.g_01889
OG0000118	Praf.g_00779	Syap.g_02286
OG0000120	Praf.g_02343	Syap.g_02075
OG0000121	Praf.g_01796	Syap.g_02471
OG0000123	Praf.g_02108	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Praf.g_00153	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Praf.g_02664	Syap.g_01046, Syap.g_01047
OG0000126	Praf.g_02777	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Praf.g_01187, Praf.g_00342, Praf.g_02627, Praf.g_01168	Syap.g_00736
OG0000127	Praf.g_00338	Syap.g_00737, Syap.g_00735
OG0000128	Praf.g_00012	Syap.g_00069
OG0000129	Praf.g_02652	Syap.g_00130, Syap.g_00129
OG0000130	Praf.g_00321	Syap.g_01688, Syap.g_01689
OG0000131	Praf.g_02432	Syap.g_02189
OG0000132	Praf.g_02452	Syap.g_01205
OG0000133	Praf.g_02336	Syap.g_02017
OG0000134	Praf.g_02012	Syap.g_02047
OG0000135	Praf.g_02715	Syap.g_02090
OG0000136	Praf.g_01984	Syap.g_00089
OG0000137	Praf.g_01907	Syap.g_02756
OG0000138	Praf.g_00612	Syap.g_00278
OG0000139	Praf.g_00666	Syap.g_00410
OG0000140	Praf.g_00670	Syap.g_01976
OG0000141	Praf.g_00764	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Praf.g_01692	Syap.g_00895, Syap.g_00894
OG0000143	Praf.g_01696	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Praf.g_01721	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Praf.g_00617	Syap.g_01860, Syap.g_01859
OG0000146	Praf.g_01401	Syap.g_02024
OG0000147	Praf.g_01402	Syap.g_02025
OG0000148	Praf.g_01548	Syap.g_02720
OG0000149	Praf.g_01604	Syap.g_00824
OG0000150	Praf.g_01625	Syap.g_01540
OG0000151	Praf.g_01478	Syap.g_00142
OG0000152	Praf.g_01392	Syap.g_02012
OG0000153	Praf.g_01362	Syap.g_02682
OG0000154	Praf.g_01337	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Praf.g_00886	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Praf.g_00810	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Praf.g_00809	Syap.g_00249, Syap.g_00286
OG0000158	Praf.g_02394	Syap.g_01075
OG0000160	Praf.g_01795	Syap.g_02470, Syap.g_02469
OG0000161	Praf.g_01805	Syap.g_02476
OG0000162	Praf.g_01817	Syap.g_02531
OG0000164	Praf.g_00453	Syap.g_01391, Syap.g_01392
OG0000165	Praf.g_00444	Syap.g_01381, Syap.g_01382
OG0000166	Praf.g_02157	Syap.g_00512, Syap.g_01238
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Syap.g_02080
OG0000168	Praf.g_02395	Syap.g_01076
OG0000169	Praf.g_00191	Syap.g_01049, Syap.g_01093
OG0000170	Praf.g_00183	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Praf.g_00154	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Praf.g_00087	Syap.g_01143, Syap.g_00635
OG0000173	Praf.g_00062	Syap.g_00982, Syap.g_00983
OG0000174	Praf.g_02717	Syap.g_02092
OG0000175	Praf.g_02754	Syap.g_02654
OG0000176	Praf.g_00004	Syap.g_00059
OG0000177	Praf.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Praf.g_00006	Syap.g_00062
OG0000179	Praf.g_00021	Syap.g_00077, Syap.g_02638
OG0000180	Praf.g_00022	Syap.g_00078, Syap.g_02640
OG0000181	Praf.g_00023	Syap.g_00079, Syap.g_02641
OG0000182	Praf.g_00024	Syap.g_00080, Syap.g_02642
OG0000183	Praf.g_00028	Syap.g_00084
OG0000184	Praf.g_02611	Syap.g_01337
OG0000185	Praf.g_00333	Syap.g_01322
OG0000186	Praf.g_00328	Syap.g_01684
OG0000187	Praf.g_00326	Syap.g_01686
OG0000188	Praf.g_00303	Syap.g_02547
OG0000191	Praf.g_00218	Syap.g_02233
OG0000192	Praf.g_00212	Syap.g_02224
OG0000193	Praf.g_02433	Syap.g_02187, Syap.g_02188
OG0000194	Praf.g_02436	Syap.g_02183
OG0000195	Praf.g_02438	Syap.g_02180
OG0000196	Praf.g_02449	Syap.g_01208, Syap.g_02167
OG0000197	Praf.g_02450	Syap.g_01207, Syap.g_02166
OG0000198	Praf.g_02451	Syap.g_01206
OG0000199	Praf.g_02468	Syap.g_01197
OG0000200	Praf.g_02492	Syap.g_01181
OG0000201	Praf.g_02511	Syap.g_02265
OG0000202	Praf.g_02512	Syap.g_02264
OG0000203	Praf.g_02513	Syap.g_01601
OG0000204	Praf.g_02514	Syap.g_01602
OG0000205	Praf.g_02521	Syap.g_01616
OG0000206	Praf.g_02532	Syap.g_01628
OG0000207	Praf.g_02582	Syap.g_01426, Syap.g_00424
OG0000208	Praf.g_02581	Syap.g_00426, Syap.g_01425
OG0000209	Praf.g_02557	Syap.g_01906
OG0000210	Praf.g_02556	Syap.g_01905
OG0000211	Praf.g_00378	Syap.g_01160
OG0000212	Praf.g_00392	Syap.g_02664
OG0000213	Praf.g_02245	Syap.g_00107, Syap.g_01599
OG0000214	Praf.g_02263	Syap.g_02344, Syap.g_02345
OG0000215	Praf.g_02293	Syap.g_01347, Syap.g_01629
OG0000216	Praf.g_02296	Syap.g_01634
OG0000217	Praf.g_02300	Syap.g_01638
OG0000218	Praf.g_02302	Syap.g_01641, Syap.g_01640
OG0000219	Praf.g_02303	Syap.g_01642, Syap.g_01643
OG0000220	Praf.g_02304	Syap.g_01645
OG0000221	Praf.g_02314	Syap.g_01646
OG0000222	Praf.g_02323	Syap.g_01669
OG0000223	Praf.g_02347	Syap.g_02072, Syap.g_02073
OG0000224	Praf.g_02358	Syap.g_02064
OG0000225	Praf.g_02030	Syap.g_00553, Syap.g_00552
OG0000226	Praf.g_02026	Syap.g_02029, Syap.g_02144
