Orthogroup	Syac	Other
OG0000013	Syac.g_02062	Syar.g_03167
OG0000017	Syac.g_01749	Praj.g_00585
OG0000017	Syac.g_01749	Prbb.g_00598
OG0000017	Syac.g_01749	Prbc.g_01674
OG0000017	Syac.g_01749	Prbm.g_00628
OG0000017	Syac.g_01749	Syar.g_03181
OG0000027	Syac.g_01095	Syao.g_01286
OG0000027	Syac.g_01009	Syar.g_02835
OG0000027	Syac.g_01009	Pral.g_00039, Pral.g_01036
OG0000027	Syac.g_01009	Prak.g_01564, Prak.g_01521
OG0000027	Syac.g_01009	Prap.g_01860, Prap.g_01912
OG0000027	Syac.g_01009	Prbe.g_01121, Prbe.g_00012
OG0000027	Syac.g_01009	Prbf.g_00774, Prbf.g_00817
OG0000027	Syac.g_01009	Prbg.g_01569, Prbg.g_00721
OG0000027	Syac.g_01009	Prbn.g_01664, Prbn.g_00139
OG0000027	Syac.g_01009	Prat.g_01548, Prat.g_01474
OG0000027	Syac.g_01009	Praj.g_01331
OG0000027	Syac.g_01009	Prbb.g_01375
OG0000027	Syac.g_01009	Prbc.g_00072
OG0000027	Syac.g_01009	Prai.g_00904
OG0000027	Syac.g_01009	Prab.g_00914, Prab.g_01616
OG0000027	Syac.g_01009	Pran.g_00583
OG0000027	Syac.g_01009	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000027	Syac.g_01009	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000027	Syac.g_01009	Prav.g_01068, Prav.g_01416
OG0000027	Syac.g_01009	Prac.g_01074
OG0000027	Syac.g_01009	Praq.g_00521
OG0000027	Syac.g_01009	Prar.g_00520
OG0000027	Syac.g_01009	Pras.g_01348, Pras.g_00185
OG0000027	Syac.g_01009	Prao.g_00576, Prao.g_01293
OG0000027	Syac.g_01009	Prbi.g_00472, Prbi.g_01374
OG0000027	Syac.g_01009	Pray.g_00960, Pray.g_01887
OG0000027	Syac.g_01009	Praz.g_01858, Praz.g_01197
OG0000027	Syac.g_01009	Prba.g_00991, Prba.g_01175
OG0000027	Syac.g_01009	Prae.g_00444, Prae.g_01311
OG0000027	Syac.g_01009	Praa.g_00470, Praa.g_01301
OG0000027	Syac.g_01009	Prbd.g_00772, Prbd.g_01832
OG0000027	Syac.g_01009	Prad.g_01298, Prad.g_00353
OG0000027	Syac.g_01009	Prax.g_01916
OG0000027	Syac.g_01009	Prau.g_01353
OG0000027	Syac.g_01009	Syan.g_02678
OG0000027	Syac.g_01009	Syao.g_00202
OG0000027	Syac.g_01009	Syar.g_02835
OG0000037	Syac.g_01077	Syab.g_02280
OG0000037	Syac.g_01077	Syal.g_00601
