Orthogroup	Syai	Other
OG0000013	Syai.g_00436	Syar.g_03167
OG0000017	Syai.g_00801	Praj.g_00585
OG0000017	Syai.g_00801	Prbb.g_00598
OG0000017	Syai.g_00801	Prbc.g_01674
OG0000017	Syai.g_00801	Prbm.g_00628
OG0000017	Syai.g_00801	Syar.g_03181
OG0000027	Syai.g_01654	Syao.g_01286
OG0000037	Syai.g_02815	Syab.g_02280
OG0000037	Syai.g_02815	Syal.g_00601
OG0000044	Syai.g_00833	Syab.g_01097
OG0000059	Syai.g_00351	Syal.g_01332
OG0000066	Syai.g_01709, Syai.g_00719	Syab.g_01516
OG0000066	Syai.g_01709, Syai.g_00719	Syar.g_03187
OG0000070	Syai.g_02196	Syar.g_03150
OG0000079	Syai.g_00300	Praf.g_02225
OG0000087	Syai.g_02592	Syar.g_03192
OG0000090	Syai.g_00707	Syar.g_03271
OG0000099	Syai.g_00151	Prao.g_01214
OG0000099	Syai.g_00151	Prau.g_01434, Prau.g_01435
OG0000099	Syai.g_00151	Pras.g_00294
OG0000099	Syai.g_00151	Prad.g_00566
OG0000099	Syai.g_00151	Prav.g_01514
OG0000099	Syai.g_00151	Prag.g_01424
OG0000099	Syai.g_00151	Praw.g_01051
OG0000099	Syai.g_00151	Pray.g_01788
OG0000099	Syai.g_00151	Praz.g_01098
OG0000099	Syai.g_00151	Prba.g_00155
OG0000099	Syai.g_00151	Prac.g_00256
OG0000099	Syai.g_00151	Praq.g_00216
OG0000099	Syai.g_00151	Prar.g_00872
OG0000099	Syai.g_00151	Prax.g_01825
OG0000099	Syai.g_00151	Prbm.g_00394
OG0000099	Syai.g_00151	Prbc.g_01229
OG0000099	Syai.g_00151	Praj.g_00372
OG0000099	Syai.g_00151	Prbb.g_00388
OG0000099	Syai.g_00151	Praa.g_01394
OG0000099	Syai.g_00151	Prbi.g_01462
OG0000099	Syai.g_00151	Prak.g_01352
OG0000099	Syai.g_00151	Prap.g_00082
OG0000099	Syai.g_00151	Prbe.g_00350
OG0000099	Syai.g_00151	Prbf.g_00118
OG0000099	Syai.g_00151	Prbg.g_00552
OG0000099	Syai.g_00151	Prbn.g_00173
OG0000099	Syai.g_00151	Pral.g_01201
OG0000099	Syai.g_00151	Prat.g_01312
OG0000099	Syai.g_00151	Prab.g_01394
OG0000099	Syai.g_00151	Pran.g_00806
OG0000099	Syai.g_00151	Prae.g_01390
OG0000099	Syai.g_00151	Prbd.g_01734
OG0000099	Syai.g_00151	Pram.g_01445
OG0000099	Syai.g_00151	Prbh.g_00032
OG0000099	Syai.g_00151	Prai.g_01393
OG0000099	Syai.g_00199	Prau.g_01491
OG0000112	Syai.g_01512	Syar.g_03195
OG0000134	Syai.g_00520	Syar.g_02009
OG0000145	Syai.g_00660	Syar.g_03205
OG0000149	Syai.g_02059	Syar.g_03289, Syar.g_03288
OG0000153	Syai.g_01461	Syar.g_03283
OG0000158	Syai.g_00135	Syao.g_01141
OG0000185	Syai.g_02734	Praf.g_00333
OG0000188	Syai.g_00696	Syaq.g_01539
OG0000188	Syai.g_00696	Syag.g_01839
OG0000188	Syai.g_00696	Prbj.g_00581
OG0000188	Syai.g_00696	Prbk.g_01303
OG0000188	Syai.g_00696	Prbl.g_00591
OG0000188	Syai.g_00696	Praf.g_00303
OG0000188	Syai.g_00696	Prah.g_01860
OG0000188	Syai.g_00696	Pral.g_00965
OG0000188	Syai.g_00696	Prat.g_00080
OG0000188	Syai.g_00696	Prak.g_00086
OG0000188	Syai.g_00696	Prap.g_01096
OG0000188	Syai.g_00696	Prbe.g_00186
OG0000188	Syai.g_00696	Prbf.g_01408
OG0000188	Syai.g_00696	Prbg.g_00788
OG0000188	Syai.g_00696	Prbn.g_01339
OG0000188	Syai.g_00696	Pram.g_00066
OG0000188	Syai.g_00696	Prbh.g_00701
OG0000188	Syai.g_00696	Prbc.g_00491
OG0000188	Syai.g_00696	Prbm.g_00139
OG0000188	Syai.g_00696	Praj.g_00120
OG0000188	Syai.g_00696	Prbb.g_00137
OG0000188	Syai.g_00696	Prai.g_00082
OG0000188	Syai.g_00696	Prab.g_00074
OG0000188	Syai.g_00696	Pran.g_00350
OG0000188	Syai.g_00696	Prac.g_01849
OG0000188	Syai.g_00696	Praq.g_01921
OG0000188	Syai.g_00696	Prar.g_00246
OG0000188	Syai.g_00696	Prad.g_01911
OG0000188	Syai.g_00696	Pras.g_00933
OG0000188	Syai.g_00696	Prau.g_00083
OG0000188	Syai.g_00696	Praa.g_00082
OG0000188	Syai.g_00696	Prax.g_00653
OG0000188	Syai.g_00696	Prae.g_00082
OG0000188	Syai.g_00696	Prbd.g_01162
OG0000188	Syai.g_00696	Prao.g_00221
OG0000188	Syai.g_00696	Prbi.g_00089
OG0000188	Syai.g_00696	Pray.g_00207
OG0000188	Syai.g_00696	Praz.g_00442
OG0000188	Syai.g_00696	Prba.g_01870
OG0000188	Syai.g_00696	Prav.g_00147
OG0000188	Syai.g_00696	Prag.g_00076
OG0000188	Syai.g_00696	Praw.g_01352
OG0000194	Syai.g_02612	Syar.g_03236
OG0000202	Syai.g_02668	Syar.g_00021
OG0000203	Syai.g_02669	Syar.g_00020
