Orthogroup	Prbi	Other
OG0000017	Prbi.g_00600	Syar.g_03181
OG0000017	Prbi.g_00600	Praj.g_00585
OG0000017	Prbi.g_00600	Prbb.g_00598
OG0000017	Prbi.g_00600	Prbc.g_01674
OG0000017	Prbi.g_00600	Prbm.g_00628
OG0000018	Prbi.g_01188, Prbi.g_00874	Syap.g_02708
OG0000027	Prbi.g_00472, Prbi.g_01374	Syac.g_01009
OG0000027	Prbi.g_00472, Prbi.g_01374	Syar.g_02835
OG0000037	Prbi.g_00116	Syat.g_01575
OG0000044	Prbi.g_01744, Prbi.g_01760	Syab.g_01097
OG0000052	Prbi.g_01478	Syal.g_01396
OG0000052	Prbi.g_01478	Syae.g_01224
OG0000052	Prbi.g_01478	Syaq.g_00935
OG0000052	Prbi.g_01478	Syaa.g_00461
OG0000052	Prbi.g_01478	Syag.g_02491
OG0000059	Prbi.g_01873, Prbi.g_01717	Syal.g_01332
OG0000061	Prbi.g_01207	Syab.g_00171
OG0000061	Prbi.g_01207	Prbb.g_00874
OG0000061	Prbi.g_01207	Syah.g_00215
OG0000061	Prbi.g_01207	Pral.g_00639
OG0000061	Prbi.g_01207	Syaj.g_02351
OG0000061	Prbi.g_01207	Syaa.g_00469
OG0000061	Prbi.g_01207	Syap.g_00870
OG0000062	Prbi.g_01668	Praf.g_01047
OG0000062	Prbi.g_01482	Prav.g_01551, Prav.g_01338
OG0000062	Prbi.g_01482	Praf.g_01047
OG0000062	Prbi.g_01482	Syar.g_01439
OG0000062	Prbi.g_01482	Syal.g_02113
OG0000062	Prbi.g_01482	Syas.g_00070
OG0000062	Prbi.g_01482	Syan.g_00098
OG0000062	Prbi.g_01482	Syap.g_01365
OG0000062	Prbi.g_01482	Syaf.g_02167
OG0000062	Prbi.g_01482	Prav.g_01551, Prav.g_01338
OG0000062	Prbi.g_01482	Praf.g_01047
OG0000070	Prbi.g_00451	Syar.g_03150
OG0000076	Prbi.g_01994	Syao.g_01251
OG0000099	Prbi.g_01462	Syai.g_00151
OG0000107	Prbi.g_00409	Syar.g_03290
OG0000107	Prbi.g_00409	Syat.g_02009
OG0000108	Prbi.g_00483	Syap.g_02256
OG0000117	Prbi.g_01330	Pral.g_01881
OG0000124	Prbi.g_02010	Syag.g_02485
OG0000131	Prbi.g_00169	Syar.g_02216
OG0000132	Prbi.g_00188	Syaj.g_00688
OG0000132	Prbi.g_00188	Syaq.g_01036
OG0000138	Prbi.g_00498	Syaj.g_02631
OG0000138	Prbi.g_00498	Syak.g_01062
