Orthogroup	Prak	Other
OG0000017	Prak.g_00559	Praj.g_00585
OG0000017	Prak.g_00559	Prbb.g_00598
OG0000017	Prak.g_00559	Prbc.g_01674
OG0000017	Prak.g_00559	Prbm.g_00628
OG0000017	Prak.g_00559	Syar.g_03181
OG0000018	Prak.g_01194, Prak.g_00873	Syap.g_02708
OG0000027	Prak.g_01564, Prak.g_01521	Syac.g_01009
OG0000027	Prak.g_01564, Prak.g_01521	Syar.g_02835
OG0000037	Prak.g_00115	Syat.g_01575
OG0000052	Prak.g_01369	Syag.g_02491
OG0000052	Prak.g_01369	Syaa.g_00461
OG0000052	Prak.g_01369	Syal.g_01396
OG0000052	Prak.g_01369	Syae.g_01224
OG0000052	Prak.g_01369	Syaq.g_00935
OG0000059	Prak.g_01732	Syal.g_01332
OG0000061	Prak.g_01172	Syab.g_00171
OG0000061	Prak.g_01172	Syah.g_00215
OG0000061	Prak.g_01172	Syaj.g_02351
OG0000061	Prak.g_01172	Syaa.g_00469
OG0000061	Prak.g_01172	Syap.g_00870
OG0000076	Prak.g_01842	Syao.g_01251
OG0000093	Prak.g_01071	Prbb.g_01606
OG0000099	Prak.g_01352	Syai.g_00151
OG0000107	Prak.g_01709	Syar.g_03290
OG0000107	Prak.g_01709	Syat.g_02009
OG0000108	Prak.g_00441	Syap.g_02256
OG0000120	Prak.g_01349	Pras.g_00330
OG0000124	Prak.g_01859	Syag.g_02485
OG0000131	Prak.g_00156	Syar.g_02216
OG0000132	Prak.g_00176	Syaq.g_01036
OG0000138	Prak.g_00456	Syak.g_01062
OG0000138	Prak.g_00456	Syaj.g_02631
OG0000142	Prak.g_01108	Syab.g_01524
OG0000145	Prak.g_01261	Syar.g_03205
OG0000148	Prak.g_00862	Syab.g_01683
OG0000148	Prak.g_00862	Syaj.g_01002
OG0000158	Prak.g_01824	Syao.g_01141
OG0000159	Prak.g_00065	Syap.g_00700
OG0000173	Prak.g_01880	Syap.g_01213
OG0000188	Prak.g_00086	Syai.g_00696
OG0000205	Prak.g_00215	Praf.g_02708
OG0000224	Prak.g_00342	Syar.g_00762
OG0000230	Prak.g_00400	Syar.g_03275
OG0000250	Prak.g_00532	Syar.g_03194
OG0000253	Prak.g_00556	Syar.g_03229
OG0000259	Prak.g_01082	Syas.g_01006
OG0000268	Prak.g_01040	Syaf.g_00307
OG0000283	Prak.g_00949	Syal.g_02131
OG0000284	Prak.g_00954	Syar.g_03258
OG0000289	Prak.g_01027	Syar.g_03305
OG0000303	Prak.g_01115	Syar.g_03136
OG0000323	Prak.g_01672	Syas.g_00159
OG0000330	Prak.g_01757	Syar.g_03190
OG0000344	Prak.g_01833	Syab.g_02424
OG0000346	Prak.g_01843	Syap.g_02423
OG0000379	Prak.g_00053	Syal.g_02681
OG0000390	Prak.g_00121	Prad.g_00011
OG0000771	Prak.g_01487	Prau.g_01496
OG0001008	Prak.g_00399	Syar.g_03274
OG0001140	Prak.g_01139	Syab.g_00642
OG0001269	Prak.g_00900	Syal.g_02116
OG0001284	Prak.g_01466	Syas.g_02124
OG0001349	Prak.g_01353	Syaa.g_00454
OG0001356	Prak.g_01633	Syaf.g_02177
OG0001423	Prak.g_00645	Syam.g_00534
OG0001488	Prak.g_01159	Syad.g_00051, Syad.g_00050
OG0001518	Prak.g_01901	Syal.g_02309
OG0001588	Prak.g_00387	Praf.g_02600
OG0002098	Prak.g_01312	Syas.g_02127
