Orthogroup	Prbj	Other
OG0000017	Prbj.g_01769	Praj.g_00585
OG0000017	Prbj.g_01769	Prbb.g_00598
OG0000017	Prbj.g_01769	Prbc.g_01674
OG0000017	Prbj.g_01769	Prbm.g_00628
OG0000017	Prbj.g_01769	Syar.g_03181
OG0000018	Prbj.g_00641	Syap.g_02708
OG0000037	Prbj.g_00624	Syat.g_01575
OG0000059	Prbj.g_01521	Syal.g_01332
OG0000070	Prbj.g_00118	Syar.g_03150
OG0000076	Prbj.g_01598	Syao.g_01251
OG0000077	Prbj.g_01900	Syan.g_02579
OG0000099	Prbj.g_01464	Prau.g_01491
OG0000108	Prbj.g_01630	Syap.g_02256
OG0000112	Prbj.g_02276	Syar.g_03195
OG0000142	Prbj.g_02573	Syab.g_01524
OG0000145	Prbj.g_01607	Syar.g_03205
OG0000148	Prbj.g_02431	Syab.g_01683
OG0000148	Prbj.g_02431	Syaj.g_01002
OG0000158	Prbj.g_01514	Syao.g_01141
OG0000173	Prbj.g_01227	Syap.g_01213
OG0000184	Prbj.g_01943	Syal.g_02678
OG0000188	Prbj.g_00581	Syai.g_00696
OG0000216	Prbj.g_01422	Syad.g_00285
OG0000230	Prbj.g_00102	Syar.g_03275
OG0000250	Prbj.g_01805	Syar.g_03194
OG0000255	Prbj.g_02546	Syar.g_00011
OG0000268	Prbj.g_02314	Syaf.g_00307
OG0000274	Prbj.g_02471	Syar.g_00009
OG0000283	Prbj.g_02303	Syal.g_02131
OG0000284	Prbj.g_02297	Syar.g_03258
OG0000289	Prbj.g_02201	Syar.g_03305
OG0000330	Prbj.g_01005	Syar.g_03190
OG0000344	Prbj.g_01579	Syab.g_02424
OG0000379	Prbj.g_01920	Syal.g_02681
OG0001008	Prbj.g_00101	Syar.g_03274
OG0001140	Prbj.g_00007	Syab.g_00642
OG0001356	Prbj.g_01986	Syaf.g_02177
OG0001395	Prbj.g_02197	Syal.g_00001
OG0001399	Prbj.g_00377, Prbj.g_00390	Prbi.g_00155, Prbi.g_00722
OG0001412	Prbj.g_00978	Syat.g_00584
OG0001412	Prbj.g_00978	Syaa.g_01020
OG0001498	Prbj.g_00065	Syar.g_03286
OG0001508	Prbj.g_01254	Syap.g_01139
OG0001518	Prbj.g_01971	Syal.g_02309
OG0001618	Prbj.g_02188	Syap.g_02409
OG0001635	Prbj.g_02633	Syao.g_02182
OG0001671	Prbj.g_00254	Syar.g_03173
OG0001671	Prbj.g_00254	Syan.g_03115
OG0001673	Prbj.g_00178	Syah.g_01195
OG0001702	Prbj.g_00591	Syas.g_02448
OG0001790	Prbj.g_00960	Syar.g_03295
OG0001812	Prbj.g_01946	Syar.g_03308
OG0002047	Prbj.g_00062	Syap.g_02153
OG0002161	Prbj.g_00438	Syar.g_01825
OG0002229	Prbj.g_01261	Syap.g_01002
OG0002288	Prbj.g_01065	Syal.g_00377
