Orthogroup	Prbk	Other
OG0000017	Prbk.g_01142	Praj.g_00585
OG0000017	Prbk.g_01142	Prbb.g_00598
OG0000017	Prbk.g_01142	Prbc.g_01674
OG0000017	Prbk.g_01142	Prbm.g_00628
OG0000017	Prbk.g_01142	Syar.g_03181
OG0000018	Prbk.g_01227	Syap.g_02708
OG0000037	Prbk.g_00007	Syat.g_01575
OG0000059	Prbk.g_00533	Syal.g_01332
OG0000070	Prbk.g_00310	Syar.g_03150
OG0000076	Prbk.g_00237	Syao.g_01251
OG0000077	Prbk.g_00307	Syan.g_02579
OG0000099	Prbk.g_00476	Prau.g_01491
OG0000108	Prbk.g_02061	Syap.g_02256
OG0000112	Prbk.g_02332	Syar.g_03195
OG0000142	Prbk.g_02631	Syab.g_01524
OG0000145	Prbk.g_01863	Syar.g_03205
OG0000148	Prbk.g_02487	Syab.g_01683
OG0000148	Prbk.g_02487	Syaj.g_01002
OG0000158	Prbk.g_00526	Syao.g_01141
OG0000173	Prbk.g_01594	Syap.g_01213
OG0000184	Prbk.g_02148	Syal.g_02678
OG0000188	Prbk.g_01303	Syai.g_00696
OG0000216	Prbk.g_00434	Syad.g_00285
OG0000230	Prbk.g_00326	Syar.g_03275
OG0000250	Prbk.g_01106	Syar.g_03194
OG0000255	Prbk.g_02604	Syar.g_00011
OG0000268	Prbk.g_02370	Syaf.g_00307
OG0000274	Prbk.g_02527	Syar.g_00009
OG0000283	Prbk.g_02359	Syal.g_02131
OG0000284	Prbk.g_02353	Syar.g_03258
OG0000289	Prbk.g_00596	Syar.g_03305
OG0000330	Prbk.g_00968	Syar.g_03190
OG0000344	Prbk.g_00218	Syab.g_02424
OG0000379	Prbk.g_02125	Syal.g_02681
OG0001008	Prbk.g_00327	Syar.g_03274
OG0001140	Prbk.g_00134	Syab.g_00642
OG0001356	Prbk.g_02191	Syaf.g_02177
OG0001395	Prbk.g_00600	Syal.g_00001
OG0001399	Prbk.g_00834, Prbk.g_00821	Prbi.g_00155, Prbi.g_00722
OG0001412	Prbk.g_00941	Syat.g_00584
OG0001412	Prbk.g_00941	Syaa.g_01020
OG0001498	Prbk.g_00363	Syar.g_03286
OG0001508	Prbk.g_01567	Syap.g_01139
OG0001518	Prbk.g_02176	Syal.g_02309
OG0001618	Prbk.g_00609	Syap.g_02409
OG0001635	Prbk.g_02658	Syao.g_02182
OG0001671	Prbk.g_00666	Syar.g_03173
OG0001671	Prbk.g_00666	Syan.g_03115
OG0001673	Prbk.g_01367	Syah.g_01195
OG0001702	Prbk.g_01293	Syas.g_02448
OG0001790	Prbk.g_01030	Syar.g_03295
OG0001812	Prbk.g_02151	Syar.g_03308
OG0002047	Prbk.g_00366	Syap.g_02153
OG0002161	Prbk.g_01394	Syar.g_01825
OG0002229	Prbk.g_01560	Syap.g_01002
OG0002288	Prbk.g_00268	Syal.g_00377
