Orthogroup	Syah	Other
OG0000013	Syah.g_00817	Syar.g_03167
OG0000017	Syah.g_01152	Praj.g_00585
OG0000017	Syah.g_01152	Prbb.g_00598
OG0000017	Syah.g_01152	Prbc.g_01674
OG0000017	Syah.g_01152	Prbm.g_00628
OG0000017	Syah.g_01152	Syar.g_03181
OG0000027	Syah.g_01541	Syao.g_01286
OG0000037	Syah.g_00956, Syah.g_01365	Syab.g_01241
OG0000044	Syah.g_01194	Syab.g_01097
OG0000059	Syah.g_00737	Syal.g_01332
OG0000061	Syah.g_00215	Syaq.g_00249
OG0000061	Syah.g_00215	Syak.g_00898
OG0000061	Syah.g_00215	Syab.g_00969
OG0000061	Syah.g_00215	Syal.g_01653
OG0000061	Syah.g_00215	Prad.g_01496
OG0000061	Syah.g_00215	Prbm.g_01549
OG0000061	Syah.g_00215	Praj.g_01461
OG0000061	Syah.g_00215	Prbc.g_01446
OG0000061	Syah.g_00215	Prbb.g_01517
OG0000061	Syah.g_00215	Pral.g_01367
OG0000061	Syah.g_00215	Prat.g_01156
OG0000061	Syah.g_00215	Prak.g_01172
OG0000061	Syah.g_00215	Prap.g_00456
OG0000061	Syah.g_00215	Prbe.g_01549
OG0000061	Syah.g_00215	Prbf.g_00918
OG0000061	Syah.g_00215	Prbg.g_01486
OG0000061	Syah.g_00215	Prbn.g_01189
OG0000061	Syah.g_00215	Pram.g_01140
OG0000061	Syah.g_00215	Prbh.g_01283
OG0000061	Syah.g_00215	Prae.g_01163
OG0000061	Syah.g_00215	Prax.g_00200
OG0000061	Syah.g_00215	Pras.g_00056
OG0000061	Syah.g_00215	Prau.g_01206
OG0000061	Syah.g_00215	Praa.g_01159
OG0000061	Syah.g_00215	Prbd.g_00468
OG0000061	Syah.g_00215	Prbi.g_01207
OG0000061	Syah.g_00215	Prao.g_01089
OG0000061	Syah.g_00215	Prac.g_00985
OG0000061	Syah.g_00215	Praq.g_01333
OG0000061	Syah.g_00215	Prar.g_01263
OG0000061	Syah.g_00215	Prav.g_00065
OG0000061	Syah.g_00215	Prag.g_01153
OG0000061	Syah.g_00215	Praw.g_00234
OG0000061	Syah.g_00215	Pray.g_00064
OG0000061	Syah.g_00215	Praz.g_00755
OG0000061	Syah.g_00215	Prba.g_00064
OG0000061	Syah.g_00215	Praa.g_01415
OG0000061	Syah.g_00215	Praa.g_01415
OG0000061	Syah.g_00215	Syab.g_00171
OG0000061	Syah.g_00215	Prbb.g_00874
OG0000061	Syah.g_00215	Syab.g_00171
OG0000061	Syah.g_00215	Prbb.g_00874
OG0000061	Syah.g_00215	Praf.g_01859
OG0000061	Syah.g_00215	Syaa.g_00469
OG0000061	Syah.g_00215	Syap.g_00870
OG0000061	Syah.g_00215	Syaa.g_00469
OG0000061	Syah.g_00215	Syap.g_00870
OG0000061	Syah.g_00215	Pral.g_00639
OG0000061	Syah.g_00215	Syaj.g_02351
OG0000061	Syah.g_00215	Pral.g_00639
OG0000061	Syah.g_00215	Syaj.g_02351
OG0000061	Syah.g_00215	Prah.g_00104
OG0000061	Syah.g_00215	Prae.g_01422
OG0000061	Syah.g_00215	Prae.g_01422
OG0000066	Syah.g_01073	Syab.g_01516
OG0000066	Syah.g_01073	Syar.g_03187
OG0000070	Syah.g_02217	Syar.g_03150
OG0000079	Syah.g_00665	Praf.g_02225
OG0000087	Syah.g_00038	Syar.g_03192
OG0000090	Syah.g_01064	Syar.g_03271
OG0000099	Syah.g_00144	Prau.g_01491
OG0000107	Syah.g_00688	Syat.g_02009
OG0000107	Syah.g_00688	Syar.g_03290
OG0000112	Syah.g_01613	Syar.g_03195
OG0000134	Syah.g_00891	Syar.g_02009
OG0000140	Syah.g_01071	Syar.g_03246
OG0000142	Syah.g_01935	Syab.g_01524
OG0000145	Syah.g_01019	Syar.g_03205
OG0000148	Syah.g_01758	Syab.g_01683
OG0000149	Syah.g_02096	Syar.g_03289, Syar.g_03288
OG0000153	Syah.g_01656	Syar.g_03283
OG0000158	Syah.g_00204	Syao.g_01141
OG0000185	Syah.g_00528	Praf.g_00333
OG0000194	Syah.g_00056	Syar.g_03236
OG0000202	Syah.g_00600	Syar.g_00021
OG0000203	Syah.g_00599	Syar.g_00020
OG0000209	Syah.g_00544	Syar.g_03261
OG0000210	Syah.g_00543	Syar.g_03260
OG0000229	Syah.g_02236	Syar.g_03273
OG0000230	Syah.g_02234	Syar.g_03275
OG0000233	Syah.g_01210	Syar.g_03183
OG0000236	Syah.g_01011	Syar.g_03311
OG0000239	Syah.g_01048	Syar.g_03277
OG0000240	Syah.g_01049	Syar.g_03278
OG0000245	Syah.g_01090	Syar.g_03238
OG0000250	Syah.g_01120	Syar.g_03194
OG0000251	Syah.g_01145	Syar.g_03207
OG0000252	Syah.g_01148	Syar.g_03263
OG0000253	Syah.g_01149	Syar.g_03229
OG0000255	Syah.g_01968	Syar.g_00011
OG0000258	Syah.g_01926	Syar.g_00010
OG0000260	Syah.g_01497	Syar.g_03220
OG0000264	Syah.g_02000	Syar.g_03267
OG0000274	Syah.g_02076	Syar.g_00009
OG0000278	Syah.g_02092	Syar.g_03174
OG0000282	Syah.g_01531	Syar.g_03255
OG0000283	Syah.g_01585	Syal.g_02131
OG0000289	Syah.g_01695	Syar.g_03305
OG0000293	Syah.g_02173	Syar.g_03297
OG0000295	Syah.g_02131	Syar.g_03208
OG0000303	Syah.g_01387	Syar.g_03136
OG0000306	Syah.g_02116	Syar.g_03140
OG0000307	Syah.g_00978	Syar.g_03153
OG0000312	Syah.g_01304	Syar.g_00015
OG0000323	Syah.g_02425	Syas.g_00159
OG0000325	Syah.g_00689	Syar.g_03291
OG0000330	Syah.g_00761	Syar.g_03190
OG0000338	Syah.g_00181	Syar.g_03225
OG0000346	Syah.g_00251	Syap.g_02423
OG0000367	Syah.g_00349	Syar.g_03262
OG0000388	Syah.g_02533	Syar.g_03148
OG0000486	Syah.g_00099	Syar.g_00024
OG0000559	Syah.g_01093	Syal.g_02305
OG0000995	Syah.g_00452	Syar.g_03212
OG0001008	Syah.g_02235	Syar.g_03274
OG0001217	Syah.g_01869	Syas.g_02493
OG0001257	Syah.g_01237	Syaa.g_00405
OG0001269	Syah.g_00916	Syal.g_02116
OG0001284	Syah.g_02348	Syas.g_02124
OG0001376	Syah.g_00483	Syar.g_03203
OG0001377	Syah.g_00484	Syar.g_03202
OG0001395	Syah.g_01705	Syal.g_00001
OG0001488	Syah.g_02136	Syar.g_03222
OG0001498	Syah.g_00889	Syar.g_03286
OG0001515	Syah.g_02001	Syar.g_03266
OG0001544	Syah.g_00477	Syar.g_00001
OG0001592	Syah.g_00521	Syar.g_03309
OG0001615	Syah.g_02103	Syar.g_03185
OG0001618	Syah.g_01717	Syap.g_02409
OG0001623	Syah.g_00842	Syao.g_01889
OG0001635	Syah.g_00270	Prah.g_01421
OG0001635	Syah.g_00270	Syao.g_02182
OG0001671	Syah.g_00550	Syan.g_03115
OG0001671	Syah.g_00550	Syar.g_03173
OG0001673	Syah.g_01195	Prbj.g_00178
OG0001673	Syah.g_01195	Prbk.g_01367
OG0001673	Syah.g_01195	Prbl.g_01921
OG0001673	Syah.g_01195	Praf.g_00377
OG0001673	Syah.g_01195	Prah.g_01783
OG0001673	Syah.g_01195	Pral.g_00808
OG0001673	Syah.g_01195	Prat.g_00237
OG0001673	Syah.g_01195	Prbm.g_00292
OG0001673	Syah.g_01195	Praj.g_00272
OG0001673	Syah.g_01195	Prbb.g_00289
OG0001673	Syah.g_01195	Prbc.g_00338
OG0001748	Syah.g_00554	Prbm.g_01213
OG0001748	Syah.g_00554	Prad.g_01323
OG0001748	Syah.g_00554	Prao.g_00152
OG0001748	Syah.g_00554	Pral.g_01684
OG0001748	Syah.g_00554	Prat.g_00838
OG0001752	Syah.g_02289	Syar.g_03214
OG0001787	Syah.g_01063	Syar.g_03272
OG0001790	Syah.g_02171	Syar.g_03295
OG0001808	Syah.g_00180	Syar.g_03226
OG0001812	Syah.g_00520	Syar.g_03308
OG0001880	Syah.g_01626	Syar.g_03302
OG0001881	Syah.g_01625	Syar.g_03301
OG0001882	Syah.g_01601	Syar.g_03147
OG0001892	Syah.g_02115	Syar.g_03139
OG0002024	Syah.g_00426	Syar.g_00004
OG0002047	Syah.g_00885	Syap.g_02153
OG0002192	Syah.g_02132	Syar.g_03209
OG0002213	Syah.g_00519	Syar.g_03307
OG0002400	Syah.g_01364	Syam.g_01527
OG0002407	Syah.g_01354	Syag.g_01590
