Orthogroup	Prae	Other
OG0000017	Prae.g_00572	Syar.g_03181
OG0000017	Prae.g_00572	Praj.g_00585
OG0000017	Prae.g_00572	Prbb.g_00598
OG0000017	Prae.g_00572	Prbc.g_01674
OG0000017	Prae.g_00572	Prbm.g_00628
OG0000018	Prae.g_01144, Prae.g_00833	Syap.g_02708
OG0000027	Prae.g_00444, Prae.g_01311	Syac.g_01009
OG0000027	Prae.g_00444, Prae.g_01311	Syar.g_02835
OG0000037	Prae.g_00108	Syat.g_01575
OG0000052	Prae.g_01416	Syal.g_01396
OG0000052	Prae.g_01416	Syae.g_01224
OG0000052	Prae.g_01416	Syaq.g_00935
OG0000052	Prae.g_01416	Syag.g_02491
OG0000052	Prae.g_01416	Syaa.g_00461
OG0000059	Prae.g_01710	Syal.g_01332
OG0000061	Prae.g_01163	Syab.g_00171
OG0000061	Prae.g_01163	Prbb.g_00874
OG0000061	Prae.g_01163	Syah.g_00215
OG0000061	Prae.g_01163	Pral.g_00639
OG0000061	Prae.g_01163	Syaj.g_02351
OG0000061	Prae.g_01163	Syaa.g_00469
OG0000061	Prae.g_01163	Syap.g_00870
OG0000061	Prae.g_01422	Praa.g_01415
OG0000061	Prae.g_01422	Praa.g_01415
OG0000061	Prae.g_01422	Syab.g_00171
OG0000061	Prae.g_01422	Prbb.g_00874
OG0000061	Prae.g_01422	Syab.g_00171
OG0000061	Prae.g_01422	Prbb.g_00874
OG0000061	Prae.g_01422	Praf.g_01859
OG0000061	Prae.g_01422	Syaa.g_00469
OG0000061	Prae.g_01422	Syap.g_00870
OG0000061	Prae.g_01422	Syaa.g_00469
OG0000061	Prae.g_01422	Syap.g_00870
OG0000061	Prae.g_01422	Pral.g_00639
OG0000061	Prae.g_01422	Syaj.g_02351
OG0000061	Prae.g_01422	Pral.g_00639
OG0000061	Prae.g_01422	Syaj.g_02351
OG0000061	Prae.g_01422	Syah.g_00215
OG0000061	Prae.g_01422	Syah.g_00215
OG0000061	Prae.g_01422	Prah.g_00104
OG0000062	Prae.g_01537	Praf.g_01047
OG0000070	Prae.g_00424	Syar.g_03150
OG0000076	Prae.g_01815	Syao.g_01251
OG0000099	Prae.g_01390	Syai.g_00151
OG0000107	Prae.g_00385	Syar.g_03290
OG0000107	Prae.g_00385	Syat.g_02009
OG0000108	Prae.g_00454	Syap.g_02256
OG0000117	Prae.g_01263	Pral.g_01881
OG0000124	Prae.g_01831	Syag.g_02485
OG0000131	Prae.g_00148	Syar.g_02216
OG0000132	Prae.g_00167	Syaj.g_00688
OG0000132	Prae.g_00167	Syaq.g_01036
OG0000138	Prae.g_00469	Syaj.g_02631
OG0000138	Prae.g_00469	Syak.g_01062
OG0000142	Prae.g_00609	Syab.g_01524
OG0000145	Prae.g_00766	Syar.g_03205
OG0000148	Prae.g_00822	Syab.g_01683
OG0000148	Prae.g_00822	Syaj.g_01002
OG0000158	Prae.g_01426	Syao.g_01141
OG0000159	Prae.g_01438	Syap.g_00700
OG0000173	Prae.g_01853	Syap.g_01213
OG0000188	Prae.g_00082	Syai.g_00696
OG0000205	Prae.g_00205	Praf.g_02708
OG0000224	Prae.g_00326	Syar.g_00762
OG0000230	Prae.g_00412	Syar.g_03275
OG0000250	Prae.g_00546	Syar.g_03194
OG0000253	Prae.g_00569	Syar.g_03229
OG0000259	Prae.g_00634	Syas.g_01006
OG0000268	Prae.g_00733	Syaf.g_00307
OG0000283	Prae.g_00941	Syal.g_02131
OG0000284	Prae.g_00946	Syar.g_03258
OG0000289	Prae.g_01024	Syar.g_03305
OG0000303	Prae.g_01216	Syar.g_03136
OG0000323	Prae.g_01650	Syas.g_00159
OG0000330	Prae.g_01736	Syar.g_03190
OG0000344	Prae.g_01807	Syab.g_02424
OG0000346	Prae.g_01816	Syap.g_02423
OG0000379	Prae.g_00052	Syal.g_02681
OG0000771	Prae.g_01434	Prau.g_01496
OG0001008	Prae.g_00411	Syar.g_03274
OG0001140	Prae.g_01191	Syab.g_00642
OG0001269	Prae.g_00358	Syal.g_02116
OG0001284	Prae.g_01529	Syas.g_02124
OG0001356	Prae.g_01231	Syaf.g_02177
OG0001395	Prae.g_01027	Syal.g_00001
OG0001635	Prae.g_01601	Syao.g_02182
OG0002033	Prae.g_01348	Prar.g_01072
OG0002767	Prae.g_00055	Prbi.g_01412
