Orthogroup	Syag	Other
OG0000013	Syag.g_02806	Syar.g_03167
OG0000017	Syag.g_00336	Praj.g_00585
OG0000017	Syag.g_00336	Prbb.g_00598
OG0000017	Syag.g_00336	Prbc.g_01674
OG0000017	Syag.g_00336	Prbm.g_00628
OG0000017	Syag.g_00336	Syar.g_03181
OG0000027	Syag.g_00165	Syao.g_01286
OG0000052	Syag.g_02491	Syar.g_02742, Syar.g_02751
OG0000052	Syag.g_02491	Pram.g_01436
OG0000052	Syag.g_02491	Prbh.g_00041
OG0000052	Syag.g_02491	Prab.g_01423
OG0000052	Syag.g_02491	Pran.g_00777
OG0000052	Syag.g_02491	Pray.g_01793
OG0000052	Syag.g_02491	Praz.g_01103
OG0000052	Syag.g_02491	Prba.g_00160
OG0000052	Syag.g_02491	Pras.g_00285
OG0000052	Syag.g_02491	Praa.g_01447, Praa.g_01407
OG0000052	Syag.g_02491	Prak.g_01369
OG0000052	Syag.g_02491	Prap.g_00099
OG0000052	Syag.g_02491	Prbe.g_00333
OG0000052	Syag.g_02491	Prbf.g_00135
OG0000052	Syag.g_02491	Prbg.g_00569
OG0000052	Syag.g_02491	Prbn.g_00190
OG0000052	Syag.g_02491	Syao.g_01085
OG0000052	Syag.g_02491	Prai.g_00154
OG0000052	Syag.g_02491	Prav.g_01533
OG0000052	Syag.g_02491	Syal.g_01396
OG0000052	Syag.g_02491	Syae.g_01224
OG0000052	Syag.g_02491	Syaq.g_00935
OG0000052	Syag.g_02491	Syal.g_01396
OG0000052	Syag.g_02491	Syae.g_01224
OG0000052	Syag.g_02491	Syaq.g_00935
OG0000052	Syag.g_02491	Prau.g_01489
OG0000052	Syag.g_02491	Prae.g_01416
OG0000052	Syag.g_02491	Prag.g_01444
OG0000052	Syag.g_02491	Praw.g_01071
OG0000052	Syag.g_02491	Syaa.g_00461
OG0000052	Syag.g_02491	Syaa.g_00461
OG0000052	Syag.g_02491	Prbi.g_01478
OG0000070	Syag.g_00049	Syar.g_03150
OG0000099	Syag.g_02536	Prau.g_01491
OG0000112	Syag.g_00801	Syar.g_03195
OG0000124	Syag.g_02485	Pram.g_01850
OG0000124	Syag.g_02485	Prbh.g_01564
OG0000124	Syag.g_02485	Prak.g_01859
OG0000124	Syag.g_02485	Prap.g_01563
OG0000124	Syag.g_02485	Prbf.g_00478
OG0000124	Syag.g_02485	Prbg.g_01864
OG0000124	Syag.g_02485	Prbn.g_00979
OG0000124	Syag.g_02485	Prbe.g_00745
OG0000124	Syag.g_02485	Pral.g_00322
OG0000124	Syag.g_02485	Prat.g_01805
OG0000124	Syag.g_02485	Praj.g_02031
OG0000124	Syag.g_02485	Prbc.g_00193
OG0000124	Syag.g_02485	Prbi.g_02010
OG0000124	Syag.g_02485	Pras.g_00759
OG0000124	Syag.g_02485	Prau.g_01941
OG0000124	Syag.g_02485	Prag.g_01877
OG0000124	Syag.g_02485	Praw.g_00023
OG0000124	Syag.g_02485	Prav.g_00705
OG0000124	Syag.g_02485	Prac.g_00056
OG0000124	Syag.g_02485	Praq.g_00682
OG0000124	Syag.g_02485	Prar.g_00668
OG0000124	Syag.g_02485	Prae.g_01831
OG0000124	Syag.g_02485	Praa.g_01848
OG0000124	Syag.g_02485	Prax.g_01410
OG0000124	Syag.g_02485	Prbd.g_01318
OG0000124	Syag.g_02485	Prao.g_01759
OG0000124	Syag.g_02485	Prad.g_01616
OG0000124	Syag.g_02485	Pray.g_01380
OG0000124	Syag.g_02485	Praz.g_00189
OG0000124	Syag.g_02485	Prba.g_00784
OG0000124	Syag.g_02485	Prab.g_01873
OG0000124	Syag.g_02485	Pran.g_01176
OG0000124	Syag.g_02485	Prai.g_01854
OG0000124	Syag.g_02485	Prbm.g_02111
OG0000124	Syag.g_02485	Prbb.g_02079
OG0000185	Syag.g_02092	Praf.g_00333
OG0000188	Syag.g_01839	Syai.g_00696
OG0000194	Syag.g_01955	Syar.g_03236
OG0000233	Syag.g_01330	Syar.g_03183
OG0000239	Syag.g_01472	Syar.g_03277
OG0000250	Syag.g_00299	Syar.g_03194
OG0000253	Syag.g_00333	Syar.g_03229
OG0000255	Syag.g_00369	Syar.g_00011
OG0000259	Syag.g_00560	Syas.g_01006
OG0000260	Syag.g_00570	Syar.g_03220
OG0000264	Syag.g_01011	Syar.g_03267
OG0000274	Syag.g_00714	Syar.g_00009
OG0000283	Syag.g_00775	Syal.g_02131
OG0000344	Syag.g_02407	Syab.g_02424
OG0000346	Syag.g_02392	Syap.g_02423
OG0001217	Syag.g_00151	Syas.g_02493
OG0001257	Syag.g_00176	Syaa.g_00405
OG0001349	Syag.g_02479	Syaa.g_00454
OG0001356	Syag.g_00942	Syaf.g_02177
OG0001376	Syag.g_02153	Syar.g_03203
OG0001377	Syag.g_02152	Syar.g_03202
OG0001478	Syag.g_01337	Syas.g_01345
OG0001488	Syag.g_01119	Syad.g_00051, Syad.g_00050
OG0001498	Syag.g_00006	Syar.g_03286
OG0001544	Syag.g_02158	Syar.g_00001
OG0001618	Syag.g_00909	Syap.g_02409
OG0001623	Syag.g_02828	Syao.g_01889
OG0001653	Syag.g_01462	Syao.g_01290, Syao.g_02667
OG0001653	Syag.g_01462	Syan.g_00521, Syan.g_02960, Syan.g_02959
OG0001653	Syag.g_01462	Syam.g_02438
OG0001653	Syag.g_01462	Syaf.g_00507
OG0001653	Syag.g_01462	Syai.g_02924
OG0001671	Syag.g_02063	Syan.g_03115
OG0001671	Syag.g_02063	Syar.g_03173
OG0001702	Syag.g_01855	Syas.g_02448
OG0001880	Syag.g_00815	Syar.g_03302
OG0002139	Syag.g_01040	Syaj.g_00408
OG0002161	Syag.g_01311	Syar.g_01825
OG0002400	Syag.g_01602	Syam.g_01527
OG0002407	Syag.g_01590	Syad.g_00082
OG0002407	Syag.g_01590	Syaj.g_02186
OG0002407	Syag.g_01590	Syaa.g_01567
OG0002407	Syag.g_01590	Syab.g_00996
OG0002407	Syag.g_01590	Syal.g_01680
OG0002407	Syag.g_01590	Syah.g_01354
OG0002407	Syag.g_01590	Syak.g_00165
OG0002407	Syag.g_01590	Syaf.g_01668
OG0002407	Syag.g_01590	Syam.g_00979
OG0002407	Syag.g_01590	Syai.g_01666, Syai.g_01667
