Orthogroup	Prbl	Other
OG0000017	Prbl.g_01763	Praj.g_00585
OG0000017	Prbl.g_01763	Prbb.g_00598
OG0000017	Prbl.g_01763	Prbc.g_01674
OG0000017	Prbl.g_01763	Prbm.g_00628
OG0000017	Prbl.g_01763	Syar.g_03181
OG0000018	Prbl.g_00694	Syap.g_02708
OG0000037	Prbl.g_00548	Syat.g_01575
OG0000059	Prbl.g_00836	Syal.g_01332
OG0000070	Prbl.g_00634	Syar.g_03150
OG0000076	Prbl.g_01285	Syao.g_01251
OG0000077	Prbl.g_00631	Syan.g_02579
OG0000099	Prbl.g_00893	Prau.g_01491
OG0000108	Prbl.g_00511	Syap.g_02256
OG0000112	Prbl.g_02470	Syar.g_03195
OG0000142	Prbl.g_01639	Syab.g_01524
OG0000145	Prbl.g_00534	Syar.g_03205
OG0000148	Prbl.g_02316	Syab.g_01683
OG0000148	Prbl.g_02316	Syaj.g_01002
OG0000158	Prbl.g_00843	Syao.g_01141
OG0000173	Prbl.g_02000	Syap.g_01213
OG0000184	Prbl.g_02251	Syal.g_02678
OG0000188	Prbl.g_00591	Syai.g_00696
OG0000216	Prbl.g_01436	Syad.g_00285
OG0000230	Prbl.g_00650	Syar.g_03275
OG0000250	Prbl.g_01799	Syar.g_03194
OG0000255	Prbl.g_01612	Syar.g_00011
OG0000268	Prbl.g_02432	Syaf.g_00307
OG0000274	Prbl.g_01535	Syar.g_00009
OG0000283	Prbl.g_02443	Syal.g_02131
OG0000284	Prbl.g_02449	Syar.g_03258
OG0000289	Prbl.g_02544	Syar.g_03305
OG0000330	Prbl.g_00976	Syar.g_03190
OG0000344	Prbl.g_01304	Syab.g_02424
OG0000379	Prbl.g_02274	Syal.g_02681
OG0001008	Prbl.g_00651	Syar.g_03274
OG0001140	Prbl.g_01115	Syab.g_00642
OG0001356	Prbl.g_02208	Syaf.g_02177
OG0001395	Prbl.g_02548	Syal.g_00001
OG0001399	Prbl.g_01164, Prbl.g_01151	Prbi.g_00155, Prbi.g_00722
OG0001412	Prbl.g_01003	Syat.g_00584
OG0001412	Prbl.g_01003	Syaa.g_01020
OG0001498	Prbl.g_02675	Syar.g_03286
OG0001508	Prbl.g_02027	Syap.g_01139
OG0001518	Prbl.g_02223	Syal.g_02309
OG0001618	Prbl.g_02557	Syap.g_02409
OG0001635	Prbl.g_01814	Syao.g_02182
OG0001671	Prbl.g_01248	Syar.g_03173
OG0001671	Prbl.g_01248	Syan.g_03115
OG0001673	Prbl.g_01921	Syah.g_01195
OG0001702	Prbl.g_00581	Syas.g_02448
OG0001790	Prbl.g_02073	Syar.g_03295
OG0001812	Prbl.g_02248	Syar.g_03308
OG0002047	Prbl.g_02672	Syap.g_02153
OG0002161	Prbl.g_00327	Syar.g_01825
OG0002229	Prbl.g_02034	Syap.g_01002
OG0002288	Prbl.g_00233	Syal.g_00377
