Orthogroup	Praq	Other
OG0000017	Praq.g_01004	Syar.g_03181
OG0000017	Praq.g_01004	Praj.g_00585
OG0000017	Praq.g_01004	Prbb.g_00598
OG0000017	Praq.g_01004	Prbc.g_01674
OG0000017	Praq.g_01004	Prbm.g_00628
OG0000018	Praq.g_01314, Praq.g_01425	Syap.g_02708
OG0000027	Praq.g_00521	Syac.g_01009
OG0000027	Praq.g_00521	Syar.g_02835
OG0000037	Praq.g_01894	Syat.g_01575
OG0000044	Praq.g_00058	Syab.g_01097
OG0000059	Praq.g_00927	Syal.g_01332
OG0000061	Praq.g_01333	Syab.g_00171
OG0000061	Praq.g_01333	Prbb.g_00874
OG0000061	Praq.g_01333	Syah.g_00215
OG0000061	Praq.g_01333	Pral.g_00639
OG0000061	Praq.g_01333	Syaj.g_02351
OG0000061	Praq.g_01333	Syaa.g_00469
OG0000061	Praq.g_01333	Syap.g_00870
OG0000062	Praq.g_00372	Praf.g_01047
OG0000070	Praq.g_01107	Syar.g_03150
OG0000076	Praq.g_01243, Praq.g_00763	Syao.g_01251
OG0000099	Praq.g_00216	Syai.g_00151
OG0000107	Praq.g_01158	Syar.g_03290
OG0000107	Praq.g_01158	Syat.g_02009
OG0000108	Praq.g_00531	Syap.g_02256
OG0000117	Praq.g_00084	Pral.g_01881
OG0000124	Praq.g_00682	Syag.g_02485
OG0000131	Praq.g_01857	Syar.g_02216
OG0000132	Praq.g_01838	Syaj.g_00688
OG0000132	Praq.g_01838	Syaq.g_01036
OG0000138	Praq.g_00546	Syaj.g_02631
OG0000138	Praq.g_00546	Syak.g_01062
OG0000142	Praq.g_00967	Syab.g_01524
OG0000145	Praq.g_00637	Syar.g_03205
OG0000148	Praq.g_01414	Syab.g_01683
OG0000148	Praq.g_01414	Syaj.g_01002
OG0000158	Praq.g_00258	Syao.g_01141
OG0000159	Praq.g_00253	Syap.g_00700
OG0000173	Praq.g_00704	Syap.g_01213
OG0000188	Praq.g_01921	Syai.g_00696
OG0000205	Praq.g_01800	Praf.g_02708
OG0000224	Praq.g_01677	Syar.g_00762
OG0000230	Praq.g_01119	Syar.g_03275
OG0000250	Praq.g_01031	Syar.g_03194
OG0000253	Praq.g_01007	Syar.g_03229
OG0000259	Praq.g_00789	Syas.g_01006
OG0000268	Praq.g_00605	Syaf.g_00307
OG0000283	Praq.g_01525	Syal.g_02131
OG0000284	Praq.g_01530	Syar.g_03258
OG0000289	Praq.g_01603	Syar.g_03305
OG0000303	Praq.g_01386	Syar.g_03136
OG0000323	Praq.g_00470	Syas.g_00159
OG0000330	Praq.g_00901	Syar.g_03190
OG0000344	Praq.g_00755	Syab.g_02424
OG0000346	Praq.g_00764	Syap.g_02423
OG0000379	Praq.g_01266	Syal.g_02681
OG0000771	Praq.g_00257	Prau.g_01496
OG0001008	Praq.g_01120	Syar.g_03274
OG0001140	Praq.g_01361	Syab.g_00642
OG0001269	Praq.g_01185	Syal.g_02116
OG0001284	Praq.g_00364	Syas.g_02124
OG0001349	Praq.g_00221	Syaa.g_00454
OG0001356	Praq.g_00067	Syaf.g_02177
OG0001395	Praq.g_01606	Syal.g_00001
OG0001423	Praq.g_00859	Syam.g_00534
