Orthogroup	Prba	Other
OG0000017	Prba.g_01719	Syar.g_03181
OG0000017	Prba.g_01719	Praj.g_00585
OG0000017	Prba.g_01719	Prbb.g_00598
OG0000017	Prba.g_01719	Prbc.g_01674
OG0000017	Prba.g_01719	Prbm.g_00628
OG0000018	Prba.g_00083, Prba.g_01472	Syap.g_02708
OG0000027	Prba.g_00991, Prba.g_01175	Syac.g_01009
OG0000027	Prba.g_00991, Prba.g_01175	Syar.g_02835
OG0000037	Prba.g_01897	Syat.g_01575
OG0000044	Prba.g_00002	Syab.g_01097
OG0000052	Prba.g_00160	Syag.g_02491
OG0000052	Prba.g_00160	Syaa.g_00461
OG0000052	Prba.g_00160	Syal.g_01396
OG0000052	Prba.g_00160	Syae.g_01224
OG0000052	Prba.g_00160	Syaq.g_00935
OG0000056	Prba.g_01120	Prbc.g_01108
OG0000059	Prba.g_00381, Prba.g_00127	Syal.g_01332
OG0000061	Prba.g_00064	Syab.g_00171
OG0000061	Prba.g_00064	Prbb.g_00874
OG0000061	Prba.g_00064	Syah.g_00215
OG0000061	Prba.g_00064	Pral.g_00639
OG0000061	Prba.g_00064	Syaj.g_02351
OG0000061	Prba.g_00064	Syaa.g_00469
OG0000061	Prba.g_00064	Syap.g_00870
OG0000062	Prba.g_00310	Praf.g_01047
OG0000070	Prba.g_01011	Syar.g_03150
OG0000076	Prba.g_00768	Syao.g_01251
OG0000099	Prba.g_00155	Syai.g_00151
OG0000107	Prba.g_00880	Syar.g_03290
OG0000107	Prba.g_00880	Syat.g_02009
OG0000108	Prba.g_00981	Syap.g_02256
OG0000117	Prba.g_01135	Pral.g_01881
OG0000120	Prba.g_00175	Pras.g_00330
OG0000124	Prba.g_00784	Syag.g_02485
OG0000131	Prba.g_01933	Syar.g_02216
OG0000132	Prba.g_01952	Syaj.g_00688
OG0000132	Prba.g_01952	Syaq.g_01036
OG0000138	Prba.g_00966	Syaj.g_02631
OG0000138	Prba.g_00966	Syak.g_01062
OG0000142	Prba.g_01682	Syab.g_01524
OG0000145	Prba.g_01541	Syar.g_03205
OG0000148	Prba.g_01483	Syab.g_01683
OG0000148	Prba.g_01483	Syaj.g_01002
OG0000158	Prba.g_00154	Syao.g_01141
OG0000159	Prba.g_00152	Syap.g_00700
OG0000173	Prba.g_00807	Syap.g_01213
OG0000188	Prba.g_01870	Syai.g_00696
OG0000205	Prba.g_00658	Praf.g_02708
OG0000224	Prba.g_00541	Syar.g_00762
OG0000230	Prba.g_01023	Syar.g_03275
OG0000250	Prba.g_01744	Syar.g_03194
OG0000253	Prba.g_01722	Syar.g_03229
OG0000259	Prba.g_01657	Syas.g_01006
OG0000268	Prba.g_01572	Syaf.g_00307
OG0000283	Prba.g_01360	Syal.g_02131
OG0000284	Prba.g_01355	Syar.g_03258
OG0000289	Prba.g_01280	Syar.g_03305
OG0000303	Prba.g_00010	Syar.g_03136
OG0000323	Prba.g_00593	Syas.g_00159
OG0000330	Prba.g_00407	Syar.g_03190
OG0000344	Prba.g_00759	Syab.g_02424
OG0000346	Prba.g_00769	Syap.g_02423
OG0000379	Prba.g_01844	Syal.g_02681
OG0001008	Prba.g_01024	Syar.g_03274
OG0001140	Prba.g_00035	Syab.g_00642
OG0001269	Prba.g_00853	Syal.g_02116
OG0001284	Prba.g_00318	Syas.g_02124
OG0001349	Prba.g_00116	Syaa.g_00454
OG0001356	Prba.g_01535	Syaf.g_02177
OG0001395	Prba.g_01277	Syal.g_00001
OG0001635	Prba.g_00244	Syao.g_02182
OG0002033	Prba.g_01211	Prar.g_01072
