Orthogroup	Prbc	Other
OG0000017	Prbc.g_01674	Prak.g_00559
OG0000017	Prbc.g_01674	Pral.g_00491
OG0000017	Prbc.g_01674	Pram.g_00535
OG0000017	Prbc.g_01674	Prap.g_01170
OG0000017	Prbc.g_01674	Prat.g_00560
OG0000017	Prbc.g_01674	Prbe.g_00536
OG0000017	Prbc.g_01674	Prbf.g_01880
OG0000017	Prbc.g_01674	Prbg.g_00317
OG0000017	Prbc.g_01674	Prbh.g_00232
OG0000017	Prbc.g_01674	Prbn.g_00517
OG0000017	Prbc.g_01674	Syaa.g_01890
OG0000017	Prbc.g_01674	Syab.g_01953
OG0000017	Prbc.g_01674	Syac.g_01749
OG0000017	Prbc.g_01674	Syad.g_01084
OG0000017	Prbc.g_01674	Syae.g_02462
OG0000017	Prbc.g_01674	Syaf.g_02561
OG0000017	Prbc.g_01674	Syag.g_00336
OG0000017	Prbc.g_01674	Syah.g_01152
OG0000017	Prbc.g_01674	Syai.g_00801
OG0000017	Prbc.g_01674	Syaj.g_00248
OG0000017	Prbc.g_01674	Syal.g_02752
OG0000017	Prbc.g_01674	Syam.g_01715
OG0000017	Prbc.g_01674	Syaq.g_01992
OG0000017	Prbc.g_01674	Praf.g_00752
OG0000017	Prbc.g_01674	Prbj.g_01769
OG0000017	Prbc.g_01674	Prbk.g_01142
OG0000017	Prbc.g_01674	Prbl.g_01763
OG0000017	Prbc.g_01674	Syak.g_02730
OG0000017	Prbc.g_01674	Syar.g_03181
OG0000017	Prbc.g_01674	Syar.g_03181
OG0000017	Prbc.g_01674	Praa.g_00598
OG0000017	Prbc.g_01674	Prac.g_00773
OG0000017	Prbc.g_01674	Prad.g_01387
OG0000017	Prbc.g_01674	Prae.g_00572
OG0000017	Prbc.g_01674	Prag.g_00576
OG0000017	Prbc.g_01674	Prao.g_00036
OG0000017	Prbc.g_01674	Praq.g_01004
OG0000017	Prbc.g_01674	Prar.g_01428
OG0000017	Prbc.g_01674	Pras.g_01474
OG0000017	Prbc.g_01674	Prau.g_00636
OG0000017	Prbc.g_01674	Prav.g_01194
OG0000017	Prbc.g_01674	Praw.g_01944
OG0000017	Prbc.g_01674	Prax.g_00057
