Orthogroup	Syaf	Other
OG0000013	Syaf.g_00061	Syar.g_03167
OG0000017	Syaf.g_02561	Praj.g_00585
OG0000017	Syaf.g_02561	Prbb.g_00598
OG0000017	Syaf.g_02561	Prbc.g_01674
OG0000017	Syaf.g_02561	Prbm.g_00628
OG0000017	Syaf.g_02561	Syar.g_03181
OG0000027	Syaf.g_01688	Syao.g_01286
OG0000059	Syaf.g_00143	Syal.g_01332
OG0000062	Syaf.g_02167	Prbi.g_01482
OG0000062	Syaf.g_02167	Prav.g_01338
OG0000062	Syaf.g_02167	Praf.g_01047
OG0000066	Syaf.g_02643	Syab.g_01516
OG0000066	Syaf.g_02643	Syar.g_03187
OG0000070	Syaf.g_01237	Syar.g_03150
OG0000079	Syaf.g_00197	Praf.g_02225
OG0000087	Syaf.g_00848	Syar.g_03192
OG0000090	Syaf.g_02654	Syar.g_03271
OG0000093	Syaf.g_01775	Prbb.g_01606
OG0000099	Syaf.g_00312	Prau.g_01491
OG0000107	Syaf.g_00177	Syat.g_02009
OG0000107	Syaf.g_00177	Syar.g_03290
OG0000112	Syaf.g_01852	Syar.g_03195
OG0000134	Syaf.g_02804	Syar.g_02009
OG0000145	Syaf.g_02699	Syar.g_03205
OG0000149	Syaf.g_01371	Syar.g_03289, Syar.g_03288
OG0000153	Syaf.g_01904	Syar.g_03283
OG0000158	Syaf.g_00364	Syao.g_01141
OG0000185	Syaf.g_00684	Praf.g_00333
OG0000194	Syaf.g_00829	Syar.g_03236
OG0000202	Syaf.g_00770	Syar.g_00021
OG0000203	Syaf.g_00769	Syar.g_00020
OG0000210	Syaf.g_00713	Syar.g_03260
OG0000229	Syaf.g_01214	Syar.g_03273
OG0000233	Syaf.g_02528	Syar.g_03183
OG0000236	Syaf.g_02707	Syar.g_03311
OG0000239	Syaf.g_02669	Syar.g_03277
OG0000240	Syaf.g_02668	Syar.g_03278
OG0000245	Syaf.g_02625	Syar.g_03238
OG0000250	Syaf.g_02593	Syar.g_03194
OG0000251	Syaf.g_02568	Syar.g_03207
OG0000253	Syaf.g_02564	Syar.g_03229
OG0000255	Syaf.g_02352	Syar.g_00011
OG0000258	Syaf.g_02301	Syar.g_00010
OG0000260	Syaf.g_02134	Syar.g_03220
OG0000264	Syaf.g_01473	Syar.g_03267
OG0000268	Syaf.g_00307	Prah.g_00752
OG0000268	Syaf.g_00307	Praf.g_01435
OG0000268	Syaf.g_00307	Prbj.g_02314
OG0000268	Syaf.g_00307	Prbk.g_02370
OG0000268	Syaf.g_00307	Prbl.g_02432
OG0000268	Syaf.g_00307	Prbm.g_00766
OG0000268	Syaf.g_00307	Prbb.g_00737
OG0000268	Syaf.g_00307	Praj.g_00722
OG0000268	Syaf.g_00307	Prbc.g_01811
OG0000268	Syaf.g_00307	Pram.g_01006
OG0000268	Syaf.g_00307	Prbh.g_01149
OG0000268	Syaf.g_00307	Prak.g_01040
