Orthogroup	Praf	Other
OG0000017	Praf.g_00752	Praj.g_00585
OG0000017	Praf.g_00752	Prbb.g_00598
OG0000017	Praf.g_00752	Prbc.g_01674
OG0000017	Praf.g_00752	Prbm.g_00628
OG0000017	Praf.g_00752	Syar.g_03181
OG0000018	Praf.g_01832	Syap.g_02708
OG0000037	Praf.g_00240	Syat.g_01575
OG0000061	Praf.g_01859	Praa.g_01415
OG0000061	Praf.g_01859	Syab.g_00171
OG0000061	Praf.g_01859	Prbb.g_00874
OG0000061	Praf.g_01859	Syah.g_00215
OG0000061	Praf.g_01859	Prae.g_01422
OG0000061	Praf.g_01859	Pral.g_00639
OG0000061	Praf.g_01859	Syaj.g_02351
OG0000061	Praf.g_01859	Syap.g_00870
OG0000061	Praf.g_01859	Syaa.g_00469
OG0000062	Praf.g_01047	Prbm.g_01792
OG0000062	Praf.g_01047	Prbc.g_00790
OG0000062	Praf.g_01047	Praj.g_01714
OG0000062	Praf.g_01047	Prbb.g_01768
OG0000062	Praf.g_01047	Prab.g_01544
OG0000062	Praf.g_01047	Pran.g_00655
OG0000062	Praf.g_01047	Prai.g_01540
OG0000062	Praf.g_01047	Prag.g_01568
OG0000062	Praf.g_01047	Praw.g_00415
OG0000062	Praf.g_01047	Prav.g_01656
OG0000062	Praf.g_01047	Prac.g_00333
OG0000062	Praf.g_01047	Praq.g_00372
OG0000062	Praf.g_01047	Prar.g_00769
OG0000062	Praf.g_01047	Pras.g_00431
OG0000062	Praf.g_01047	Prau.g_01609
OG0000062	Praf.g_01047	Praa.g_01555
OG0000062	Praf.g_01047	Prbi.g_01668
OG0000062	Praf.g_01047	Prax.g_01650
OG0000062	Praf.g_01047	Prae.g_01537
OG0000062	Praf.g_01047	Prbd.g_01610
OG0000062	Praf.g_01047	Prao.g_01474
OG0000062	Praf.g_01047	Prad.g_00436
OG0000062	Praf.g_01047	Pray.g_01644
OG0000062	Praf.g_01047	Praz.g_00963
OG0000062	Praf.g_01047	Prba.g_00310
OG0000062	Praf.g_01047	Prbi.g_01482
OG0000062	Praf.g_01047	Prbi.g_01482
OG0000062	Praf.g_01047	Syar.g_01439
OG0000062	Praf.g_01047	Syal.g_02113
OG0000062	Praf.g_01047	Syas.g_00070
OG0000062	Praf.g_01047	Syan.g_00098
OG0000062	Praf.g_01047	Syap.g_01365
OG0000062	Praf.g_01047	Prav.g_01338
OG0000062	Praf.g_01047	Prav.g_01338
OG0000062	Praf.g_01047	Syaf.g_02167
OG0000070	Praf.g_01962	Syar.g_03150
OG0000076	Praf.g_00178	Syao.g_01251
OG0000079	Praf.g_02225	Syaa.g_00303
OG0000079	Praf.g_02225	Syaf.g_00197
OG0000079	Praf.g_02225	Syai.g_00300
OG0000079	Praf.g_02225	Syam.g_00270
OG0000079	Praf.g_02225	Syae.g_02011
OG0000079	Praf.g_02225	Syad.g_00565
OG0000079	Praf.g_02225	Syaj.g_02609
OG0000079	Praf.g_02225	Syac.g_02211
