Orthogroup	Prah	Other
OG0000017	Prah.g_01405	Syar.g_03181
OG0000017	Prah.g_01405	Praj.g_00585
OG0000017	Prah.g_01405	Prbb.g_00598
OG0000017	Prah.g_01405	Prbc.g_01674
OG0000017	Prah.g_01405	Prbm.g_00628
OG0000018	Prah.g_00378	Syap.g_02708
OG0000037	Prah.g_01901	Syat.g_01575
OG0000061	Prah.g_00104	Praa.g_01415
OG0000061	Prah.g_00104	Syab.g_00171
OG0000061	Prah.g_00104	Prbb.g_00874
OG0000061	Prah.g_00104	Syaa.g_00469
OG0000061	Prah.g_00104	Syap.g_00870
OG0000061	Prah.g_00104	Pral.g_00639
OG0000061	Prah.g_00104	Syaj.g_02351
OG0000061	Prah.g_00104	Syah.g_00215
OG0000061	Prah.g_00104	Prae.g_01422
OG0000070	Prah.g_00252	Syar.g_03150
OG0000076	Prah.g_00150	Syao.g_01251
OG0000099	Prah.g_02191	Prau.g_01491
OG0000108	Prah.g_01566	Syap.g_02256
OG0000112	Prah.g_00788	Syar.g_03195
OG0000137	Prah.g_00105	Prat.g_00434
OG0000137	Prah.g_00105	Praj.g_00467
OG0000137	Prah.g_00105	Prbm.g_00500
OG0000137	Prah.g_00105	Prbb.g_00478
OG0000137	Prah.g_00105	Prbc.g_01534
OG0000137	Prah.g_00105	Prai.g_00505
OG0000137	Prah.g_00105	Praa.g_01414
OG0000142	Prah.g_00501	Syab.g_01524
OG0000145	Prah.g_01543	Syar.g_03205
OG0000148	Prah.g_00649	Syab.g_01683
OG0000148	Prah.g_00649	Syaj.g_01002
OG0000158	Prah.g_02242	Syao.g_01141
OG0000173	Prah.g_00061	Syap.g_01213
OG0000184	Prah.g_02478	Syal.g_02678
OG0000188	Prah.g_01860	Syai.g_00696
OG0000216	Prah.g_02151	Syad.g_00285
OG0000230	Prah.g_00232	Syar.g_03275
OG0000250	Prah.g_01443	Syar.g_03194
OG0000255	Prah.g_00530	Syar.g_00011
OG0000268	Prah.g_00752	Syaf.g_00307
OG0000274	Prah.g_00608	Syar.g_00009
OG0000283	Prah.g_00761	Syal.g_02131
OG0000284	Prah.g_00767	Syar.g_03258
OG0000289	Prah.g_00864	Syar.g_03305
OG0000330	Prah.g_02019	Syar.g_03190
OG0000344	Prah.g_00165	Syab.g_02424
OG0000379	Prah.g_02457	Syal.g_02681
OG0001008	Prah.g_00231	Syar.g_03274
OG0001140	Prah.g_01250	Syab.g_00642
OG0001356	Prah.g_02519	Syaf.g_02177
OG0001395	Prah.g_00868	Syal.g_00001
OG0001399	Prah.g_01971, Prah.g_00340	Prbi.g_00155, Prbi.g_00722
OG0001412	Prah.g_00083	Syat.g_00584
OG0001412	Prah.g_00083	Syaa.g_01020
OG0001498	Prah.g_00206	Syar.g_03286
OG0001505	Prah.g_00100	Prav.g_01548
OG0001518	Prah.g_02506	Syal.g_02309
OG0001618	Prah.g_00877	Syap.g_02409
OG0001635	Prah.g_01206	Syao.g_02182
OG0001635	Prah.g_01421	Syao.g_02182
OG0001635	Prah.g_01421	Syac.g_00137
OG0001635	Prah.g_01421	Syah.g_00270
OG0001635	Prah.g_01421	Syao.g_02182
OG0001635	Prah.g_01421	Syae.g_01811
OG0001635	Prah.g_01421	Syaa.g_00094
OG0001635	Prah.g_01421	Syaf.g_00412
OG0001635	Prah.g_01421	Syai.g_00091
OG0001669	Prah.g_00094	Prbd.g_01711
OG0001671	Prah.g_02407	Syar.g_03173
OG0001671	Prah.g_02407	Syan.g_03115
OG0001672	Prah.g_01854, Prah.g_01852	Syad.g_02743
OG0001672	Prah.g_01854, Prah.g_01852	Syaj.g_01833
OG0001672	Prah.g_01852	Syae.g_01318
OG0001672	Prah.g_01852	Syaa.g_00339
OG0001673	Prah.g_01783	Syah.g_01195
OG0001790	Prah.g_01334	Syar.g_03295
OG0001812	Prah.g_02481	Syar.g_03308
OG0002047	Prah.g_00203	Syap.g_02153
OG0002161	Prah.g_01749	Syar.g_01825
