Orthogroup	Prap	Other
OG0000017	Prap.g_01170	Praj.g_00585
OG0000017	Prap.g_01170	Prbb.g_00598
OG0000017	Prap.g_01170	Prbc.g_01674
OG0000017	Prap.g_01170	Prbm.g_00628
OG0000017	Prap.g_01170	Syar.g_03181
OG0000018	Prap.g_00478, Prap.g_00755	Syap.g_02708
OG0000027	Prap.g_01860, Prap.g_01912	Syac.g_01009
OG0000027	Prap.g_01860, Prap.g_01912	Syar.g_02835
OG0000037	Prap.g_01067	Syat.g_01575
OG0000052	Prap.g_00099	Syag.g_02491
OG0000052	Prap.g_00099	Syaa.g_00461
OG0000052	Prap.g_00099	Syal.g_01396
OG0000052	Prap.g_00099	Syae.g_01224
OG0000052	Prap.g_00099	Syaq.g_00935
OG0000059	Prap.g_01691	Syal.g_01332
OG0000061	Prap.g_00456	Syab.g_00171
OG0000061	Prap.g_00456	Syah.g_00215
OG0000061	Prap.g_00456	Syaj.g_02351
OG0000061	Prap.g_00456	Syaa.g_00469
OG0000061	Prap.g_00456	Syap.g_00870
OG0000076	Prap.g_01580	Syao.g_01251
OG0000093	Prap.g_00355	Prbb.g_01606
OG0000099	Prap.g_00082	Syai.g_00151
OG0000107	Prap.g_01714	Syar.g_03290
OG0000107	Prap.g_01714	Syat.g_02009
OG0000108	Prap.g_01287	Syap.g_02256
OG0000120	Prap.g_00079	Pras.g_00330
OG0000124	Prap.g_01563	Syag.g_02485
OG0000131	Prap.g_01026	Syar.g_02216
OG0000132	Prap.g_01006	Syaq.g_01036
OG0000138	Prap.g_01272	Syak.g_01062
OG0000138	Prap.g_01272	Syaj.g_02631
OG0000142	Prap.g_00392	Syab.g_01524
OG0000145	Prap.g_00545	Syar.g_03205
OG0000148	Prap.g_00766	Syab.g_01683
OG0000148	Prap.g_00766	Syaj.g_01002
OG0000158	Prap.g_01598	Syao.g_01141
OG0000159	Prap.g_00890	Syap.g_00700
OG0000173	Prap.g_01542	Syap.g_01213
OG0000188	Prap.g_01096	Syai.g_00696
OG0000205	Prap.g_00967	Praf.g_02708
OG0000224	Prap.g_01386	Syar.g_00762
OG0000230	Prap.g_01328	Syar.g_03275
OG0000250	Prap.g_01197	Syar.g_03194
OG0000253	Prap.g_01173	Syar.g_03229
OG0000259	Prap.g_00366	Syas.g_01006
OG0000268	Prap.g_00324	Syaf.g_00307
OG0000283	Prap.g_00680	Syal.g_02131
OG0000284	Prap.g_00675	Syar.g_03258
OG0000289	Prap.g_00311	Syar.g_03305
OG0000303	Prap.g_00399	Syar.g_03136
OG0000323	Prap.g_01751	Syas.g_00159
OG0000330	Prap.g_01666	Syar.g_03190
OG0000344	Prap.g_01589	Syab.g_02424
OG0000346	Prap.g_01579	Syap.g_02423
OG0000379	Prap.g_00902	Syal.g_02681
OG0000390	Prap.g_01061	Prad.g_00011
OG0000771	Prap.g_00217	Prau.g_01496
OG0001008	Prap.g_01329	Syar.g_03274
OG0001140	Prap.g_00423	Syab.g_00642
OG0001269	Prap.g_00728	Syal.g_02116
OG0001284	Prap.g_00196	Syas.g_02124
OG0001349	Prap.g_00083	Syaa.g_00454
OG0001356	Prap.g_01791	Syaf.g_02177
OG0001423	Prap.g_00633	Syam.g_00534
OG0001488	Prap.g_00443	Syad.g_00051, Syad.g_00050
OG0001518	Prap.g_01522	Syal.g_02309
OG0001588	Prap.g_01341	Praf.g_02600
OG0002098	Prap.g_01935	Syas.g_02127
