Orthogroup	Prav	Other
OG0000017	Prav.g_01194	Syar.g_03181
OG0000017	Prav.g_01194	Praj.g_00585
OG0000017	Prav.g_01194	Prbb.g_00598
OG0000017	Prav.g_01194	Prbc.g_01674
OG0000017	Prav.g_01194	Prbm.g_00628
OG0000018	Prav.g_00046, Prav.g_00424	Syap.g_02708
OG0000027	Prav.g_01068, Prav.g_01416	Syac.g_01009
OG0000027	Prav.g_01068, Prav.g_01416	Syar.g_02835
OG0000037	Prav.g_00174	Syat.g_01575
OG0000052	Prav.g_01533	Syag.g_02491
OG0000052	Prav.g_01533	Syaa.g_00461
OG0000052	Prav.g_01533	Syal.g_01396
OG0000052	Prav.g_01533	Syae.g_01224
OG0000052	Prav.g_01533	Syaq.g_00935
OG0000056	Prav.g_00106, Prav.g_00107, Prav.g_01421	Prbc.g_01108
OG0000059	Prav.g_00292	Syal.g_01332
OG0000061	Prav.g_00065	Syab.g_00171
OG0000061	Prav.g_00065	Prbb.g_00874
OG0000061	Prav.g_00065	Syah.g_00215
OG0000061	Prav.g_00065	Pral.g_00639
OG0000061	Prav.g_00065	Syaj.g_02351
OG0000061	Prav.g_00065	Syaa.g_00469
OG0000061	Prav.g_00065	Syap.g_00870
OG0000062	Prav.g_01656	Praf.g_01047
OG0000062	Prav.g_01551, Prav.g_01338	Prbi.g_01482
OG0000062	Prav.g_01551, Prav.g_01338	Prbi.g_01482
OG0000062	Prav.g_01551, Prav.g_01338	Syar.g_01439
OG0000062	Prav.g_01551, Prav.g_01338	Syal.g_02113
OG0000062	Prav.g_01551, Prav.g_01338	Syas.g_00070
OG0000062	Prav.g_01551, Prav.g_01338	Syan.g_00098
OG0000062	Prav.g_01551, Prav.g_01338	Syap.g_01365
OG0000062	Prav.g_01338	Syaf.g_02167
OG0000062	Prav.g_01338	Praf.g_01047
OG0000062	Prav.g_01338	Praf.g_01047
OG0000070	Prav.g_01049	Syar.g_03150
OG0000076	Prav.g_00689	Syao.g_01251
OG0000093	Prav.g_01497	Prbb.g_01606
OG0000099	Prav.g_01514	Syai.g_00151
OG0000107	Prav.g_01001	Syar.g_03290
OG0000107	Prav.g_01001	Syat.g_02009
OG0000108	Prav.g_01078	Syap.g_02256
OG0000117	Prav.g_01390	Pral.g_01396, Pral.g_01881
OG0000124	Prav.g_00705	Syag.g_02485
OG0000131	Prav.g_00212	Syar.g_02216
OG0000132	Prav.g_00874	Syaj.g_00688
OG0000132	Prav.g_00874	Syaq.g_01036
OG0000138	Prav.g_01093	Syaj.g_02631
OG0000138	Prav.g_01093	Syak.g_01062
OG0000142	Prav.g_01233	Syab.g_01524
OG0000145	Prav.g_00362	Syar.g_03205
OG0000148	Prav.g_00413	Syab.g_01683
OG0000148	Prav.g_00413	Syaj.g_01002
OG0000158	Prav.g_01505	Syao.g_01141
OG0000159	Prav.g_01506	Syap.g_00700
OG0000173	Prav.g_00727	Syap.g_01213
OG0000188	Prav.g_00147	Syai.g_00696
OG0000205	Prav.g_00836	Praf.g_02708
OG0000224	Prav.g_01971	Syar.g_00762
OG0000230	Prav.g_01037	Syar.g_03275
OG0000250	Prav.g_01169	Syar.g_03194
OG0000253	Prav.g_01191	Syar.g_03229
OG0000259	Prav.g_01258	Syas.g_01006
OG0000268	Prav.g_00328	Syaf.g_00307
OG0000283	Prav.g_00533	Syal.g_02131
OG0000284	Prav.g_00538	Syar.g_03258
OG0000289	Prav.g_00917	Syar.g_03305
OG0000303	Prav.g_01828	Syar.g_03136
OG0000323	Prav.g_01788	Syas.g_00159
OG0000330	Prav.g_00610	Syar.g_03190
OG0000344	Prav.g_00681	Syab.g_02424
OG0000346	Prav.g_00690	Syap.g_02423
OG0000379	Prav.g_00121	Syal.g_02681
OG0001008	Prav.g_01036	Syar.g_03274
OG0001140	Prav.g_01853	Syab.g_00642
OG0001269	Prav.g_00978	Syal.g_02116
OG0001284	Prav.g_01648	Syas.g_02124
OG0001349	Prav.g_01558	Syaa.g_00454
OG0001356	Prav.g_00957	Syaf.g_02177
OG0001395	Prav.g_00920	Syal.g_00001
OG0001412	Prav.g_00298	Praf.g_00131
OG0001412	Prav.g_00298	Syat.g_00584
OG0001412	Prav.g_00298	Syak.g_01621
OG0001412	Prav.g_00298	Syaa.g_01020
OG0001505	Prav.g_01548	Prao.g_01205
OG0001505	Prav.g_01548	Pras.g_00307
OG0001505	Prav.g_01548	Praj.g_02050
OG0001505	Prav.g_01548	Pral.g_00638
OG0001505	Prav.g_01548	Prah.g_00100
OG0001505	Prav.g_01548	Syad.g_00259
OG0001505	Prav.g_01548	Syaq.g_00934
OG0001505	Prav.g_01548	Prbi.g_01509
OG0001505	Prav.g_01548	Syac.g_00105
OG0001505	Prav.g_01548	Syaj.g_02359
OG0002033	Prav.g_00942	Prar.g_01072
