Orthogroup	Prbm	Other
OG0000017	Prbm.g_00628	Prak.g_00559
OG0000017	Prbm.g_00628	Pral.g_00491
OG0000017	Prbm.g_00628	Pram.g_00535
OG0000017	Prbm.g_00628	Prap.g_01170
OG0000017	Prbm.g_00628	Prat.g_00560
OG0000017	Prbm.g_00628	Prbe.g_00536
OG0000017	Prbm.g_00628	Prbf.g_01880
OG0000017	Prbm.g_00628	Prbg.g_00317
OG0000017	Prbm.g_00628	Prbh.g_00232
OG0000017	Prbm.g_00628	Prbn.g_00517
OG0000017	Prbm.g_00628	Syaa.g_01890
OG0000017	Prbm.g_00628	Syab.g_01953
OG0000017	Prbm.g_00628	Syac.g_01749
OG0000017	Prbm.g_00628	Syad.g_01084
OG0000017	Prbm.g_00628	Syae.g_02462
OG0000017	Prbm.g_00628	Syaf.g_02561
OG0000017	Prbm.g_00628	Syag.g_00336
OG0000017	Prbm.g_00628	Syah.g_01152
OG0000017	Prbm.g_00628	Syai.g_00801
OG0000017	Prbm.g_00628	Syaj.g_00248
OG0000017	Prbm.g_00628	Syal.g_02752
OG0000017	Prbm.g_00628	Syam.g_01715
OG0000017	Prbm.g_00628	Syaq.g_01992
OG0000017	Prbm.g_00628	Praf.g_00752
OG0000017	Prbm.g_00628	Prbj.g_01769
OG0000017	Prbm.g_00628	Prbk.g_01142
OG0000017	Prbm.g_00628	Prbl.g_01763
OG0000017	Prbm.g_00628	Syak.g_02730
OG0000017	Prbm.g_00628	Syar.g_03181
OG0000017	Prbm.g_00628	Syar.g_03181
OG0000017	Prbm.g_00628	Praa.g_00598
OG0000017	Prbm.g_00628	Prac.g_00773
OG0000017	Prbm.g_00628	Prad.g_01387
OG0000017	Prbm.g_00628	Prae.g_00572
OG0000017	Prbm.g_00628	Prag.g_00576
OG0000017	Prbm.g_00628	Prao.g_00036
OG0000017	Prbm.g_00628	Praq.g_01004
OG0000017	Prbm.g_00628	Prar.g_01428
OG0000017	Prbm.g_00628	Pras.g_01474
OG0000017	Prbm.g_00628	Prau.g_00636
OG0000017	Prbm.g_00628	Prav.g_01194
OG0000017	Prbm.g_00628	Praw.g_01944
OG0000017	Prbm.g_00628	Prax.g_00057
OG0000017	Prbm.g_00628	Pray.g_01165
OG0000017	Prbm.g_00628	Praz.g_01732
OG0000017	Prbm.g_00628	Prba.g_01719
OG0000017	Prbm.g_00628	Prbd.g_00646
OG0000017	Prbm.g_00628	Prbi.g_00600
OG0000017	Prbm.g_00628	Prab.g_00602
OG0000017	Prbm.g_00628	Prai.g_00626
OG0000017	Prbm.g_00628	Pran.g_01580
OG0000017	Prbm.g_00628	Prah.g_01405
OG0000017	Prbm.g_00628	Praj.g_00585
OG0000017	Prbm.g_00628	Praj.g_00585
OG0000017	Prbm.g_00628	Prbb.g_00598
OG0000017	Prbm.g_00628	Prbb.g_00598
OG0000017	Prbm.g_00628	Prbc.g_01674
OG0000017	Prbm.g_00628	Prbc.g_01674
OG0000018	Prbm.g_01571, Prbm.g_00843	Syap.g_02708
OG0000037	Prbm.g_00166	Syat.g_01575
OG0000044	Prbm.g_00478, Prbm.g_01281	Syab.g_01097
OG0000059	Prbm.g_01973	Syal.g_01332
OG0000061	Prbm.g_01549	Syab.g_00171
OG0000061	Prbm.g_01549	Syah.g_00215
OG0000061	Prbm.g_01549	Syaj.g_02351
OG0000061	Prbm.g_01549	Syaa.g_00469
OG0000061	Prbm.g_01549	Syap.g_00870
OG0000062	Prbm.g_01792	Praf.g_01047
OG0000070	Prbm.g_00460	Syar.g_03150
OG0000076	Prbm.g_02094	Syao.g_01251
OG0000099	Prbm.g_00394	Syai.g_00151
OG0000107	Prbm.g_01949	Syar.g_03290
OG0000107	Prbm.g_01949	Syat.g_02009
OG0000108	Prbm.g_00506	Syap.g_02256
OG0000124	Prbm.g_02111	Syag.g_02485
OG0000131	Prbm.g_00204	Syar.g_02216
OG0000132	Prbm.g_00223	Syaq.g_01036
OG0000137	Prbm.g_00500	Prah.g_00105
OG0000138	Prbm.g_00520	Syak.g_01062
OG0000138	Prbm.g_00520	Syaj.g_02631
OG0000142	Prbm.g_00666	Syab.g_01524
OG0000145	Prbm.g_01094	Syar.g_03205
OG0000148	Prbm.g_00832	Syab.g_01683
OG0000148	Prbm.g_00832	Syaj.g_01002
OG0000158	Prbm.g_02077	Syao.g_01141
OG0000159	Prbm.g_02133	Syap.g_00700
OG0000173	Prbm.g_02161	Syap.g_01213
OG0000188	Prbm.g_00139	Syai.g_00696
OG0000224	Prbm.g_00380	Syar.g_00762
OG0000230	Prbm.g_00448	Syar.g_03275
OG0000250	Prbm.g_00604	Syar.g_03194
OG0000253	Prbm.g_00625	Syar.g_03229
OG0000259	Prbm.g_00691	Syas.g_01006
OG0000268	Prbm.g_00766	Syaf.g_00307
OG0000283	Prbm.g_00962	Syal.g_02131
OG0000284	Prbm.g_00967	Syar.g_03258
OG0000289	Prbm.g_01045	Syar.g_03305
OG0000303	Prbm.g_01492	Syar.g_03136
OG0000323	Prbm.g_01866	Syas.g_00159
OG0000330	Prbm.g_02010	Syar.g_03190
OG0000344	Prbm.g_02086	Syab.g_02424
OG0000346	Prbm.g_02095	Syap.g_02423
OG0000379	Prbm.g_00059	Syal.g_02681
OG0001008	Prbm.g_00447	Syar.g_03274
OG0001140	Prbm.g_01515	Syab.g_00642
OG0001269	Prbm.g_00866	Syal.g_02116
OG0001284	Prbm.g_01783	Syas.g_02124
OG0001356	Prbm.g_01145, Prbm.g_01433	Syaf.g_02177
OG0001395	Prbm.g_01049	Syal.g_00001
OG0001412	Prbm.g_02117	Syaa.g_01020
OG0001412	Prbm.g_02117	Syak.g_01621
OG0001412	Prbm.g_02117	Praf.g_00131
OG0001412	Prbm.g_02117	Syat.g_00584
OG0001488	Prbm.g_01535	Syad.g_00051, Syad.g_00050
OG0001518	Prbm.g_02182	Syal.g_02309
OG0001650	Prbm.g_01310	Pral.g_00441
OG0001673	Prbm.g_00292	Syah.g_01195
OG0001748	Prbm.g_01213	Syah.g_00554
