Orthogroup	Prac	Other
OG0000017	Prac.g_00773	Syar.g_03181
OG0000017	Prac.g_00773	Praj.g_00585
OG0000017	Prac.g_00773	Prbb.g_00598
OG0000017	Prac.g_00773	Prbc.g_01674
OG0000017	Prac.g_00773	Prbm.g_00628
OG0000018	Prac.g_01004, Prac.g_01448	Syap.g_02708
OG0000027	Prac.g_01074	Syac.g_01009
OG0000027	Prac.g_01074	Syar.g_02835
OG0000037	Prac.g_01822	Syat.g_01575
OG0000044	Prac.g_00892	Syab.g_01097
OG0000059	Prac.g_00500	Syal.g_01332
OG0000061	Prac.g_00985	Syab.g_00171
OG0000061	Prac.g_00985	Prbb.g_00874
OG0000061	Prac.g_00985	Syah.g_00215
OG0000061	Prac.g_00985	Pral.g_00639
OG0000061	Prac.g_00985	Syaj.g_02351
OG0000061	Prac.g_00985	Syaa.g_00469
OG0000061	Prac.g_00985	Syap.g_00870
OG0000062	Prac.g_00333	Praf.g_01047
OG0000070	Prac.g_01097	Syar.g_03150
OG0000076	Prac.g_01904, Prac.g_00041	Syao.g_01251
OG0000099	Prac.g_00256	Syai.g_00151
OG0000107	Prac.g_01148	Syar.g_03290
OG0000107	Prac.g_01148	Syat.g_02009
OG0000108	Prac.g_01064	Syap.g_02256
OG0000117	Prac.g_01955	Pral.g_01881
OG0000124	Prac.g_00056	Syag.g_02485
OG0000131	Prac.g_01785	Syar.g_02216
OG0000132	Prac.g_01766	Syaj.g_00688
OG0000132	Prac.g_01766	Syaq.g_01036
OG0000138	Prac.g_01049	Syaj.g_02631
OG0000138	Prac.g_01049	Syak.g_01062
OG0000142	Prac.g_00736	Syab.g_01524
OG0000145	Prac.g_01508	Syar.g_03205
OG0000148	Prac.g_01459	Syab.g_01683
OG0000148	Prac.g_01459	Syaj.g_01002
OG0000158	Prac.g_00447	Syao.g_01141
OG0000159	Prac.g_00452	Syap.g_00700
OG0000173	Prac.g_00078	Syap.g_01213
OG0000188	Prac.g_01849	Syai.g_00696
OG0000205	Prac.g_01728	Praf.g_02708
OG0000224	Prac.g_01606	Syar.g_00762
OG0000230	Prac.g_01109	Syar.g_03275
OG0000250	Prac.g_00801	Syar.g_03194
OG0000253	Prac.g_00777	Syar.g_03229
OG0000259	Prac.g_00711	Syas.g_01006
OG0000268	Prac.g_01538	Syaf.g_00307
OG0000283	Prac.g_01350	Syal.g_02131
OG0000284	Prac.g_01345	Syar.g_03258
OG0000289	Prac.g_01272	Syar.g_03305
OG0000303	Prac.g_00932	Syar.g_03136
OG0000323	Prac.g_00598	Syas.g_00159
OG0000330	Prac.g_00526	Syar.g_03190
OG0000344	Prac.g_00033	Syab.g_02424
OG0000346	Prac.g_00042	Syap.g_02423
OG0000379	Prac.g_01881	Syal.g_02681
OG0000771	Prac.g_00448	Prau.g_01496
OG0001008	Prac.g_01110	Syar.g_03274
OG0001140	Prac.g_00957	Syab.g_00642
OG0001269	Prac.g_01175	Syal.g_02116
OG0001284	Prac.g_00341	Syas.g_02124
OG0001349	Prac.g_00261	Syaa.g_00454
OG0001356	Prac.g_00900	Syaf.g_02177
OG0001395	Prac.g_01269	Syal.g_00001
OG0001423	Prac.g_00634	Syam.g_00534
