Orthogroup	Praz	Other
OG0000017	Praz.g_01732	Syar.g_03181
OG0000017	Praz.g_01732	Praj.g_00585
OG0000017	Praz.g_01732	Prbb.g_00598
OG0000017	Praz.g_01732	Prbc.g_01674
OG0000017	Praz.g_01732	Prbm.g_00628
OG0000018	Praz.g_00011, Praz.g_01485	Syap.g_02708
OG0000027	Praz.g_01858, Praz.g_01197	Syac.g_01009
OG0000027	Praz.g_01858, Praz.g_01197	Syar.g_02835
OG0000037	Praz.g_00469	Syat.g_01575
OG0000044	Praz.g_00693	Syab.g_01097
OG0000052	Praz.g_01103	Syag.g_02491
OG0000052	Praz.g_01103	Syaa.g_00461
OG0000052	Praz.g_01103	Syal.g_01396
OG0000052	Praz.g_01103	Syae.g_01224
OG0000052	Praz.g_01103	Syaq.g_00935
OG0000056	Praz.g_01253	Prbc.g_01108
OG0000059	Praz.g_00311, Praz.g_01071	Syal.g_01332
OG0000061	Praz.g_00755	Syab.g_00171
OG0000061	Praz.g_00755	Prbb.g_00874
OG0000061	Praz.g_00755	Syah.g_00215
OG0000061	Praz.g_00755	Pral.g_00639
OG0000061	Praz.g_00755	Syaj.g_02351
OG0000061	Praz.g_00755	Syaa.g_00469
OG0000061	Praz.g_00755	Syap.g_00870
OG0000062	Praz.g_00963	Praf.g_01047
OG0000070	Praz.g_01878	Syar.g_03150
OG0000076	Praz.g_00205	Syao.g_01251
OG0000099	Praz.g_01098	Syai.g_00151
OG0000107	Praz.g_00788	Syar.g_03290
OG0000107	Praz.g_00788	Syat.g_02009
OG0000108	Praz.g_01848	Syap.g_02256
OG0000117	Praz.g_01237	Pral.g_01881
OG0000120	Praz.g_01118	Pras.g_00330
OG0000124	Praz.g_00189	Syag.g_02485
OG0000131	Praz.g_00505	Syar.g_02216
OG0000132	Praz.g_00524	Syaj.g_00688
OG0000132	Praz.g_00524	Syaq.g_01036
OG0000138	Praz.g_01833	Syaj.g_02631
OG0000138	Praz.g_01833	Syak.g_01062
OG0000142	Praz.g_01695	Syab.g_01524
OG0000145	Praz.g_01554	Syar.g_03205
OG0000148	Praz.g_01496	Syab.g_01683
OG0000148	Praz.g_01496	Syaj.g_01002
OG0000158	Praz.g_01097	Syao.g_01141
OG0000159	Praz.g_01095	Syap.g_00700
OG0000173	Praz.g_00166	Syap.g_01213
OG0000188	Praz.g_00442	Syai.g_00696
OG0000205	Praz.g_00562	Praf.g_02708
OG0000224	Praz.g_00682	Syar.g_00762
OG0000230	Praz.g_01890	Syar.g_03275
OG0000250	Praz.g_01757	Syar.g_03194
OG0000253	Praz.g_01735	Syar.g_03229
OG0000259	Praz.g_01670	Syas.g_01006
OG0000268	Praz.g_01585	Syaf.g_00307
OG0000283	Praz.g_01373	Syal.g_02131
OG0000284	Praz.g_01368	Syar.g_03258
OG0000289	Praz.g_01292	Syar.g_03305
OG0000303	Praz.g_00701	Syar.g_03136
OG0000323	Praz.g_00850	Syas.g_00159
OG0000330	Praz.g_00285	Syar.g_03190
OG0000344	Praz.g_00214	Syab.g_02424
OG0000346	Praz.g_00204	Syap.g_02423
OG0000379	Praz.g_00416	Syal.g_02681
OG0001008	Praz.g_01891	Syar.g_03274
OG0001140	Praz.g_00726	Syab.g_00642
OG0001269	Praz.g_00815	Syal.g_02116
OG0001284	Praz.g_00971	Syas.g_02124
OG0001349	Praz.g_01060	Syaa.g_00454
OG0001356	Praz.g_01548	Syaf.g_02177
OG0001395	Praz.g_01289	Syal.g_00001
OG0001635	Praz.g_00895	Syao.g_02182
OG0002033	Praz.g_01161	Prar.g_01072
