Orthogroup	Prbe	Other
OG0000017	Prbe.g_00536	Praj.g_00585
OG0000017	Prbe.g_00536	Prbb.g_00598
OG0000017	Prbe.g_00536	Prbc.g_01674
OG0000017	Prbe.g_00536	Prbm.g_00628
OG0000017	Prbe.g_00536	Syar.g_03181
OG0000018	Prbe.g_01571, Prbe.g_01250	Syap.g_02708
OG0000027	Prbe.g_01121, Prbe.g_00012	Syac.g_01009
OG0000027	Prbe.g_01121, Prbe.g_00012	Syar.g_02835
OG0000037	Prbe.g_01651	Syat.g_01575
OG0000052	Prbe.g_00333	Syag.g_02491
OG0000052	Prbe.g_00333	Syaa.g_00461
OG0000052	Prbe.g_00333	Syal.g_01396
OG0000052	Prbe.g_00333	Syae.g_01224
OG0000052	Prbe.g_00333	Syaq.g_00935
OG0000059	Prbe.g_01094	Syal.g_01332
OG0000061	Prbe.g_01549	Syab.g_00171
OG0000061	Prbe.g_01549	Syah.g_00215
OG0000061	Prbe.g_01549	Syaj.g_02351
OG0000061	Prbe.g_01549	Syaa.g_00469
OG0000061	Prbe.g_01549	Syap.g_00870
OG0000076	Prbe.g_00774	Syao.g_01251
OG0000093	Prbe.g_01448	Prbb.g_01606
OG0000099	Prbe.g_00350	Syai.g_00151
OG0000107	Prbe.g_00921	Syar.g_03290
OG0000107	Prbe.g_00921	Syat.g_02009
OG0000108	Prbe.g_00653	Syap.g_02256
OG0000120	Prbe.g_00353	Pras.g_00330
OG0000124	Prbe.g_00745	Syag.g_02485
OG0000131	Prbe.g_01692	Syar.g_02216
OG0000132	Prbe.g_01712	Syaq.g_01036
OG0000138	Prbe.g_00638	Syak.g_01062
OG0000138	Prbe.g_00638	Syaj.g_02631
OG0000142	Prbe.g_01485	Syab.g_01524
OG0000145	Prbe.g_00909	Syar.g_03205
OG0000148	Prbe.g_01239	Syab.g_01683
OG0000148	Prbe.g_01239	Syaj.g_01002
OG0000158	Prbe.g_00792	Syao.g_01141
OG0000159	Prbe.g_00165	Syap.g_00700
OG0000173	Prbe.g_01143	Syap.g_01213
OG0000188	Prbe.g_00186	Syai.g_00696
OG0000205	Prbe.g_01751	Praf.g_02708
OG0000224	Prbe.g_01878	Syar.g_00762
OG0000230	Prbe.g_01936	Syar.g_03275
OG0000250	Prbe.g_00563	Syar.g_03194
OG0000253	Prbe.g_00539	Syar.g_03229
OG0000259	Prbe.g_01459	Syas.g_01006
OG0000268	Prbe.g_01417	Syaf.g_00307
OG0000283	Prbe.g_01326	Syal.g_02131
OG0000284	Prbe.g_01331	Syar.g_03258
OG0000289	Prbe.g_01404	Syar.g_03305
OG0000303	Prbe.g_01492	Syar.g_03136
OG0000323	Prbe.g_00958	Syas.g_00159
OG0000330	Prbe.g_00859	Syar.g_03190
OG0000344	Prbe.g_00783	Syab.g_02424
OG0000346	Prbe.g_00773	Syap.g_02423
OG0000379	Prbe.g_00153	Syal.g_02681
OG0000390	Prbe.g_01657	Prad.g_00011
OG0000771	Prbe.g_00215	Prau.g_01496
OG0001008	Prbe.g_01935	Syar.g_03274
OG0001140	Prbe.g_01516	Syab.g_00642
OG0001269	Prbe.g_01277	Syal.g_02116
OG0001284	Prbe.g_00236	Syas.g_02124
OG0001349	Prbe.g_00349	Syaa.g_00454
OG0001356	Prbe.g_00997	Syaf.g_02177
OG0001423	Prbe.g_00698	Syam.g_00534
OG0001488	Prbe.g_01536	Syad.g_00051, Syad.g_00050
OG0001518	Prbe.g_01164	Syal.g_02309
OG0001588	Prbe.g_01923	Praf.g_02600
OG0002098	Prbe.g_00390	Syas.g_02127
