Orthogroup	Prad	Other
OG0000017	Prad.g_01387	Syar.g_03181
OG0000017	Prad.g_01387	Praj.g_00585
OG0000017	Prad.g_01387	Prbb.g_00598
OG0000017	Prad.g_01387	Prbc.g_01674
OG0000017	Prad.g_01387	Prbm.g_00628
OG0000018	Prad.g_01515, Prad.g_01173	Syap.g_02708
OG0000027	Prad.g_01298, Prad.g_00353	Syac.g_01009
OG0000027	Prad.g_01298, Prad.g_00353	Syar.g_02835
OG0000037	Prad.g_01884	Syat.g_01575
OG0000044	Prad.g_01213	Syab.g_01097
OG0000059	Prad.g_00855	Syal.g_01332
OG0000061	Prad.g_01496	Syab.g_00171
OG0000061	Prad.g_01496	Syah.g_00215
OG0000061	Prad.g_01496	Syaj.g_02351
OG0000061	Prad.g_01496	Syaa.g_00469
OG0000061	Prad.g_01496	Syap.g_00870
OG0000062	Prad.g_00436	Praf.g_01047
OG0000070	Prad.g_00057	Syar.g_03150
OG0000076	Prad.g_01631	Syao.g_01251
OG0000099	Prad.g_00566	Syai.g_00151
OG0000107	Prad.g_00724	Syar.g_03290
OG0000107	Prad.g_00724	Syat.g_02009
OG0000108	Prad.g_00027	Syap.g_02256
OG0000117	Prad.g_01214	Pral.g_01881
OG0000124	Prad.g_01616	Syag.g_02485
OG0000131	Prad.g_01846	Syar.g_02216
OG0000132	Prad.g_01827	Syaj.g_00688
OG0000132	Prad.g_01827	Syaq.g_01036
OG0000138	Prad.g_00012	Syaj.g_02631
OG0000138	Prad.g_00012	Syak.g_01062
OG0000142	Prad.g_01424	Syab.g_01524
OG0000145	Prad.g_01107	Syar.g_03205
OG0000148	Prad.g_01162	Syab.g_01683
OG0000148	Prad.g_01162	Syaj.g_01002
OG0000158	Prad.g_00567	Syao.g_01141
OG0000159	Prad.g_00563	Syap.g_00700
OG0000173	Prad.g_01594	Syap.g_01213
OG0000188	Prad.g_01911	Syai.g_00696
OG0000205	Prad.g_01789	Praf.g_02708
OG0000224	Prad.g_01666	Syar.g_00762
OG0000230	Prad.g_00069	Syar.g_03275
OG0000250	Prad.g_01361	Syar.g_03194
OG0000253	Prad.g_01384	Syar.g_03229
OG0000259	Prad.g_01234	Syas.g_01006
OG0000268	Prad.g_01071	Syaf.g_00307
OG0000283	Prad.g_00209	Syal.g_02131
OG0000284	Prad.g_00204	Syar.g_03258
OG0000289	Prad.g_01035	Syar.g_03305
OG0000303	Prad.g_01442	Syar.g_03136
OG0000323	Prad.g_00914	Syas.g_00159
OG0000330	Prad.g_00829	Syar.g_03190
OG0000344	Prad.g_01639	Syab.g_02424
OG0000346	Prad.g_01630	Syap.g_02423
OG0000379	Prad.g_01936	Syal.g_02681
OG0000390	Prad.g_00011	Pram.g_00099
OG0000390	Prad.g_00011	Prbh.g_00668
OG0000390	Prad.g_00011	Prak.g_00121
OG0000390	Prad.g_00011	Prbe.g_01657
OG0000390	Prad.g_00011	Prbf.g_01443
OG0000390	Prad.g_00011	Prbg.g_00887
OG0000390	Prad.g_00011	Prbn.g_01304
OG0000390	Prad.g_00011	Prap.g_01061
OG0001008	Prad.g_00070	Syar.g_03274
OG0001140	Prad.g_01467	Syab.g_00642
OG0001264	Prad.g_01995	Praa.g_01221
OG0001269	Prad.g_00752	Syal.g_02116
OG0001284	Prad.g_00444	Syas.g_02124
OG0001349	Prad.g_00536	Syaa.g_00454
OG0001395	Prad.g_01032	Syal.g_00001
OG0001423	Prad.g_00546	Syam.g_00534
OG0001588	Prad.g_01186	Praf.g_02600
OG0001748	Prad.g_01323	Syah.g_00554
OG0002098	Prad.g_00553	Syas.g_02127
