Orthogroup	Syak	Other
OG0000013	Syak.g_01275	Syar.g_03167
OG0000017	Syak.g_02730	Praj.g_00585
OG0000017	Syak.g_02730	Prbb.g_00598
OG0000017	Syak.g_02730	Prbc.g_01674
OG0000017	Syak.g_02730	Prbm.g_00628
OG0000017	Syak.g_02730	Syar.g_03181
OG0000027	Syak.g_00127	Syao.g_01286
OG0000061	Syak.g_00898	Syah.g_00215
OG0000061	Syak.g_00898	Syaj.g_02351
OG0000061	Syak.g_00898	Syaa.g_00469
OG0000061	Syak.g_00898	Syap.g_00870
OG0000070	Syak.g_01174	Syar.g_03150
OG0000099	Syak.g_01527	Prau.g_01491
OG0000112	Syak.g_00512	Syar.g_03195
OG0000138	Syak.g_01062	Praj.g_00487
OG0000138	Syak.g_01062	Prbm.g_00520
OG0000138	Syak.g_01062	Prbb.g_00499
OG0000138	Syak.g_01062	Prbc.g_01554
OG0000138	Syak.g_01062	Pral.g_00595
OG0000138	Syak.g_01062	Prak.g_00456
OG0000138	Syak.g_01062	Prap.g_01272
OG0000138	Syak.g_01062	Prbe.g_00638
OG0000138	Syak.g_01062	Prbf.g_01778
OG0000138	Syak.g_01062	Prbg.g_00214
OG0000138	Syak.g_01062	Prbn.g_00619
OG0000138	Syak.g_01062	Pram.g_00431
OG0000138	Syak.g_01062	Prbh.g_00336
OG0000138	Syak.g_01062	Prat.g_00456
OG0000138	Syak.g_01062	Syaj.g_02631
OG0000138	Syak.g_01062	Syaj.g_02631
OG0000138	Syak.g_01062	Prag.g_00474
OG0000138	Syak.g_01062	Praw.g_00653
OG0000138	Syak.g_01062	Pray.g_00985
OG0000138	Syak.g_01062	Praz.g_01833
OG0000138	Syak.g_01062	Prba.g_00966
OG0000138	Syak.g_01062	Prae.g_00469
OG0000138	Syak.g_01062	Prbd.g_00747
OG0000138	Syak.g_01062	Prbi.g_00498
OG0000138	Syak.g_01062	Prav.g_01093
OG0000138	Syak.g_01062	Prad.g_00012
OG0000138	Syak.g_01062	Prab.g_00499
OG0000138	Syak.g_01062	Pran.g_01683
OG0000138	Syak.g_01062	Prai.g_00525
OG0000138	Syak.g_01062	Prac.g_01049
OG0000138	Syak.g_01062	Praq.g_00546
OG0000138	Syak.g_01062	Prar.g_00545
OG0000138	Syak.g_01062	Prao.g_00601
OG0000138	Syak.g_01062	Prax.g_00706
OG0000138	Syak.g_01062	Pras.g_01373
OG0000138	Syak.g_01062	Prau.g_00536
OG0000138	Syak.g_01062	Praa.g_00495
OG0000145	Syak.g_02598	Syar.g_03205
OG0000185	Syak.g_01971	Praf.g_00333
OG0000194	Syak.g_02124	Syar.g_03236
OG0000209	Syak.g_01995	Syar.g_03261
OG0000233	Syak.g_01145	Syar.g_03183
OG0000250	Syak.g_02694	Syar.g_03194
OG0000251	Syak.g_02722	Syar.g_03207
OG0000252	Syak.g_02725	Syar.g_03263
OG0000253	Syak.g_02727	Syar.g_03229
OG0000255	Syak.g_02772	Syar.g_00011
OG0000259	Syak.g_00334	Syas.g_01006
OG0000260	Syak.g_00338	Syar.g_03220
OG0000264	Syak.g_00698	Syar.g_03267
OG0000274	Syak.g_00615	Syar.g_00009
OG0000289	Syak.g_00659	Syar.g_03305
OG0000330	Syak.g_01330	Syar.g_03190
OG0000346	Syak.g_01651	Syap.g_02423
OG0001008	Syak.g_01190	Syar.g_03274
OG0001217	Syak.g_00138	Syas.g_02493
OG0001257	Syak.g_02502	Syaa.g_00405
OG0001269	Syak.g_02323	Syal.g_02116
OG0001376	Syak.g_01916	Syar.g_03203
OG0001377	Syak.g_01917	Syar.g_03202
OG0001399	Syak.g_01977	Prar.g_01071
OG0001399	Syak.g_01977	Prbi.g_01884
OG0001399	Syak.g_01103	Prbi.g_00155, Prbi.g_00722
OG0001412	Syak.g_01886	Syat.g_00584
OG0001412	Syak.g_01886	Syaa.g_01020
OG0001412	Syak.g_01621	Praf.g_00131
OG0001412	Syak.g_01621	Syat.g_00584
OG0001412	Syak.g_01621	Syao.g_02122
OG0001412	Syak.g_01621	Syaf.g_02482
OG0001412	Syak.g_01621	Prbm.g_02117
OG0001412	Syak.g_01621	Praj.g_02038
OG0001412	Syak.g_01621	Prbb.g_02086
OG0001412	Syak.g_01621	Praf.g_00131
OG0001412	Syak.g_01621	Syat.g_00584
OG0001412	Syak.g_01621	Syac.g_00122
OG0001412	Syak.g_01621	Syad.g_00307
OG0001412	Syak.g_01621	Syaa.g_01020
OG0001412	Syak.g_01621	Prav.g_00298
OG0001412	Syak.g_01621	Syaa.g_01020
OG0001478	Syak.g_01139	Syas.g_01345
OG0001488	Syak.g_00872	Syad.g_00051, Syad.g_00050
OG0001498	Syak.g_01214	Syar.g_03286
OG0001544	Syak.g_01908	Syar.g_00001
OG0001615	Syak.g_00589	Syar.g_03185
OG0001618	Syak.g_00793	Syap.g_02409
OG0001623	Syak.g_01257	Syao.g_01889
OG0001671	Syak.g_02002	Syar.g_03173
OG0001671	Syak.g_02002	Syan.g_03115
OG0001790	Syak.g_00908	Syar.g_03295
OG0001812	Syak.g_01951	Syar.g_03308
OG0002139	Syak.g_00681	Syaj.g_00408
OG0002161	Syak.g_01006	Syar.g_01825
OG0002229	Syak.g_01705	Syap.g_01002
OG0002407	Syak.g_00165	Syag.g_01590
