Orthogroup	Prbg	Other
OG0000017	Prbg.g_00317	Praj.g_00585
OG0000017	Prbg.g_00317	Prbb.g_00598
OG0000017	Prbg.g_00317	Prbc.g_01674
OG0000017	Prbg.g_00317	Prbm.g_00628
OG0000017	Prbg.g_00317	Syar.g_03181
OG0000018	Prbg.g_01508, Prbg.g_01187	Syap.g_02708
OG0000027	Prbg.g_01569, Prbg.g_00721	Syac.g_01009
OG0000027	Prbg.g_01569, Prbg.g_00721	Syar.g_02835
OG0000037	Prbg.g_00881	Syat.g_01575
OG0000052	Prbg.g_00569	Syag.g_02491
OG0000052	Prbg.g_00569	Syaa.g_00461
OG0000052	Prbg.g_00569	Syal.g_01396
OG0000052	Prbg.g_00569	Syae.g_01224
OG0000052	Prbg.g_00569	Syaq.g_00935
OG0000059	Prbg.g_01737	Syal.g_01332
OG0000061	Prbg.g_01486	Syab.g_00171
OG0000061	Prbg.g_01486	Syah.g_00215
OG0000061	Prbg.g_01486	Syaj.g_02351
OG0000061	Prbg.g_01486	Syaa.g_00469
OG0000061	Prbg.g_01486	Syap.g_00870
OG0000076	Prbg.g_01847	Syao.g_01251
OG0000093	Prbg.g_01385	Prbb.g_01606
OG0000099	Prbg.g_00552	Syai.g_00151
OG0000107	Prbg.g_01714	Syar.g_03290
OG0000107	Prbg.g_01714	Syat.g_02009
OG0000108	Prbg.g_00199	Syap.g_02256
OG0000120	Prbg.g_00549	Pras.g_00330
OG0000124	Prbg.g_01864	Syag.g_02485
OG0000131	Prbg.g_00922	Syar.g_02216
OG0000132	Prbg.g_00942	Syaq.g_01036
OG0000138	Prbg.g_00214	Syak.g_01062
OG0000138	Prbg.g_00214	Syaj.g_02631
OG0000142	Prbg.g_01422	Syab.g_01524
OG0000145	Prbg.g_00461	Syar.g_03205
OG0000148	Prbg.g_01176	Syab.g_01683
OG0000148	Prbg.g_01176	Syaj.g_01002
OG0000158	Prbg.g_01829	Syao.g_01141
OG0000159	Prbg.g_00809	Syap.g_00700
OG0000173	Prbg.g_01885	Syap.g_01213
OG0000188	Prbg.g_00788	Syai.g_00696
OG0000205	Prbg.g_00981	Praf.g_02708
OG0000224	Prbg.g_00103	Syar.g_00762
OG0000230	Prbg.g_00158	Syar.g_03275
OG0000250	Prbg.g_00290	Syar.g_03194
OG0000253	Prbg.g_00314	Syar.g_03229
OG0000259	Prbg.g_01396	Syas.g_01006
OG0000268	Prbg.g_01354	Syaf.g_00307
OG0000283	Prbg.g_01263	Syal.g_02131
OG0000284	Prbg.g_01268	Syar.g_03258
OG0000289	Prbg.g_01341	Syar.g_03305
OG0000303	Prbg.g_01429	Syar.g_03136
OG0000323	Prbg.g_01677	Syas.g_00159
OG0000330	Prbg.g_01762	Syar.g_03190
OG0000344	Prbg.g_01838	Syab.g_02424
OG0000346	Prbg.g_01848	Syap.g_02423
OG0000379	Prbg.g_00821	Syal.g_02681
OG0000390	Prbg.g_00887	Prad.g_00011
OG0000771	Prbg.g_00687	Prau.g_01496
OG0001008	Prbg.g_00157	Syar.g_03274
OG0001140	Prbg.g_01453	Syab.g_00642
OG0001269	Prbg.g_01214	Syal.g_02116
OG0001284	Prbg.g_00666	Syas.g_02124
OG0001349	Prbg.g_00553	Syaa.g_00454
OG0001356	Prbg.g_01638	Syaf.g_02177
OG0001423	Prbg.g_00429	Syam.g_00534
OG0001488	Prbg.g_01473	Syad.g_00051, Syad.g_00050
OG0001518	Prbg.g_01906	Syal.g_02309
OG0001588	Prbg.g_00145	Praf.g_02600
OG0002098	Prbg.g_00512	Syas.g_02127
