Orthogroup	Syan	Other
OG0000027	Syan.g_02678	Syac.g_01009
OG0000027	Syan.g_02678	Syar.g_02835
OG0000037	Syan.g_02978, Syan.g_00917	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205
OG0000037	Syan.g_02978, Syan.g_00917	Syal.g_00601
OG0000062	Syan.g_00098	Prbi.g_01482
OG0000062	Syan.g_00098	Prav.g_01551, Prav.g_01338
OG0000062	Syan.g_00098	Praf.g_01047
OG0000077	Syan.g_02579	Prbj.g_01900
OG0000077	Syan.g_02579	Prbk.g_00307
OG0000077	Syan.g_02579	Prbl.g_00631
OG0000077	Syan.g_02579	Syal.g_00506
OG0000093	Syan.g_02934	Prbb.g_01606
OG0000099	Syan.g_01968	Prau.g_01491
OG0000159	Syan.g_01120	Syap.g_00700
OG0001217	Syan.g_00617	Syas.g_02493
OG0001349	Syan.g_01131	Syae.g_01228
OG0001356	Syan.g_00067	Syaf.g_02177
OG0001399	Syan.g_02175	Prbi.g_00155, Prbi.g_00722
OG0001488	Syan.g_02666	Syad.g_00051, Syad.g_00050
OG0001508	Syan.g_01814	Syap.g_01139
OG0001556	Syan.g_02338	Syaq.g_02654
OG0001653	Syan.g_00521, Syan.g_02960, Syan.g_02959	Syag.g_01462
OG0001671	Syan.g_03115	Prah.g_02407
OG0001671	Syan.g_03115	Praf.g_02564
OG0001671	Syan.g_03115	Prbj.g_00254
OG0001671	Syan.g_03115	Prbk.g_00666
OG0001671	Syan.g_03115	Prbl.g_01248
OG0001671	Syan.g_03115	Syar.g_03173
OG0001671	Syan.g_03115	Syah.g_00550
OG0001671	Syan.g_03115	Syaf.g_00721
OG0001671	Syan.g_03115	Syae.g_01521
OG0001671	Syan.g_03115	Syaj.g_02062
OG0001671	Syan.g_03115	Syad.g_02974
OG0001671	Syan.g_03115	Syaa.g_02552
OG0001671	Syan.g_03115	Syag.g_02063
OG0001671	Syan.g_03115	Syal.g_00993
OG0001671	Syan.g_03115	Syar.g_03173
OG0001671	Syan.g_03115	Syak.g_02002
OG0001671	Syan.g_03115	Syaq.g_01316
OG0002431	Syan.g_01278	Praf.g_00276
