Orthogroup	Pran	Other
OG0000017	Pran.g_01580	Syar.g_03181
OG0000017	Pran.g_01580	Praj.g_00585
OG0000017	Pran.g_01580	Prbb.g_00598
OG0000017	Pran.g_01580	Prbc.g_01674
OG0000017	Pran.g_01580	Prbm.g_00628
OG0000018	Pran.g_00078, Pran.g_01316	Syap.g_02708
OG0000027	Pran.g_00583	Syac.g_01009
OG0000027	Pran.g_00583	Syar.g_02835
OG0000037	Pran.g_00324	Syat.g_01575
OG0000044	Pran.g_00949	Syab.g_01097
OG0000052	Pran.g_00777	Syag.g_02491
OG0000052	Pran.g_00777	Syaa.g_00461
OG0000052	Pran.g_00777	Syal.g_01396
OG0000052	Pran.g_00777	Syae.g_01224
OG0000052	Pran.g_00777	Syaq.g_00935
OG0000059	Pran.g_01056	Syal.g_01332
OG0000062	Pran.g_00655	Praf.g_01047
OG0000070	Pran.g_01727	Syar.g_03150
OG0000076	Pran.g_01160	Syao.g_01251
OG0000093	Pran.g_00455	Prbb.g_01606
OG0000099	Pran.g_00806	Syai.g_00151
OG0000107	Pran.g_01808	Syar.g_03290
OG0000107	Pran.g_01808	Syat.g_02009
OG0000108	Pran.g_01698	Syap.g_02256
OG0000117	Pran.g_01466	Pral.g_01881
OG0000120	Pran.g_00752	Pras.g_00330
OG0000124	Pran.g_01176	Syag.g_02485
OG0000131	Pran.g_00288	Syar.g_02216
OG0000132	Pran.g_00268	Syaj.g_00688
OG0000132	Pran.g_00268	Syaq.g_01036
OG0000138	Pran.g_01683	Syaj.g_02631
OG0000138	Pran.g_01683	Syak.g_01062
OG0000142	Pran.g_01543	Syab.g_01524
OG0000145	Pran.g_01400	Syar.g_03205
OG0000148	Pran.g_01327	Syab.g_01683
OG0000148	Pran.g_01327	Syaj.g_01002
OG0000158	Pran.g_00822	Syao.g_01141
OG0000159	Pran.g_00808	Syap.g_00700
OG0000173	Pran.g_01199	Syap.g_01213
OG0000188	Pran.g_00350	Syai.g_00696
OG0000205	Pran.g_00230	Praf.g_02708
OG0000224	Pran.g_01869	Syar.g_00762
OG0000230	Pran.g_01742	Syar.g_03275
OG0000250	Pran.g_01606	Syar.g_03194
OG0000253	Pran.g_01583	Syar.g_03229
OG0000259	Pran.g_01518	Syas.g_01006
OG0000268	Pran.g_01438	Syaf.g_00307
OG0000283	Pran.g_00464	Syal.g_02131
OG0000284	Pran.g_00469	Syar.g_03258
OG0000289	Pran.g_00552	Syar.g_03305
OG0000303	Pran.g_00007	Syar.g_03136
OG0000323	Pran.g_00997	Syas.g_00159
OG0000330	Pran.g_01083	Syar.g_03190
OG0000344	Pran.g_01152	Syab.g_02424
OG0000346	Pran.g_01161	Syap.g_02423
OG0000379	Pran.g_00375	Syal.g_02681
OG0001008	Pran.g_01743	Syar.g_03274
OG0001140	Pran.g_00032	Syab.g_00642
OG0001264	Pran.g_01952	Praa.g_01221
OG0001269	Pran.g_01835	Syal.g_02116
OG0001284	Pran.g_00663	Syas.g_02124
OG0001349	Pran.g_00792, Pran.g_00805	Syaa.g_00454
OG0001356	Pran.g_01390	Syaf.g_02177
OG0001395	Pran.g_00555	Syal.g_00001
OG0001423	Pran.g_01777	Syam.g_00534
OG0001588	Pran.g_00817	Praf.g_02600
OG0002033	Pran.g_00857	Prar.g_01072
OG0002486	Pran.g_00764	Prau.g_01824
