Orthogroup	Prai	Other
OG0000017	Prai.g_00626	Syar.g_03181
OG0000017	Prai.g_00626	Praj.g_00585
OG0000017	Prai.g_00626	Prbb.g_00598
OG0000017	Prai.g_00626	Prbc.g_01674
OG0000017	Prai.g_00626	Prbm.g_00628
OG0000018	Prai.g_01153, Prai.g_00820	Syap.g_02708
OG0000027	Prai.g_00904	Syac.g_01009
OG0000027	Prai.g_00904	Syar.g_02835
OG0000037	Prai.g_00109	Syat.g_01575
OG0000052	Prai.g_00154	Syag.g_02491
OG0000052	Prai.g_00154	Syaa.g_00461
OG0000052	Prai.g_00154	Syal.g_01396
OG0000052	Prai.g_00154	Syae.g_01224
OG0000052	Prai.g_00154	Syaq.g_00935
OG0000059	Prai.g_01725, Prai.g_01425	Syal.g_01332
OG0000062	Prai.g_01540	Praf.g_01047
OG0000070	Prai.g_00481	Syar.g_03150
OG0000076	Prai.g_01838	Syao.g_01251
OG0000093	Prai.g_01021	Prbb.g_01606
OG0000099	Prai.g_01393	Syai.g_00151
OG0000107	Prai.g_00397	Syar.g_03290
OG0000107	Prai.g_00397	Syat.g_02009
OG0000108	Prai.g_00510	Syap.g_02256
OG0000117	Prai.g_01273	Pral.g_01881
OG0000120	Prai.g_01443	Pras.g_00330
OG0000124	Prai.g_01854	Syag.g_02485
OG0000131	Prai.g_00156	Syar.g_02216
OG0000132	Prai.g_00175	Syaj.g_00688
OG0000132	Prai.g_00175	Syaq.g_01036
OG0000137	Prai.g_00505	Prah.g_00105
OG0000138	Prai.g_00525	Syaj.g_02631
OG0000138	Prai.g_00525	Syak.g_01062
OG0000142	Prai.g_00664	Syab.g_01524
OG0000145	Prai.g_00883	Syar.g_03205
OG0000148	Prai.g_00831	Syab.g_01683
OG0000148	Prai.g_00831	Syaj.g_01002
OG0000158	Prai.g_01392	Syao.g_01141
OG0000159	Prai.g_01321	Syap.g_00700
OG0000173	Prai.g_01878	Syap.g_01213
OG0000188	Prai.g_00082	Syai.g_00696
OG0000205	Prai.g_00213	Praf.g_02708
OG0000224	Prai.g_00338	Syar.g_00762
OG0000230	Prai.g_00469	Syar.g_03275
OG0000250	Prai.g_00600	Syar.g_03194
OG0000253	Prai.g_00623	Syar.g_03229
OG0000259	Prai.g_00689	Syas.g_01006
OG0000268	Prai.g_00770	Syaf.g_00307
OG0000283	Prai.g_01012	Syal.g_02131
OG0000284	Prai.g_01007	Syar.g_03258
OG0000289	Prai.g_00934	Syar.g_03305
OG0000303	Prai.g_01226	Syar.g_03136
OG0000323	Prai.g_01665	Syas.g_00159
OG0000330	Prai.g_01755	Syar.g_03190
OG0000344	Prai.g_01830	Syab.g_02424
OG0000346	Prai.g_01839	Syap.g_02423
OG0000379	Prai.g_00057	Syal.g_02681
OG0001008	Prai.g_00468	Syar.g_03274
OG0001140	Prai.g_01201	Syab.g_00642
OG0001269	Prai.g_00372	Syal.g_02116
OG0001284	Prai.g_01532	Syas.g_02124
OG0001395	Prai.g_00931	Syal.g_00001
OG0001588	Prai.g_00778	Praf.g_02600
OG0002033	Prai.g_00145	Prar.g_01072
OG0002098	Prai.g_01430	Syas.g_02127
OG0002486	Prai.g_01731	Prau.g_01824
