Orthogroup	Syad	Other
OG0000013	Syad.g_00724	Syar.g_03167
OG0000017	Syad.g_01084	Praj.g_00585
OG0000017	Syad.g_01084	Prbb.g_00598
OG0000017	Syad.g_01084	Prbc.g_01674
OG0000017	Syad.g_01084	Prbm.g_00628
OG0000017	Syad.g_01084	Syar.g_03181
OG0000027	Syad.g_01257	Syao.g_01286
OG0000059	Syad.g_00642	Syal.g_01332
OG0000066	Syad.g_00992	Syar.g_03187
OG0000066	Syad.g_00992	Syab.g_01516
OG0000070	Syad.g_02424	Syar.g_03150
OG0000079	Syad.g_00565	Praf.g_02225
OG0000087	Syad.g_02860	Syar.g_03192
OG0000090	Syad.g_00977	Syar.g_03271
OG0000099	Syad.g_00460	Prau.g_01491
OG0000112	Syad.g_01766	Syar.g_03195
OG0000132	Syad.g_02897	Syaq.g_01036
OG0000134	Syad.g_00788	Syar.g_02009
OG0000142	Syad.g_02152	Syab.g_01524
OG0000145	Syad.g_00927	Syar.g_03205
OG0000148	Syad.g_01861	Syab.g_01683
OG0000149	Syad.g_01221	Syar.g_03289, Syar.g_03288
OG0000153	Syad.g_01713	Syar.g_03283
OG0000158	Syad.g_00374	Syao.g_01141
OG0000185	Syad.g_03006	Praf.g_00333
OG0000194	Syad.g_02880	Syar.g_03236
OG0000202	Syad.g_02938	Syar.g_00021
OG0000210	Syad.g_02982	Syar.g_03260
OG0000216	Syad.g_00285	Prbj.g_01422
OG0000216	Syad.g_00285	Prbk.g_00434
OG0000216	Syad.g_00285	Prbl.g_01436
OG0000216	Syad.g_00285	Praf.g_02296
OG0000216	Syad.g_00285	Prah.g_02151
OG0000230	Syad.g_02448	Syar.g_03275
OG0000233	Syad.g_02382	Syar.g_03183
OG0000236	Syad.g_00918	Syar.g_03311
OG0000239	Syad.g_00957	Syar.g_03277
OG0000245	Syad.g_01014	Syar.g_03238
OG0000250	Syad.g_01044	Syar.g_03194
OG0000251	Syad.g_01071	Syar.g_03207
OG0000253	Syad.g_01081	Syar.g_03229
OG0000255	Syad.g_02185	Syar.g_00011
OG0000258	Syad.g_02143	Syar.g_00010
OG0000260	Syad.g_01587	Syar.g_03220
OG0000264	Syad.g_01360	Syar.g_03267
OG0000274	Syad.g_01246	Syar.g_00009
OG0000278	Syad.g_01225	Syar.g_03174
OG0000282	Syad.g_01619	Syar.g_03255
OG0000283	Syad.g_01661	Syal.g_02131
OG0000289	Syad.g_01672	Syar.g_03305
OG0000303	Syad.g_01442	Syar.g_03136
OG0000307	Syad.g_00883	Syar.g_03153
OG0000312	Syad.g_02265	Syar.g_00015
OG0000323	Syad.g_02661	Syas.g_00159
OG0000325	Syad.g_00591	Syar.g_03291
OG0000330	Syad.g_00669	Syar.g_03190
OG0000338	Syad.g_00421	Syar.g_03225
OG0000346	Syad.g_00347	Syap.g_02423
OG0000367	Syad.g_00189	Syar.g_03262
OG0000388	Syad.g_02796	Syar.g_03148
OG0000486	Syad.g_00510	Syar.g_00024
OG0001008	Syad.g_02449	Syar.g_03274
OG0001257	Syad.g_02210	Syaa.g_00405
OG0001284	Syad.g_02585	Syas.g_02124
OG0001376	Syad.g_00015	Syar.g_03203
OG0001377	Syad.g_00014	Syar.g_03202
OG0001395	Syad.g_01792	Syal.g_00001
OG0001399	Syad.g_02336	Prar.g_01071
OG0001399	Syad.g_02336	Prbi.g_01884
OG0001412	Syad.g_00307	Praf.g_00131
OG0001412	Syad.g_00307	Syat.g_00584
OG0001412	Syad.g_00307	Syaa.g_01020
OG0001412	Syad.g_00307	Syak.g_01621
OG0001478	Syad.g_02371	Syas.g_01345
OG0001488	Syad.g_01175	Syar.g_03222
