Orthogroup	Pray	Other
OG0000017	Pray.g_01165	Syar.g_03181
OG0000017	Pray.g_01165	Praj.g_00585
OG0000017	Pray.g_01165	Prbb.g_00598
OG0000017	Pray.g_01165	Prbc.g_01674
OG0000017	Pray.g_01165	Prbm.g_00628
OG0000018	Pray.g_00083, Pray.g_00375	Syap.g_02708
OG0000027	Pray.g_00960, Pray.g_01887	Syac.g_01009
OG0000027	Pray.g_00960, Pray.g_01887	Syar.g_02835
OG0000037	Pray.g_00180	Syat.g_01575
OG0000044	Pray.g_00002	Syab.g_01097
OG0000052	Pray.g_01793	Syag.g_02491
OG0000052	Pray.g_01793	Syaa.g_00461
OG0000052	Pray.g_01793	Syal.g_01396
OG0000052	Pray.g_01793	Syae.g_01224
OG0000052	Pray.g_01793	Syaq.g_00935
OG0000056	Pray.g_01942	Prbc.g_01108
OG0000059	Pray.g_01258, Pray.g_01761	Syal.g_01332
OG0000061	Pray.g_00064	Syab.g_00171
OG0000061	Pray.g_00064	Prbb.g_00874
OG0000061	Pray.g_00064	Syah.g_00215
OG0000061	Pray.g_00064	Pral.g_00639
OG0000061	Pray.g_00064	Syaj.g_02351
OG0000061	Pray.g_00064	Syaa.g_00469
OG0000061	Pray.g_00064	Syap.g_00870
OG0000062	Pray.g_01644	Praf.g_01047
OG0000070	Pray.g_00940	Syar.g_03150
OG0000076	Pray.g_01364	Syao.g_01251
OG0000099	Pray.g_01788	Syai.g_00151
OG0000107	Pray.g_00864	Syar.g_03290
OG0000107	Pray.g_00864	Syat.g_02009
OG0000108	Pray.g_00970	Syap.g_02256
OG0000117	Pray.g_01927	Pral.g_01881
OG0000120	Pray.g_01808	Pras.g_00330
OG0000124	Pray.g_01380	Syag.g_02485
OG0000131	Pray.g_00144	Syar.g_02216
OG0000132	Pray.g_00645	Syaj.g_00688
OG0000132	Pray.g_00645	Syaq.g_01036
OG0000138	Pray.g_00985	Syaj.g_02631
OG0000138	Pray.g_00985	Syak.g_01062
OG0000142	Pray.g_01128	Syab.g_01524
OG0000145	Pray.g_00306	Syar.g_03205
OG0000148	Pray.g_00364	Syab.g_01683
OG0000148	Pray.g_00364	Syaj.g_01002
OG0000158	Pray.g_01787	Syao.g_01141
OG0000159	Pray.g_01785	Syap.g_00700
OG0000173	Pray.g_01403	Syap.g_01213
OG0000188	Pray.g_00207	Syai.g_00696
OG0000205	Pray.g_00683	Praf.g_02708
OG0000224	Pray.g_00803	Syar.g_00762
OG0000230	Pray.g_00928	Syar.g_03275
OG0000250	Pray.g_01190	Syar.g_03194
OG0000253	Pray.g_01168	Syar.g_03229
OG0000259	Pray.g_01103	Syas.g_01006
OG0000268	Pray.g_00275	Syaf.g_00307
OG0000283	Pray.g_00488	Syal.g_02131
OG0000284	Pray.g_00493	Syar.g_03258
OG0000289	Pray.g_00568	Syar.g_03305
OG0000303	Pray.g_00010	Syar.g_03136
OG0000323	Pray.g_01532	Syas.g_00159
OG0000330	Pray.g_01284	Syar.g_03190
OG0000344	Pray.g_01355	Syab.g_02424
OG0000346	Pray.g_01365	Syap.g_02423
OG0000379	Pray.g_00233	Syal.g_02681
OG0001008	Pray.g_00927	Syar.g_03274
OG0001140	Pray.g_00035	Syab.g_00642
OG0001269	Pray.g_00837	Syal.g_02116
OG0001284	Pray.g_01652	Syas.g_02124
OG0001349	Pray.g_01741	Syaa.g_00454
OG0001356	Pray.g_00312	Syaf.g_02177
OG0001395	Pray.g_00571	Syal.g_00001
OG0001423	Pray.g_01751	Syam.g_00534
OG0001635	Pray.g_01577	Syao.g_02182
OG0002033	Pray.g_01851	Prar.g_01072
