Orthogroup	Pras	Other
OG0000001	Pras.g_00118, Pras.g_00120	Prab.g_01279, Prab.g_01281
OG0000017	Pras.g_01474	Syar.g_03181
OG0000017	Pras.g_01474	Praj.g_00585
OG0000017	Pras.g_01474	Prbb.g_00598
OG0000017	Pras.g_01474	Prbc.g_01674
OG0000017	Pras.g_01474	Prbm.g_00628
OG0000018	Pras.g_00037, Pras.g_01728	Syap.g_02708
OG0000027	Pras.g_01348, Pras.g_00185	Syac.g_01009
OG0000027	Pras.g_01348, Pras.g_00185	Syar.g_02835
OG0000037	Pras.g_00960	Syat.g_01575
OG0000052	Pras.g_00285	Syag.g_02491
OG0000052	Pras.g_00285	Syaa.g_00461
OG0000052	Pras.g_00285	Syal.g_01396
OG0000052	Pras.g_00285	Syae.g_01224
OG0000052	Pras.g_00285	Syaq.g_00935
OG0000056	Pras.g_00881	Prbc.g_01108
OG0000059	Pras.g_00637	Syal.g_01332
OG0000061	Pras.g_00056	Syab.g_00171
OG0000061	Pras.g_00056	Prbb.g_00874
OG0000061	Pras.g_00056	Syah.g_00215
OG0000061	Pras.g_00056	Pral.g_00639
OG0000061	Pras.g_00056	Syaj.g_02351
OG0000061	Pras.g_00056	Syaa.g_00469
OG0000061	Pras.g_00056	Syap.g_00870
OG0000062	Pras.g_00431	Praf.g_01047
OG0000070	Pras.g_01328	Syar.g_03150
OG0000076	Pras.g_00883, Pras.g_00743	Syao.g_01251
OG0000099	Pras.g_00294	Syai.g_00151
OG0000107	Pras.g_01239	Syar.g_03290
OG0000107	Pras.g_01239	Syat.g_02009
OG0000108	Pras.g_01358	Syap.g_02256
OG0000117	Pras.g_00150	Pral.g_01881
OG0000120	Pras.g_00330	Prab.g_01447
OG0000120	Pras.g_00330	Pran.g_00752
OG0000120	Pras.g_00330	Prao.g_01215
OG0000120	Pras.g_00330	Pram.g_01446
OG0000120	Pras.g_00330	Prbh.g_00031
OG0000120	Pras.g_00330	Prak.g_01349
OG0000120	Pras.g_00330	Prap.g_00079
OG0000120	Pras.g_00330	Prbe.g_00353
OG0000120	Pras.g_00330	Prbf.g_00115
OG0000120	Pras.g_00330	Prbg.g_00549
OG0000120	Pras.g_00330	Prbn.g_00170
OG0000120	Pras.g_00330	Pray.g_01808
OG0000120	Pras.g_00330	Praz.g_01118
OG0000120	Pras.g_00330	Prba.g_00175
OG0000120	Pras.g_00330	Prai.g_01443
OG0000124	Pras.g_00759	Syag.g_02485
OG0000131	Pras.g_00996	Syar.g_02216
OG0000132	Pras.g_01015	Syaj.g_00688
OG0000132	Pras.g_01015	Syaq.g_01036
OG0000138	Pras.g_01373	Syaj.g_02631
OG0000138	Pras.g_01373	Syak.g_01062
OG0000142	Pras.g_01511	Syab.g_01524
OG0000145	Pras.g_01664	Syar.g_03205
OG0000148	Pras.g_01717	Syab.g_01683
OG0000148	Pras.g_01717	Syaj.g_01002
OG0000158	Pras.g_00289	Syao.g_01141
OG0000173	Pras.g_00783	Syap.g_01213
OG0000188	Pras.g_00933	Syai.g_00696
OG0000205	Pras.g_01053	Praf.g_02708
OG0000224	Pras.g_01177	Syar.g_00762
OG0000230	Pras.g_01316	Syar.g_03275
OG0000250	Pras.g_01448	Syar.g_03194
OG0000253	Pras.g_01471	Syar.g_03229
OG0000259	Pras.g_01536	Syas.g_01006
OG0000268	Pras.g_01628	Syaf.g_00307
OG0000283	Pras.g_01836	Syal.g_02131
OG0000284	Pras.g_01841	Syar.g_03258
OG0000289	Pras.g_01918	Syar.g_03305
OG0000303	Pras.g_00110	Syar.g_03136
OG0000323	Pras.g_00577	Syas.g_00159
OG0000330	Pras.g_00665	Syar.g_03190
OG0000344	Pras.g_00735	Syab.g_02424
OG0000346	Pras.g_00744	Syap.g_02423
OG0000379	Pras.g_00903	Syal.g_02681
OG0001008	Pras.g_01315	Syar.g_03274
OG0001140	Pras.g_00084	Syab.g_00642
OG0001264	Pras.g_00119	Praa.g_01221
OG0001269	Pras.g_01212	Syal.g_02116
OG0001284	Pras.g_00423	Syas.g_02124
OG0001349	Pras.g_00292	Syaa.g_00454
OG0001395	Pras.g_01921	Syal.g_00001
OG0001423	Pras.g_01277, Pras.g_01276	Syam.g_00534
OG0001505	Pras.g_00307	Prav.g_01548
OG0002033	Pras.g_00230	Prar.g_01072
OG0002098	Pras.g_00287, Pras.g_00284	Syas.g_02127
