Orthogroup	Syam	Other
OG0000013	Syam.g_00404	Syar.g_03167
OG0000017	Syam.g_01715	Praj.g_00585
OG0000017	Syam.g_01715	Prbb.g_00598
OG0000017	Syam.g_01715	Prbc.g_01674
OG0000017	Syam.g_01715	Prbm.g_00628
OG0000017	Syam.g_01715	Syar.g_03181
OG0000027	Syam.g_00989	Syao.g_01286
OG0000044	Syam.g_01562	Syab.g_01097
OG0000059	Syam.g_00320	Syal.g_01332
OG0000066	Syam.g_00552, Syam.g_00662	Syab.g_01516
OG0000066	Syam.g_00552, Syam.g_00662	Syar.g_03187
OG0000070	Syam.g_01847	Syar.g_03150
OG0000079	Syam.g_00270	Praf.g_02225
OG0000087	Syam.g_02175	Syar.g_03192
OG0000090	Syam.g_00651	Syar.g_03271
OG0000099	Syam.g_00173	Prau.g_01491
OG0000112	Syam.g_01115	Syar.g_03195
OG0000134	Syam.g_00492	Syar.g_02009
OG0000145	Syam.g_00605	Syar.g_03205
OG0000149	Syam.g_00725	Syar.g_03289, Syar.g_03288
OG0000153	Syam.g_01160	Syar.g_03283
OG0000158	Syam.g_00139	Syao.g_01141
OG0000185	Syam.g_02295	Praf.g_00333
OG0000194	Syam.g_02195	Syar.g_03236
OG0000202	Syam.g_02249	Syar.g_00021
OG0000203	Syam.g_02250	Syar.g_00020
OG0000210	Syam.g_02279	Syar.g_03260
OG0000229	Syam.g_01867	Syar.g_03273
OG0000233	Syam.g_01678	Syar.g_03183
OG0000236	Syam.g_00597	Syar.g_03311
OG0000239	Syam.g_00637	Syar.g_03277
OG0000240	Syam.g_00638	Syar.g_03278
OG0000245	Syam.g_00676	Syar.g_03238
OG0000250	Syam.g_01747	Syar.g_03194
OG0000251	Syam.g_01722	Syar.g_03207
OG0000253	Syam.g_01718	Syar.g_03229
OG0000255	Syam.g_01500	Syar.g_00011
OG0000258	Syam.g_01459	Syar.g_00010
OG0000260	Syam.g_01375	Syar.g_03220
OG0000264	Syam.g_00805	Syar.g_03267
OG0000274	Syam.g_00744	Syar.g_00009
OG0000278	Syam.g_00729	Syar.g_03174
OG0000282	Syam.g_01347	Syar.g_03255
OG0000283	Syam.g_01087	Syal.g_02131
OG0000289	Syam.g_01201	Syar.g_03305
OG0000293	Syam.g_01806	Syar.g_03297
OG0000295	Syam.g_01771	Syar.g_03208
OG0000303	Syam.g_00859	Syar.g_03136
OG0000306	Syam.g_01757	Syar.g_03140
OG0000307	Syam.g_00566	Syar.g_03153
OG0000312	Syam.g_01601	Syar.g_00015
OG0000323	Syam.g_02025	Syas.g_00159
OG0000325	Syam.g_00289	Syar.g_03291
OG0000330	Syam.g_00345	Syar.g_03190
OG0000338	Syam.g_00153	Syar.g_03225
OG0000346	Syam.g_00114	Syap.g_02423
OG0000367	Syam.g_00027	Syar.g_03262
OG0000388	Syam.g_02116	Syar.g_03148
OG0000486	Syam.g_00217	Syar.g_00024
OG0000559	Syam.g_00679	Syal.g_02305
OG0000995	Syam.g_02359	Syar.g_03212
OG0001008	Syam.g_01866	Syar.g_03274
OG0001217	Syam.g_01403	Syas.g_02493
OG0001269	Syam.g_00956	Syal.g_02116
OG0001284	Syam.g_01960	Syas.g_02124
OG0001376	Syam.g_02332	Syar.g_03203
OG0001377	Syam.g_02331	Syar.g_03202
OG0001395	Syam.g_01225	Syal.g_00001
OG0001423	Syam.g_00534	Prak.g_00645
OG0001423	Syam.g_00534	Prap.g_00633
OG0001423	Syam.g_00534	Prbe.g_00698
OG0001423	Syam.g_00534	Prbf.g_00361
OG0001423	Syam.g_00534	Prbg.g_00429
OG0001423	Syam.g_00534	Prbn.g_00787
OG0001423	Syam.g_00534	Pram.g_00613
OG0001423	Syam.g_00534	Prbh.g_01940
OG0001423	Syam.g_00534	Praj.g_01598
OG0001423	Syam.g_00534	Prbb.g_01665, Prbb.g_01664
OG0001423	Syam.g_00534	Pray.g_01751
OG0001423	Syam.g_00534	Prao.g_01368
OG0001423	Syam.g_00534	Prab.g_00406
OG0001423	Syam.g_00534	Pran.g_01777
OG0001423	Syam.g_00534	Prac.g_00634
OG0001423	Syam.g_00534	Praq.g_00859
OG0001423	Syam.g_00534	Prar.g_01560
OG0001423	Syam.g_00534	Prbi.g_01567, Prbi.g_02024
OG0001423	Syam.g_00534	Prbd.g_00832
OG0001423	Syam.g_00534	Prad.g_00546
OG0001423	Syam.g_00534	Pras.g_01277, Pras.g_01276
OG0001488	Syam.g_01774	Syar.g_03222
OG0001498	Syam.g_00490	Syar.g_03286
OG0001515	Syam.g_00804	Syar.g_03266
OG0001592	Syam.g_02301	Syar.g_03309
OG0001623	Syam.g_00429	Syao.g_01889
OG0001653	Syam.g_02438	Syag.g_01462
OG0001669	Syam.g_00088	Prbd.g_01711
OG0001752	Syam.g_01914	Syar.g_03214
OG0001787	Syam.g_00650	Syar.g_03272
OG0001790	Syam.g_01804	Syar.g_03295
OG0001808	Syam.g_00154	Syar.g_03226
OG0001812	Syam.g_02302	Syar.g_03308
OG0001880	Syam.g_01130	Syar.g_03302
OG0001881	Syam.g_01127	Syar.g_03301
OG0001882	Syam.g_01103	Syar.g_03147
OG0002024	Syam.g_02392	Syar.g_00004
OG0002047	Syam.g_00486	Syap.g_02153
OG0002213	Syam.g_02304	Syar.g_03307
OG0002400	Syam.g_01527	Syag.g_01602
OG0002400	Syam.g_01527	Syac.g_01066
OG0002400	Syam.g_01527	Syah.g_01364
OG0002400	Syam.g_01527	Syaa.g_00370, Syaa.g_00417
OG0002407	Syam.g_00979	Syag.g_01590
