Orthogroup	Prbf	Other
OG0000017	Prbf.g_01880	Praj.g_00585
OG0000017	Prbf.g_01880	Prbb.g_00598
OG0000017	Prbf.g_01880	Prbc.g_01674
OG0000017	Prbf.g_01880	Prbm.g_00628
OG0000017	Prbf.g_01880	Syar.g_03181
OG0000018	Prbf.g_00896, Prbf.g_01217	Syap.g_02708
OG0000027	Prbf.g_00774, Prbf.g_00817	Syac.g_01009
OG0000027	Prbf.g_00774, Prbf.g_00817	Syar.g_02835
OG0000037	Prbf.g_01437	Syat.g_01575
OG0000052	Prbf.g_00135	Syag.g_02491
OG0000052	Prbf.g_00135	Syaa.g_00461
OG0000052	Prbf.g_00135	Syal.g_01396
OG0000052	Prbf.g_00135	Syae.g_01224
OG0000052	Prbf.g_00135	Syaq.g_00935
OG0000059	Prbf.g_00606	Syal.g_01332
OG0000061	Prbf.g_00918	Syab.g_00171
OG0000061	Prbf.g_00918	Syah.g_00215
OG0000061	Prbf.g_00918	Syaj.g_02351
OG0000061	Prbf.g_00918	Syaa.g_00469
OG0000061	Prbf.g_00918	Syap.g_00870
OG0000076	Prbf.g_00496	Syao.g_01251
OG0000093	Prbf.g_01019	Prbb.g_01606
OG0000099	Prbf.g_00118	Syai.g_00151
OG0000107	Prbf.g_00629	Syar.g_03290
OG0000107	Prbf.g_00629	Syat.g_02009
OG0000108	Prbf.g_01763	Syap.g_02256
OG0000120	Prbf.g_00115	Pras.g_00330
OG0000124	Prbf.g_00478	Syag.g_02485
OG0000131	Prbf.g_01478	Syar.g_02216
OG0000132	Prbf.g_01498	Syaq.g_01036
OG0000138	Prbf.g_01778	Syak.g_01062
OG0000138	Prbf.g_01778	Syaj.g_02631
OG0000142	Prbf.g_00982	Syab.g_01524
OG0000145	Prbf.g_00042	Syar.g_03205
OG0000148	Prbf.g_01228	Syab.g_01683
OG0000148	Prbf.g_01228	Syaj.g_01002
OG0000158	Prbf.g_00514	Syao.g_01141
OG0000159	Prbf.g_01387	Syap.g_00700
OG0000173	Prbf.g_00457	Syap.g_01213
OG0000188	Prbf.g_01408	Syai.g_00696
OG0000205	Prbf.g_01537	Praf.g_02708
OG0000224	Prbf.g_01664	Syar.g_00762
OG0000230	Prbf.g_01722	Syar.g_03275
OG0000250	Prbf.g_01853	Syar.g_03194
OG0000253	Prbf.g_01877	Syar.g_03229
OG0000259	Prbf.g_01008	Syas.g_01006
OG0000268	Prbf.g_01050	Syaf.g_00307
OG0000283	Prbf.g_01141	Syal.g_02131
OG0000284	Prbf.g_01136	Syar.g_03258
OG0000289	Prbf.g_01063	Syar.g_03305
OG0000303	Prbf.g_00975	Syar.g_03136
OG0000323	Prbf.g_00666	Syas.g_00159
OG0000330	Prbf.g_00581	Syar.g_03190
OG0000344	Prbf.g_00505	Syab.g_02424
OG0000346	Prbf.g_00495	Syap.g_02423
OG0000379	Prbf.g_01375	Syal.g_02681
OG0000390	Prbf.g_01443	Prad.g_00011
OG0000771	Prbf.g_00253	Prau.g_01496
OG0001008	Prbf.g_01721	Syar.g_03274
OG0001140	Prbf.g_00951	Syab.g_00642
OG0001269	Prbf.g_01190	Syal.g_02116
OG0001284	Prbf.g_00232	Syas.g_02124
OG0001349	Prbf.g_00119	Syaa.g_00454
OG0001356	Prbf.g_00705	Syaf.g_02177
OG0001423	Prbf.g_00361	Syam.g_00534
OG0001488	Prbf.g_00931	Syad.g_00051, Syad.g_00050
OG0001518	Prbf.g_00437	Syal.g_02309
OG0001588	Prbf.g_01709	Praf.g_02600
OG0002098	Prbf.g_00078	Syas.g_02127
