Orthogroup	Syap	Other
OG0000018	Syap.g_02708	Prbj.g_00641
OG0000018	Syap.g_02708	Prbk.g_01227
OG0000018	Syap.g_02708	Prbl.g_00694
OG0000018	Syap.g_02708	Praf.g_01832
OG0000018	Syap.g_02708	Prah.g_00378
OG0000018	Syap.g_02708	Pral.g_01346, Pral.g_01516
OG0000018	Syap.g_02708	Prat.g_01177, Prat.g_01009
OG0000018	Syap.g_02708	Prak.g_01194, Prak.g_00873
OG0000018	Syap.g_02708	Prap.g_00478, Prap.g_00755
OG0000018	Syap.g_02708	Prbe.g_01571, Prbe.g_01250
OG0000018	Syap.g_02708	Prbf.g_00896, Prbf.g_01217
OG0000018	Syap.g_02708	Prbg.g_01508, Prbg.g_01187
OG0000018	Syap.g_02708	Prbn.g_01167, Prbn.g_01518
OG0000018	Syap.g_02708	Pram.g_01162, Pram.g_00837
OG0000018	Syap.g_02708	Prbh.g_01305, Prbh.g_00981
OG0000018	Syap.g_02708	Praa.g_01141, Praa.g_00831
OG0000018	Syap.g_02708	Pray.g_00083, Pray.g_00375
OG0000018	Syap.g_02708	Praz.g_00011, Praz.g_01485
OG0000018	Syap.g_02708	Prba.g_00083, Prba.g_01472
OG0000018	Syap.g_02708	Prac.g_01004, Prac.g_01448
OG0000018	Syap.g_02708	Praq.g_01314, Praq.g_01425
OG0000018	Syap.g_02708	Prar.g_01282, Prar.g_01711
OG0000018	Syap.g_02708	Prao.g_01108, Prao.g_00768
OG0000018	Syap.g_02708	Prab.g_01201, Prab.g_00867
OG0000018	Syap.g_02708	Pran.g_00078, Pran.g_01316
OG0000018	Syap.g_02708	Prai.g_01153, Prai.g_00820
OG0000018	Syap.g_02708	Praj.g_01482, Praj.g_00798
OG0000018	Syap.g_02708	Prbb.g_01539, Prbb.g_00812
OG0000018	Syap.g_02708	Prbm.g_01571, Prbm.g_00843
OG0000018	Syap.g_02708	Prbc.g_01468, Prbc.g_01887
OG0000018	Syap.g_02708	Prag.g_01134, Prag.g_00833
OG0000018	Syap.g_02708	Praw.g_00215, Praw.g_01670
OG0000018	Syap.g_02708	Prav.g_00046, Prav.g_00424
OG0000018	Syap.g_02708	Prbd.g_00449, Prbd.g_00129
OG0000018	Syap.g_02708	Prae.g_01144, Prae.g_00833
OG0000018	Syap.g_02708	Pras.g_00037, Pras.g_01728
OG0000018	Syap.g_02708	Prau.g_01188, Prau.g_00881
OG0000018	Syap.g_02708	Prax.g_00181, Prax.g_00346
OG0000018	Syap.g_02708	Prad.g_01515, Prad.g_01173
OG0000018	Syap.g_02708	Prbi.g_01188, Prbi.g_00874
OG0000037	Syap.g_02492	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205
OG0000037	Syap.g_02492	Syal.g_00601
OG0000059	Syap.g_01082, Syap.g_02478	Syal.g_01332
OG0000061	Syap.g_00870	Syaq.g_00249
OG0000061	Syap.g_00870	Syak.g_00898
OG0000061	Syap.g_00870	Syab.g_00969
OG0000061	Syap.g_00870	Syal.g_01653
OG0000061	Syap.g_00870	Prad.g_01496
OG0000061	Syap.g_00870	Prbm.g_01549
OG0000061	Syap.g_00870	Praj.g_01461
OG0000061	Syap.g_00870	Prbc.g_01446
OG0000061	Syap.g_00870	Prbb.g_01517
OG0000061	Syap.g_00870	Pral.g_01367
OG0000061	Syap.g_00870	Prat.g_01156
OG0000061	Syap.g_00870	Prak.g_01172
OG0000061	Syap.g_00870	Prap.g_00456
OG0000061	Syap.g_00870	Prbe.g_01549
OG0000061	Syap.g_00870	Prbf.g_00918
OG0000061	Syap.g_00870	Prbg.g_01486
OG0000061	Syap.g_00870	Prbn.g_01189
OG0000061	Syap.g_00870	Pram.g_01140
OG0000061	Syap.g_00870	Prbh.g_01283
OG0000061	Syap.g_00870	Prae.g_01163
OG0000061	Syap.g_00870	Prax.g_00200
OG0000061	Syap.g_00870	Pras.g_00056
OG0000061	Syap.g_00870	Prau.g_01206
OG0000061	Syap.g_00870	Praa.g_01159
OG0000061	Syap.g_00870	Prbd.g_00468
OG0000061	Syap.g_00870	Prbi.g_01207
OG0000061	Syap.g_00870	Prao.g_01089
OG0000061	Syap.g_00870	Prac.g_00985
OG0000061	Syap.g_00870	Praq.g_01333
OG0000061	Syap.g_00870	Prar.g_01263
OG0000061	Syap.g_00870	Prav.g_00065
OG0000061	Syap.g_00870	Prag.g_01153
OG0000061	Syap.g_00870	Praw.g_00234
OG0000061	Syap.g_00870	Pray.g_00064
OG0000061	Syap.g_00870	Praz.g_00755
OG0000061	Syap.g_00870	Prba.g_00064
OG0000061	Syap.g_00870	Praa.g_01415
OG0000061	Syap.g_00870	Praa.g_01415
OG0000061	Syap.g_00870	Syab.g_00171
OG0000061	Syap.g_00870	Prbb.g_00874
OG0000061	Syap.g_00870	Syab.g_00171
OG0000061	Syap.g_00870	Prbb.g_00874
OG0000061	Syap.g_00870	Syah.g_00215
OG0000061	Syap.g_00870	Prae.g_01422
OG0000061	Syap.g_00870	Pral.g_00639
OG0000061	Syap.g_00870	Syaj.g_02351
OG0000061	Syap.g_00870	Prah.g_00104
OG0000061	Syap.g_00870	Syah.g_00215
OG0000061	Syap.g_00870	Prae.g_01422
OG0000061	Syap.g_00870	Pral.g_00639
OG0000061	Syap.g_00870	Syaj.g_02351
OG0000061	Syap.g_00870	Syaa.g_00469
