Orthogroup	Prat	Other
OG0000017	Prat.g_00560	Praj.g_00585
OG0000017	Prat.g_00560	Prbb.g_00598
OG0000017	Prat.g_00560	Prbc.g_01674
OG0000017	Prat.g_00560	Prbm.g_00628
OG0000017	Prat.g_00560	Syar.g_03181
OG0000018	Prat.g_01177, Prat.g_01009	Syap.g_02708
OG0000027	Prat.g_01548, Prat.g_01474	Syac.g_01009
OG0000027	Prat.g_01548, Prat.g_01474	Syar.g_02835
OG0000037	Prat.g_00106	Syat.g_01575
OG0000044	Prat.g_00619	Syab.g_01097
OG0000056	Prat.g_01571	Prbc.g_01108
OG0000059	Prat.g_01679	Syal.g_01332
OG0000061	Prat.g_01156	Syab.g_00171
OG0000061	Prat.g_01156	Syah.g_00215
OG0000061	Prat.g_01156	Syaj.g_02351
OG0000061	Prat.g_01156	Syaa.g_00469
OG0000061	Prat.g_01156	Syap.g_00870
OG0000076	Prat.g_01788	Syao.g_01251
OG0000099	Prat.g_01312	Syai.g_00151
OG0000107	Prat.g_01656	Syar.g_03290
OG0000107	Prat.g_01656	Syat.g_02009
OG0000108	Prat.g_00440	Syap.g_02256
OG0000124	Prat.g_01805	Syag.g_02485
OG0000131	Prat.g_00144	Syar.g_02216
OG0000132	Prat.g_00164	Syaq.g_01036
OG0000137	Prat.g_00434	Prah.g_00105
OG0000138	Prat.g_00456	Syak.g_01062
OG0000138	Prat.g_00456	Syaj.g_02631
OG0000142	Prat.g_01090	Syab.g_01524
OG0000145	Prat.g_01472	Syar.g_03205
OG0000148	Prat.g_01020	Syab.g_01683
OG0000148	Prat.g_01020	Syaj.g_01002
OG0000158	Prat.g_01769	Syao.g_01141
OG0000173	Prat.g_01826	Syap.g_01213
OG0000188	Prat.g_00080	Syai.g_00696
OG0000205	Prat.g_00204	Praf.g_02708
OG0000224	Prat.g_00332	Syar.g_00762
OG0000230	Prat.g_00398	Syar.g_03275
OG0000250	Prat.g_00536	Syar.g_03194
OG0000253	Prat.g_00557	Syar.g_03229
OG0000259	Prat.g_01064	Syas.g_01006
OG0000268	Prat.g_00815	Syaf.g_00307
OG0000283	Prat.g_00868	Syal.g_02131
OG0000284	Prat.g_00873	Syar.g_03258
OG0000289	Prat.g_00948	Syar.g_03305
OG0000303	Prat.g_01099	Syar.g_03136
OG0000323	Prat.g_01618	Syas.g_00159
OG0000330	Prat.g_01704	Syar.g_03190
OG0000344	Prat.g_01779	Syab.g_02424
OG0000346	Prat.g_01789	Syap.g_02423
OG0000379	Prat.g_00055	Syal.g_02681
OG0001008	Prat.g_00397	Syar.g_03274
OG0001269	Prat.g_00985	Syal.g_02116
OG0001284	Prat.g_01433	Syas.g_02124
OG0001488	Prat.g_01143	Syad.g_00050
OG0001518	Prat.g_01847	Syal.g_02309
OG0001673	Prat.g_00237	Syah.g_01195
OG0001748	Prat.g_00838	Syah.g_00554
OG0002486	Prat.g_01497	Prau.g_01824
