Orthogroup	Prbd	Other
OG0000001	Prbd.g_01930	Prab.g_01279, Prab.g_01281
OG0000017	Prbd.g_00646	Syar.g_03181
OG0000017	Prbd.g_00646	Praj.g_00585
OG0000017	Prbd.g_00646	Prbb.g_00598
OG0000017	Prbd.g_00646	Prbc.g_01674
OG0000017	Prbd.g_00646	Prbm.g_00628
OG0000018	Prbd.g_00449, Prbd.g_00129	Syap.g_02708
OG0000027	Prbd.g_00772, Prbd.g_01832	Syac.g_01009
OG0000027	Prbd.g_00772, Prbd.g_01832	Syar.g_02835
OG0000037	Prbd.g_01135	Syat.g_01575
OG0000059	Prbd.g_01439	Syal.g_01332
OG0000061	Prbd.g_00468	Syab.g_00171
OG0000061	Prbd.g_00468	Prbb.g_00874
OG0000061	Prbd.g_00468	Syah.g_00215
OG0000061	Prbd.g_00468	Pral.g_00639
OG0000061	Prbd.g_00468	Syaj.g_02351
OG0000061	Prbd.g_00468	Syaa.g_00469
OG0000061	Prbd.g_00468	Syap.g_00870
OG0000062	Prbd.g_01610	Praf.g_01047
OG0000070	Prbd.g_00792	Syar.g_03150
OG0000076	Prbd.g_01335	Syao.g_01251
OG0000099	Prbd.g_01734	Syai.g_00151
OG0000107	Prbd.g_00852	Syar.g_03290
OG0000107	Prbd.g_00852	Syat.g_02009
OG0000108	Prbd.g_00762	Syap.g_02256
OG0000117	Prbd.g_01895	Pral.g_01881
OG0000124	Prbd.g_01318	Syag.g_02485
OG0000131	Prbd.g_01095	Syar.g_02216
OG0000132	Prbd.g_01076	Syaj.g_00688
OG0000132	Prbd.g_01076	Syaq.g_01036
OG0000138	Prbd.g_00747	Syaj.g_02631
OG0000138	Prbd.g_00747	Syak.g_01062
OG0000142	Prbd.g_00609	Syab.g_01524
OG0000145	Prbd.g_00062	Syar.g_03205
OG0000148	Prbd.g_00118	Syab.g_01683
OG0000148	Prbd.g_00118	Syaj.g_01002
OG0000158	Prbd.g_01736	Syao.g_01141
OG0000159	Prbd.g_01735	Syap.g_00700
OG0000173	Prbd.g_01295	Syap.g_01213
OG0000188	Prbd.g_01162	Syai.g_00696
OG0000205	Prbd.g_01038	Praf.g_02708
OG0000224	Prbd.g_00914	Syar.g_00762
OG0000230	Prbd.g_00804	Syar.g_03275
OG0000250	Prbd.g_00671	Syar.g_03194
OG0000253	Prbd.g_00649	Syar.g_03229
OG0000259	Prbd.g_00584	Syas.g_01006
OG0000268	Prbd.g_00029	Syaf.g_00307
OG0000283	Prbd.g_00241	Syal.g_02131
OG0000284	Prbd.g_00246	Syar.g_03258
OG0000289	Prbd.g_00324	Syar.g_03305
OG0000303	Prbd.g_00521	Syar.g_03136
OG0000323	Prbd.g_01498	Syas.g_00159
OG0000330	Prbd.g_01413	Syar.g_03190
OG0000344	Prbd.g_01343	Syab.g_02424
OG0000346	Prbd.g_01334	Syap.g_02423
OG0000379	Prbd.g_01187	Syal.g_02681
OG0001008	Prbd.g_00805	Syar.g_03274
OG0001140	Prbd.g_00496	Syab.g_00642
OG0001269	Prbd.g_00880	Syal.g_02116
OG0001284	Prbd.g_01618, Prbd.g_01619	Syas.g_02124
OG0001356	Prbd.g_00830	Syaf.g_02177
OG0001395	Prbd.g_00327	Syal.g_00001
OG0001412	Prbd.g_01816	Syat.g_00584
OG0001412	Prbd.g_01816	Syaa.g_01020
OG0001423	Prbd.g_00832	Syam.g_00534
OG0001635	Prbd.g_01545	Syao.g_02182
OG0001669	Prbd.g_01711	Syar.g_00323
OG0001669	Prbd.g_01711	Syat.g_01243, Syat.g_02149, Syat.g_02150, Syat.g_02151
OG0001669	Prbd.g_01711	Syap.g_01283
OG0001669	Prbd.g_01711	Prah.g_00094
OG0001669	Prbd.g_01711	Syam.g_00088
