Orthogroup	Praa	Other
OG0000001	Praa.g_01220, Praa.g_01222	Prab.g_01279, Prab.g_01281
OG0000017	Praa.g_00598	Syar.g_03181
OG0000017	Praa.g_00598	Praj.g_00585
OG0000017	Praa.g_00598	Prbb.g_00598
OG0000017	Praa.g_00598	Prbc.g_01674
OG0000017	Praa.g_00598	Prbm.g_00628
OG0000018	Praa.g_01141, Praa.g_00831	Syap.g_02708
OG0000027	Praa.g_00470, Praa.g_01301	Syac.g_01009
OG0000027	Praa.g_00470, Praa.g_01301	Syar.g_02835
OG0000037	Praa.g_00109	Syat.g_01575
OG0000052	Praa.g_01447, Praa.g_01407	Syag.g_02491
OG0000052	Praa.g_01447, Praa.g_01407	Syaa.g_00461
OG0000052	Praa.g_01447	Syal.g_01396
OG0000052	Praa.g_01447	Syae.g_01224
OG0000052	Praa.g_01447	Syaq.g_00935
OG0000052	Praa.g_01407	Syao.g_01085
OG0000052	Praa.g_01407	Syal.g_01396
OG0000052	Praa.g_01407	Syae.g_01224
OG0000052	Praa.g_01407	Syaq.g_00935
OG0000052	Praa.g_01407	Syal.g_01396
OG0000052	Praa.g_01407	Syae.g_01224
OG0000052	Praa.g_01407	Syaq.g_00935
OG0000059	Praa.g_01723	Syal.g_01332
OG0000061	Praa.g_01159	Syab.g_00171
OG0000061	Praa.g_01159	Prbb.g_00874
OG0000061	Praa.g_01159	Syah.g_00215
OG0000061	Praa.g_01159	Pral.g_00639
OG0000061	Praa.g_01159	Syaj.g_02351
OG0000061	Praa.g_01159	Syaa.g_00469
OG0000061	Praa.g_01159	Syap.g_00870
OG0000061	Praa.g_01415	Prah.g_00104
OG0000061	Praa.g_01415	Praf.g_01859
OG0000061	Praa.g_01415	Syab.g_00171
OG0000061	Praa.g_01415	Prbb.g_00874
OG0000061	Praa.g_01415	Syah.g_00215
OG0000061	Praa.g_01415	Prae.g_01422
OG0000061	Praa.g_01415	Pral.g_00639
OG0000061	Praa.g_01415	Syaj.g_02351
OG0000061	Praa.g_01415	Syaa.g_00469
OG0000061	Praa.g_01415	Syap.g_00870
OG0000061	Praa.g_01415	Syab.g_00171
OG0000061	Praa.g_01415	Prbb.g_00874
OG0000061	Praa.g_01415	Syah.g_00215
OG0000061	Praa.g_01415	Prae.g_01422
OG0000061	Praa.g_01415	Pral.g_00639
OG0000061	Praa.g_01415	Syaj.g_02351
OG0000061	Praa.g_01415	Syaa.g_00469
OG0000061	Praa.g_01415	Syap.g_00870
OG0000062	Praa.g_01555	Praf.g_01047
OG0000070	Praa.g_00449	Syar.g_03150
OG0000076	Praa.g_01832	Syao.g_01251
OG0000099	Praa.g_01394	Syai.g_00151
OG0000107	Praa.g_00383	Syar.g_03290
OG0000107	Praa.g_00383	Syat.g_02009
OG0000108	Praa.g_00480	Syap.g_02256
OG0000117	Praa.g_01255	Pral.g_01881
OG0000124	Praa.g_01848	Syag.g_02485
OG0000131	Praa.g_00145	Syar.g_02216
OG0000132	Praa.g_00164	Syaj.g_00688
OG0000132	Praa.g_00164	Syaq.g_01036
OG0000137	Praa.g_01414	Prah.g_00105
OG0000138	Praa.g_00495	Syaj.g_02631
OG0000138	Praa.g_00495	Syak.g_01062
OG0000142	Praa.g_00635	Syab.g_01524
OG0000145	Praa.g_00764	Syar.g_03205
OG0000148	Praa.g_00820	Syab.g_01683
OG0000148	Praa.g_00820	Syaj.g_01002
OG0000158	Praa.g_01395	Syao.g_01141
OG0000159	Praa.g_01396	Syap.g_00700
OG0000173	Praa.g_01871	Syap.g_01213
OG0000188	Praa.g_00082	Syai.g_00696
OG0000205	Praa.g_00202	Praf.g_02708
OG0000224	Praa.g_00325	Syar.g_00762
OG0000230	Praa.g_00437	Syar.g_03275
OG0000250	Praa.g_00572	Syar.g_03194
OG0000253	Praa.g_00595	Syar.g_03229
OG0000259	Praa.g_00660	Syas.g_01006
OG0000268	Praa.g_00733	Syaf.g_00307
OG0000283	Praa.g_00941	Syal.g_02131
OG0000284	Praa.g_00946	Syar.g_03258
OG0000289	Praa.g_01023	Syar.g_03305
OG0000303	Praa.g_01212	Syar.g_03136
OG0000323	Praa.g_01662	Syas.g_00159
OG0000330	Praa.g_01753	Syar.g_03190
OG0000344	Praa.g_01824	Syab.g_02424
OG0000346	Praa.g_01833	Syap.g_02423
OG0000379	Praa.g_00050	Syal.g_02681
OG0001140	Praa.g_01187	Syab.g_00642
OG0001264	Praa.g_01221	Pras.g_00119
OG0001264	Praa.g_01221	Prau.g_01268
OG0001264	Praa.g_01221	Prad.g_01995
OG0001264	Praa.g_01221	Prax.g_01976
OG0001264	Praa.g_01221	Prab.g_01280
OG0001264	Praa.g_01221	Pran.g_01952
OG0001269	Praa.g_00358	Syal.g_02116
OG0001284	Praa.g_01547	Syas.g_02124
OG0001349	Praa.g_01624, Praa.g_01794	Syaa.g_00454
OG0001395	Praa.g_01026	Syal.g_00001
OG0001412	Praa.g_01428	Syat.g_00584
OG0001412	Praa.g_01428	Syaa.g_01020
OG0002098	Praa.g_01448	Syas.g_02127
OG0002767	Praa.g_00053	Prbi.g_01412
