Orthogroup	Syae	Other
OG0000013	Syae.g_02155	Syar.g_03167
OG0000017	Syae.g_02462	Praj.g_00585
OG0000017	Syae.g_02462	Prbb.g_00598
OG0000017	Syae.g_02462	Prbc.g_01674
OG0000017	Syae.g_02462	Prbm.g_00628
OG0000017	Syae.g_02462	Syar.g_03181
OG0000027	Syae.g_00814	Syao.g_01286
OG0000037	Syae.g_01367	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205
OG0000037	Syae.g_01367	Syal.g_00601
OG0000044	Syae.g_01067	Syab.g_01097
OG0000052	Syae.g_01224	Syar.g_02742, Syar.g_02751
OG0000052	Syae.g_01224	Pram.g_01436
OG0000052	Syae.g_01224	Prbh.g_00041
OG0000052	Syae.g_01224	Syag.g_02491
OG0000052	Syae.g_01224	Syaa.g_00461
OG0000052	Syae.g_01224	Prau.g_01489
OG0000052	Syae.g_01224	Prae.g_01416
OG0000052	Syae.g_01224	Prbi.g_01478
OG0000052	Syae.g_01224	Prag.g_01444
OG0000052	Syae.g_01224	Praw.g_01071
OG0000052	Syae.g_01224	Syag.g_02491
OG0000052	Syae.g_01224	Syaa.g_00461
OG0000052	Syae.g_01224	Prai.g_00154
OG0000052	Syae.g_01224	Prav.g_01533
OG0000052	Syae.g_01224	Prab.g_01423
OG0000052	Syae.g_01224	Pran.g_00777
OG0000052	Syae.g_01224	Pray.g_01793
OG0000052	Syae.g_01224	Praz.g_01103
OG0000052	Syae.g_01224	Prba.g_00160
OG0000052	Syae.g_01224	Pras.g_00285
OG0000052	Syae.g_01224	Praa.g_01447
OG0000052	Syae.g_01224	Prak.g_01369
OG0000052	Syae.g_01224	Prap.g_00099
OG0000052	Syae.g_01224	Prbe.g_00333
OG0000052	Syae.g_01224	Prbf.g_00135
OG0000052	Syae.g_01224	Prbg.g_00569
OG0000052	Syae.g_01224	Prbn.g_00190
OG0000052	Syae.g_01224	Praa.g_01407
OG0000052	Syae.g_01224	Praa.g_01407
OG0000052	Syae.g_01224	Syal.g_01396
OG0000052	Syae.g_01224	Syal.g_01396
OG0000052	Syae.g_01224	Syao.g_01085
OG0000052	Syae.g_01224	Syaq.g_00935
OG0000052	Syae.g_01224	Syaq.g_00935
OG0000059	Syae.g_02074	Syal.g_01332
OG0000066	Syae.g_02386	Syar.g_03187
OG0000066	Syae.g_02386	Syab.g_01516
OG0000070	Syae.g_00979	Syar.g_03150
OG0000079	Syae.g_02011	Praf.g_02225
OG0000087	Syae.g_01414	Syar.g_03192
OG0000090	Syae.g_02374	Syar.g_03271
OG0000099	Syae.g_01913, Syae.g_01226	Prau.g_01491
OG0000112	Syae.g_00351	Syar.g_03195
OG0000132	Syae.g_01447	Syaq.g_01036
OG0000134	Syae.g_02222	Syar.g_02009
OG0000140	Syae.g_02383	Syar.g_03246
OG0000142	Syae.g_00074	Syab.g_01524
OG0000145	Syae.g_02331	Syar.g_03205
OG0000148	Syae.g_00500	Syab.g_01683
OG0000153	Syae.g_00394	Syar.g_03283
OG0000158	Syae.g_01858	Syao.g_01141
OG0000185	Syae.g_01551	Praf.g_00333
OG0000194	Syae.g_01432	Syar.g_03236
