Orthogroup	Pral	Other
OG0000017	Pral.g_00491	Praj.g_00585
OG0000017	Pral.g_00491	Prbb.g_00598
OG0000017	Pral.g_00491	Prbc.g_01674
OG0000017	Pral.g_00491	Prbm.g_00628
OG0000017	Pral.g_00491	Syar.g_03181
OG0000018	Pral.g_01346, Pral.g_01516	Syap.g_02708
OG0000027	Pral.g_00039, Pral.g_01036	Syac.g_01009
OG0000027	Pral.g_00039, Pral.g_01036	Syar.g_02835
OG0000037	Pral.g_00938	Syat.g_01575
OG0000044	Pral.g_01888	Syab.g_01097
OG0000056	Pral.g_01041	Prbc.g_01108
OG0000059	Pral.g_00195	Syal.g_01332
OG0000061	Pral.g_01367	Syab.g_00171
OG0000061	Pral.g_01367	Syah.g_00215
OG0000061	Pral.g_01367	Syaj.g_02351
OG0000061	Pral.g_01367	Syaa.g_00469
OG0000061	Pral.g_01367	Syap.g_00870
OG0000061	Pral.g_00639	Prae.g_01163
OG0000061	Pral.g_00639	Prax.g_00200
OG0000061	Pral.g_00639	Pras.g_00056
OG0000061	Pral.g_00639	Prau.g_01206
OG0000061	Pral.g_00639	Praa.g_01159
OG0000061	Pral.g_00639	Prbd.g_00468
OG0000061	Pral.g_00639	Prbi.g_01207
OG0000061	Pral.g_00639	Prao.g_01089
OG0000061	Pral.g_00639	Prac.g_00985
OG0000061	Pral.g_00639	Praq.g_01333
OG0000061	Pral.g_00639	Prar.g_01263
OG0000061	Pral.g_00639	Prav.g_00065
OG0000061	Pral.g_00639	Prag.g_01153
OG0000061	Pral.g_00639	Praw.g_00234
OG0000061	Pral.g_00639	Pray.g_00064
OG0000061	Pral.g_00639	Praz.g_00755
OG0000061	Pral.g_00639	Prba.g_00064
OG0000061	Pral.g_00639	Praa.g_01415
OG0000061	Pral.g_00639	Praa.g_01415
OG0000061	Pral.g_00639	Syab.g_00171
OG0000061	Pral.g_00639	Prbb.g_00874
OG0000061	Pral.g_00639	Syab.g_00171
OG0000061	Pral.g_00639	Prbb.g_00874
OG0000061	Pral.g_00639	Praf.g_01859
OG0000061	Pral.g_00639	Syaa.g_00469
OG0000061	Pral.g_00639	Syap.g_00870
OG0000061	Pral.g_00639	Syaa.g_00469
OG0000061	Pral.g_00639	Syap.g_00870
OG0000061	Pral.g_00639	Syah.g_00215
OG0000061	Pral.g_00639	Prae.g_01422
OG0000061	Pral.g_00639	Prah.g_00104
OG0000061	Pral.g_00639	Syah.g_00215
OG0000061	Pral.g_00639	Prae.g_01422
OG0000061	Pral.g_00639	Syaj.g_02351
OG0000061	Pral.g_00639	Syaj.g_02351
OG0000076	Pral.g_00305	Syao.g_01251
OG0000099	Pral.g_01201	Syai.g_00151
OG0000107	Pral.g_00171	Syar.g_03290
OG0000107	Pral.g_00171	Syat.g_02009
OG0000108	Pral.g_00611	Syap.g_02256
OG0000117	Pral.g_01396, Pral.g_01881	Prao.g_01332
OG0000117	Pral.g_01396, Pral.g_01881	Prag.g_01298
OG0000117	Pral.g_01396, Pral.g_01881	Praw.g_00926
OG0000117	Pral.g_01396, Pral.g_01881	Prav.g_01390
OG0000117	Pral.g_01881	Prad.g_01214
OG0000117	Pral.g_01881	Pras.g_00150
OG0000117	Pral.g_01881	Prau.g_01318
OG0000117	Pral.g_01881	Prax.g_01959
OG0000117	Pral.g_01881	Prbi.g_01330
OG0000117	Pral.g_01881	Prae.g_01263
OG0000117	Pral.g_01881	Prbd.g_01895
OG0000117	Pral.g_01881	Praa.g_01255
OG0000117	Pral.g_01881	Prai.g_01273
OG0000117	Pral.g_01881	Prac.g_01955
OG0000117	Pral.g_01881	Praq.g_00084
OG0000117	Pral.g_01881	Prar.g_01003
