Orthogroup	Prag	Other
OG0000017	Prag.g_00576	Syar.g_03181
OG0000017	Prag.g_00576	Praj.g_00585
OG0000017	Prag.g_00576	Prbb.g_00598
OG0000017	Prag.g_00576	Prbc.g_01674
OG0000017	Prag.g_00576	Prbm.g_00628
OG0000018	Prag.g_01134, Prag.g_00833	Syap.g_02708
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syac.g_01009
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syar.g_02835
OG0000037	Prag.g_00102	Syat.g_01575
OG0000052	Prag.g_01444	Syal.g_01396
OG0000052	Prag.g_01444	Syae.g_01224
OG0000052	Prag.g_01444	Syaq.g_00935
OG0000052	Prag.g_01444	Syag.g_02491
OG0000052	Prag.g_01444	Syaa.g_00461
OG0000059	Prag.g_01755	Syal.g_01332
OG0000061	Prag.g_01153	Syab.g_00171
OG0000061	Prag.g_01153	Prbb.g_00874
OG0000061	Prag.g_01153	Syah.g_00215
OG0000061	Prag.g_01153	Pral.g_00639
OG0000061	Prag.g_01153	Syaj.g_02351
OG0000061	Prag.g_01153	Syaa.g_00469
OG0000061	Prag.g_01153	Syap.g_00870
OG0000062	Prag.g_01568	Praf.g_01047
OG0000070	Prag.g_00429	Syar.g_03150
OG0000076	Prag.g_01861	Syao.g_01251
OG0000099	Prag.g_01424	Syai.g_00151
OG0000107	Prag.g_00378	Syar.g_03290
OG0000107	Prag.g_00378	Syat.g_02009
OG0000108	Prag.g_00459	Syap.g_02256
OG0000117	Prag.g_01298	Pral.g_01396, Pral.g_01881
OG0000124	Prag.g_01877	Syag.g_02485
OG0000131	Prag.g_00138	Syar.g_02216
OG0000132	Prag.g_00157	Syaj.g_00688
OG0000132	Prag.g_00157	Syaq.g_01036
OG0000138	Prag.g_00474	Syaj.g_02631
OG0000138	Prag.g_00474	Syak.g_01062
OG0000142	Prag.g_00613	Syab.g_01524
OG0000145	Prag.g_00758	Syar.g_03205
OG0000148	Prag.g_00822	Syab.g_01683
OG0000148	Prag.g_00822	Syaj.g_01002
OG0000158	Prag.g_01425	Syao.g_01141
OG0000159	Prag.g_01427	Syap.g_00700
OG0000173	Prag.g_01899	Syap.g_01213
OG0000188	Prag.g_00076	Syai.g_00696
OG0000205	Prag.g_00195	Praf.g_02708
OG0000224	Prag.g_00316	Syar.g_00762
OG0000230	Prag.g_00417	Syar.g_03275
OG0000250	Prag.g_00550	Syar.g_03194
OG0000253	Prag.g_00573	Syar.g_03229
OG0000259	Prag.g_00638	Syas.g_01006
OG0000268	Prag.g_00714	Syaf.g_00307
OG0000283	Prag.g_00941	Syal.g_02131
OG0000284	Prag.g_00946	Syar.g_03258
OG0000289	Prag.g_01020	Syar.g_03305
OG0000303	Prag.g_01206	Syar.g_03136
OG0000323	Prag.g_01696	Syas.g_00159
OG0000330	Prag.g_01782	Syar.g_03190
OG0000344	Prag.g_01852	Syab.g_02424
OG0000346	Prag.g_01862	Syap.g_02423
OG0000379	Prag.g_00050	Syal.g_02681
OG0001008	Prag.g_00416	Syar.g_03274
OG0001140	Prag.g_01181	Syab.g_00642
OG0001269	Prag.g_00353	Syal.g_02116
OG0001284	Prag.g_01560	Syas.g_02124
OG0001349	Prag.g_01489	Syaa.g_00454
OG0001356	Prag.g_00769	Syaf.g_02177
OG0001395	Prag.g_01023	Syal.g_00001
OG0001635	Prag.g_01634	Syao.g_02182
OG0002486	Prag.g_00325	Prau.g_01824
