Orthogroup	Prbh	Other
OG0000017	Prbh.g_00232	Praj.g_00585
OG0000017	Prbh.g_00232	Prbb.g_00598
OG0000017	Prbh.g_00232	Prbc.g_01674
OG0000017	Prbh.g_00232	Prbm.g_00628
OG0000017	Prbh.g_00232	Syar.g_03181
OG0000018	Prbh.g_01305, Prbh.g_00981	Syap.g_02708
OG0000037	Prbh.g_00674	Syat.g_01575
OG0000044	Prbh.g_01794	Syab.g_01097
OG0000052	Prbh.g_00041	Syag.g_02491
OG0000052	Prbh.g_00041	Syaa.g_00461
OG0000052	Prbh.g_00041	Syal.g_01396
OG0000052	Prbh.g_00041	Syae.g_01224
OG0000052	Prbh.g_00041	Syaq.g_00935
OG0000059	Prbh.g_01695	Syal.g_01332
OG0000061	Prbh.g_01283	Syab.g_00171
OG0000061	Prbh.g_01283	Syah.g_00215
OG0000061	Prbh.g_01283	Syaj.g_02351
OG0000061	Prbh.g_01283	Syaa.g_00469
OG0000061	Prbh.g_01283	Syap.g_00870
OG0000076	Prbh.g_01581	Syao.g_01251
OG0000093	Prbh.g_01181	Prbb.g_01606
OG0000099	Prbh.g_00032	Syai.g_00151
OG0000107	Prbh.g_01718	Syar.g_03290
OG0000107	Prbh.g_01718	Syat.g_02009
OG0000108	Prbh.g_00351	Syap.g_02256
OG0000120	Prbh.g_00031	Pras.g_00330
OG0000124	Prbh.g_01564	Syag.g_02485
OG0000131	Prbh.g_00637	Syar.g_02216
OG0000132	Prbh.g_00618	Syaq.g_01036
OG0000138	Prbh.g_00336	Syak.g_01062
OG0000138	Prbh.g_00336	Syaj.g_02631
OG0000142	Prbh.g_01218	Syab.g_01524
OG0000145	Prbh.g_01880	Syar.g_03205
OG0000148	Prbh.g_00970	Syab.g_01683
OG0000148	Prbh.g_00970	Syaj.g_01002
OG0000158	Prbh.g_01599	Syao.g_01141
OG0000159	Prbh.g_00039	Syap.g_00700
OG0000173	Prbh.g_01543	Syap.g_01213
OG0000188	Prbh.g_00701	Syai.g_00696
OG0000205	Prbh.g_00580	Praf.g_02708
OG0000224	Prbh.g_00454	Syar.g_00762
OG0000230	Prbh.g_00394	Syar.g_03275
OG0000250	Prbh.g_00257	Syar.g_03194
OG0000253	Prbh.g_00235	Syar.g_03229
OG0000259	Prbh.g_01193	Syas.g_01006
OG0000268	Prbh.g_01149	Syaf.g_00307
OG0000283	Prbh.g_01059	Syal.g_02131
OG0000284	Prbh.g_01064	Syar.g_03258
OG0000289	Prbh.g_01135	Syar.g_03305
OG0000303	Prbh.g_01225	Syar.g_03136
OG0000323	Prbh.g_01755	Syas.g_00159
OG0000330	Prbh.g_01667	Syar.g_03190
OG0000344	Prbh.g_01590	Syab.g_02424
OG0000346	Prbh.g_01580	Syap.g_02423
OG0000379	Prbh.g_00730	Syal.g_02681
OG0000390	Prbh.g_00668	Prad.g_00011
OG0001008	Prbh.g_00395	Syar.g_03274
OG0001140	Prbh.g_01249	Syab.g_00642
OG0001269	Prbh.g_01008	Syal.g_02116
OG0001284	Prbh.g_00175	Syas.g_02124
OG0001349	Prbh.g_00076	Syaa.g_00454
OG0001423	Prbh.g_01940	Syam.g_00534
OG0001488	Prbh.g_01269	Syad.g_00051, Syad.g_00050
OG0001518	Prbh.g_01522	Syal.g_02309
