Orthogroup	Prar	Other
OG0000017	Prar.g_01428	Syar.g_03181
OG0000017	Prar.g_01428	Praj.g_00585
OG0000017	Prar.g_01428	Prbb.g_00598
OG0000017	Prar.g_01428	Prbc.g_01674
OG0000017	Prar.g_01428	Prbm.g_00628
OG0000018	Prar.g_01282, Prar.g_01711	Syap.g_02708
OG0000027	Prar.g_00520	Syac.g_01009
OG0000027	Prar.g_00520	Syar.g_02835
OG0000037	Prar.g_00219	Syat.g_01575
OG0000044	Prar.g_01172	Syab.g_01097
OG0000056	Prar.g_00932	Prbc.g_01108
OG0000059	Prar.g_01090	Syal.g_01332
OG0000061	Prar.g_01263	Syab.g_00171
OG0000061	Prar.g_01263	Prbb.g_00874
OG0000061	Prar.g_01263	Syah.g_00215
OG0000061	Prar.g_01263	Pral.g_00639
OG0000061	Prar.g_01263	Syaj.g_02351
OG0000061	Prar.g_01263	Syaa.g_00469
OG0000061	Prar.g_01263	Syap.g_00870
OG0000062	Prar.g_00769	Praf.g_01047
OG0000070	Prar.g_00498	Syar.g_03150
OG0000076	Prar.g_00592, Prar.g_00653	Syao.g_01251
OG0000099	Prar.g_00872	Syai.g_00151
OG0000107	Prar.g_00446	Syar.g_03290
OG0000107	Prar.g_00446	Syat.g_02009
OG0000108	Prar.g_00530	Syap.g_02256
OG0000117	Prar.g_01003	Pral.g_01881
OG0000124	Prar.g_00668	Syag.g_02485
OG0000131	Prar.g_00182	Syar.g_02216
OG0000132	Prar.g_00163	Syaj.g_00688
OG0000132	Prar.g_00163	Syaq.g_01036
OG0000138	Prar.g_00545	Syaj.g_02631
OG0000138	Prar.g_00545	Syak.g_01062
OG0000142	Prar.g_01465	Syab.g_01524
OG0000145	Prar.g_01651	Syar.g_03205
OG0000148	Prar.g_01700	Syab.g_01683
OG0000148	Prar.g_01700	Syaj.g_01002
OG0000158	Prar.g_00375	Syao.g_01141
OG0000159	Prar.g_00380	Syap.g_00700
OG0000173	Prar.g_00690	Syap.g_01213
OG0000188	Prar.g_00246	Syai.g_00696
OG0000205	Prar.g_00125	Praf.g_02708
OG0000224	Prar.g_00262	Syar.g_00762
OG0000230	Prar.g_00486	Syar.g_03275
OG0000250	Prar.g_01401	Syar.g_03194
OG0000253	Prar.g_01425	Syar.g_03229
OG0000259	Prar.g_01490	Syas.g_01006
OG0000268	Prar.g_01621	Syaf.g_00307
OG0000283	Prar.g_01810	Syal.g_02131
OG0000284	Prar.g_01815	Syar.g_03258
OG0000289	Prar.g_01888	Syar.g_03305
OG0000303	Prar.g_01210	Syar.g_03136
OG0000323	Prar.g_01967	Syas.g_00159
OG0000330	Prar.g_01049	Syar.g_03190
OG0000344	Prar.g_00645	Syab.g_02424
OG0000346	Prar.g_00654	Syap.g_02423
OG0000379	Prar.g_00569	Syal.g_02681
OG0000771	Prar.g_00376	Prau.g_01496
OG0001008	Prar.g_00485	Syar.g_03274
OG0001140	Prar.g_01235	Syab.g_00642
OG0001269	Prar.g_00419	Syal.g_02116
OG0001284	Prar.g_00777	Syas.g_02124
OG0001349	Prar.g_00867	Syaa.g_00454
OG0001356	Prar.g_01181	Syaf.g_02177
OG0001395	Prar.g_01891	Syal.g_00001
OG0001399	Prar.g_01071	Syak.g_01977
OG0001399	Prar.g_01071	Syal.g_00434
OG0001399	Prar.g_01071	Syas.g_02459
OG0001399	Prar.g_01071	Syad.g_02336
OG0001399	Prar.g_01071	Syaf.g_00697
OG0001399	Prar.g_01071	Prbc.g_00264, Prbc.g_01136, Prbc.g_01235
OG0001399	Prar.g_01071	Prbi.g_01884
OG0001399	Prar.g_01071	Prbi.g_01884
OG0001423	Prar.g_01560	Syam.g_00534
OG0002033	Prar.g_01072	Prav.g_00942
OG0002033	Prar.g_01072	Pras.g_00230
OG0002033	Prar.g_01072	Prbi.g_01885, Prbi.g_01410, Prbi.g_00152
OG0002033	Prar.g_01072	Prab.g_01344
OG0002033	Prar.g_01072	Pran.g_00857
OG0002033	Prar.g_01072	Prai.g_00145
OG0002033	Prar.g_01072	Prae.g_01348
OG0002033	Prar.g_01072	Pray.g_01851
OG0002033	Prar.g_01072	Praz.g_01161
OG0002033	Prar.g_01072	Prba.g_01211
