Orthogroup	Praw	Other
OG0000017	Praw.g_01944	Syar.g_03181
OG0000017	Praw.g_01944	Praj.g_00585
OG0000017	Praw.g_01944	Prbb.g_00598
OG0000017	Praw.g_01944	Prbc.g_01674
OG0000017	Praw.g_01944	Prbm.g_00628
OG0000018	Praw.g_00215, Praw.g_01670	Syap.g_02708
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syac.g_01009
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syar.g_02835
OG0000037	Praw.g_01326	Syat.g_01575
OG0000052	Praw.g_01071	Syal.g_01396
OG0000052	Praw.g_01071	Syae.g_01224
OG0000052	Praw.g_01071	Syaq.g_00935
OG0000052	Praw.g_01071	Syag.g_02491
OG0000052	Praw.g_01071	Syaa.g_00461
OG0000059	Praw.g_01894	Syal.g_01332
OG0000061	Praw.g_00234	Syab.g_00171
OG0000061	Praw.g_00234	Prbb.g_00874
OG0000061	Praw.g_00234	Syah.g_00215
OG0000061	Praw.g_00234	Pral.g_00639
OG0000061	Praw.g_00234	Syaj.g_02351
OG0000061	Praw.g_00234	Syaa.g_00469
OG0000061	Praw.g_00234	Syap.g_00870
OG0000062	Praw.g_00415	Praf.g_01047
OG0000070	Praw.g_00697	Syar.g_03150
OG0000076	Praw.g_00039	Syao.g_01251
OG0000099	Praw.g_01051	Syai.g_00151
OG0000107	Praw.g_00748	Syar.g_03290
OG0000107	Praw.g_00748	Syat.g_02009
OG0000108	Praw.g_00667	Syap.g_02256
OG0000117	Praw.g_00926	Pral.g_01396, Pral.g_01881
OG0000124	Praw.g_00023	Syag.g_02485
OG0000131	Praw.g_01290	Syar.g_02216
OG0000132	Praw.g_01271	Syaj.g_00688
OG0000132	Praw.g_01271	Syaq.g_01036
OG0000138	Praw.g_00653	Syaj.g_02631
OG0000138	Praw.g_00653	Syak.g_01062
OG0000142	Praw.g_01887	Syab.g_01524
OG0000145	Praw.g_01745	Syar.g_03205
OG0000148	Praw.g_01681	Syab.g_01683
OG0000148	Praw.g_01681	Syaj.g_01002
OG0000158	Praw.g_01052	Syao.g_01141
OG0000159	Praw.g_01054	Syap.g_00700
OG0000173	Praw.g_00001	Syap.g_01213
OG0000188	Praw.g_01352	Syai.g_00696
OG0000205	Praw.g_01233	Praf.g_02708
OG0000224	Praw.g_00809	Syar.g_00762
OG0000230	Praw.g_00709	Syar.g_03275
OG0000250	Praw.g_00577	Syar.g_03194
OG0000253	Praw.g_01941	Syar.g_03229
OG0000259	Praw.g_01862	Syas.g_01006
OG0000268	Praw.g_01787	Syaf.g_00307
OG0000283	Praw.g_01562	Syal.g_02131
OG0000284	Praw.g_01557	Syar.g_03258
OG0000289	Praw.g_01483	Syar.g_03305
OG0000303	Praw.g_00287	Syar.g_03136
OG0000323	Praw.g_00542	Syas.g_00159
OG0000330	Praw.g_00118	Syar.g_03190
OG0000344	Praw.g_00048	Syab.g_02424
OG0000346	Praw.g_00038	Syap.g_02423
OG0000379	Praw.g_01378	Syal.g_02681
OG0001008	Praw.g_00710	Syar.g_03274
OG0001140	Praw.g_00262	Syab.g_00642
OG0001269	Praw.g_00773	Syal.g_02116
OG0001284	Praw.g_00407	Syas.g_02124
OG0001349	Praw.g_01082	Syaa.g_00454
OG0001356	Praw.g_01734	Syaf.g_02177
OG0001395	Praw.g_01480	Syal.g_00001
OG0001635	Praw.g_00480	Syao.g_02182
OG0002486	Praw.g_00800	Prau.g_01824
