Orthogroup	Praj	Other
OG0000017	Praj.g_00585	Prak.g_00559
OG0000017	Praj.g_00585	Pral.g_00491
OG0000017	Praj.g_00585	Pram.g_00535
OG0000017	Praj.g_00585	Prap.g_01170
OG0000017	Praj.g_00585	Prat.g_00560
OG0000017	Praj.g_00585	Prbe.g_00536
OG0000017	Praj.g_00585	Prbf.g_01880
OG0000017	Praj.g_00585	Prbg.g_00317
OG0000017	Praj.g_00585	Prbh.g_00232
OG0000017	Praj.g_00585	Prbn.g_00517
OG0000017	Praj.g_00585	Syaa.g_01890
OG0000017	Praj.g_00585	Syab.g_01953
OG0000017	Praj.g_00585	Syac.g_01749
OG0000017	Praj.g_00585	Syad.g_01084
OG0000017	Praj.g_00585	Syae.g_02462
OG0000017	Praj.g_00585	Syaf.g_02561
OG0000017	Praj.g_00585	Syag.g_00336
OG0000017	Praj.g_00585	Syah.g_01152
OG0000017	Praj.g_00585	Syai.g_00801
OG0000017	Praj.g_00585	Syaj.g_00248
OG0000017	Praj.g_00585	Syal.g_02752
OG0000017	Praj.g_00585	Syam.g_01715
OG0000017	Praj.g_00585	Syaq.g_01992
OG0000017	Praj.g_00585	Praf.g_00752
OG0000017	Praj.g_00585	Prbj.g_01769
OG0000017	Praj.g_00585	Prbk.g_01142
OG0000017	Praj.g_00585	Prbl.g_01763
OG0000017	Praj.g_00585	Syak.g_02730
OG0000017	Praj.g_00585	Syar.g_03181
OG0000017	Praj.g_00585	Syar.g_03181
OG0000017	Praj.g_00585	Praa.g_00598
OG0000017	Praj.g_00585	Prac.g_00773
OG0000017	Praj.g_00585	Prad.g_01387
OG0000017	Praj.g_00585	Prae.g_00572
OG0000017	Praj.g_00585	Prag.g_00576
OG0000017	Praj.g_00585	Prao.g_00036
OG0000017	Praj.g_00585	Praq.g_01004
OG0000017	Praj.g_00585	Prar.g_01428
OG0000017	Praj.g_00585	Pras.g_01474
OG0000017	Praj.g_00585	Prau.g_00636
OG0000017	Praj.g_00585	Prav.g_01194
