Orthogroup	Pram	Other
OG0000017	Pram.g_00535	Praj.g_00585
OG0000017	Pram.g_00535	Prbb.g_00598
OG0000017	Pram.g_00535	Prbc.g_01674
OG0000017	Pram.g_00535	Prbm.g_00628
OG0000017	Pram.g_00535	Syar.g_03181
OG0000018	Pram.g_01162, Pram.g_00837	Syap.g_02708
OG0000037	Pram.g_00093	Syat.g_01575
OG0000044	Pram.g_01620	Syab.g_01097
OG0000052	Pram.g_01436	Syag.g_02491
OG0000052	Pram.g_01436	Syaa.g_00461
OG0000052	Pram.g_01436	Syal.g_01396
OG0000052	Pram.g_01436	Syae.g_01224
OG0000052	Pram.g_01436	Syaq.g_00935
OG0000059	Pram.g_01719	Syal.g_01332
OG0000061	Pram.g_01140	Syab.g_00171
OG0000061	Pram.g_01140	Syah.g_00215
OG0000061	Pram.g_01140	Syaj.g_02351
OG0000061	Pram.g_01140	Syaa.g_00469
OG0000061	Pram.g_01140	Syap.g_00870
OG0000076	Pram.g_01833	Syao.g_01251
OG0000093	Pram.g_01038	Prbb.g_01606
OG0000099	Pram.g_01445	Syai.g_00151
OG0000107	Pram.g_01696	Syar.g_03290
OG0000107	Pram.g_01696	Syat.g_02009
OG0000108	Pram.g_00416	Syap.g_02256
OG0000120	Pram.g_01446	Pras.g_00330
OG0000124	Pram.g_01850	Syag.g_02485
OG0000131	Pram.g_00130	Syar.g_02216
OG0000132	Pram.g_00149	Syaq.g_01036
OG0000138	Pram.g_00431	Syak.g_01062
OG0000138	Pram.g_00431	Syaj.g_02631
OG0000142	Pram.g_01075	Syab.g_01524
OG0000145	Pram.g_01534	Syar.g_03205
OG0000148	Pram.g_00826	Syab.g_01683
OG0000148	Pram.g_00826	Syaj.g_01002
OG0000158	Pram.g_01815	Syao.g_01141
OG0000159	Pram.g_01438	Syap.g_00700
OG0000173	Pram.g_01871	Syap.g_01213
OG0000188	Pram.g_00066	Syai.g_00696
OG0000205	Pram.g_00187	Praf.g_02708
OG0000224	Pram.g_00313	Syar.g_00762
OG0000230	Pram.g_00373	Syar.g_03275
OG0000250	Pram.g_00510	Syar.g_03194
OG0000253	Pram.g_00532	Syar.g_03229
OG0000259	Pram.g_01050	Syas.g_01006
OG0000268	Pram.g_01006	Syaf.g_00307
OG0000283	Pram.g_00916	Syal.g_02131
OG0000284	Pram.g_00921	Syar.g_03258
OG0000289	Pram.g_00992	Syar.g_03305
OG0000303	Pram.g_01082	Syar.g_03136
OG0000323	Pram.g_01659	Syas.g_00159
OG0000330	Pram.g_01747	Syar.g_03190
OG0000344	Pram.g_01824	Syab.g_02424
OG0000346	Pram.g_01834	Syap.g_02423
OG0000379	Pram.g_00037	Syal.g_02681
OG0000390	Pram.g_00099	Prad.g_00011
OG0001008	Pram.g_00372	Syar.g_03274
OG0001140	Pram.g_01106	Syab.g_00642
OG0001269	Pram.g_00864	Syal.g_02116
OG0001284	Pram.g_01302	Syas.g_02124
OG0001349	Pram.g_01401	Syaa.g_00454
OG0001423	Pram.g_00613	Syam.g_00534
OG0001488	Pram.g_01126	Syad.g_00051, Syad.g_00050
OG0001518	Pram.g_01892	Syal.g_02309
