Orthogroup	Prao	Other
OG0000017	Prao.g_00036	Syar.g_03181
OG0000017	Prao.g_00036	Praj.g_00585
OG0000017	Prao.g_00036	Prbb.g_00598
OG0000017	Prao.g_00036	Prbc.g_01674
OG0000017	Prao.g_00036	Prbm.g_00628
OG0000018	Prao.g_01108, Prao.g_00768	Syap.g_02708
OG0000027	Prao.g_00576, Prao.g_01293	Syac.g_01009
OG0000027	Prao.g_00576, Prao.g_01293	Syar.g_02835
OG0000037	Prao.g_00247	Syat.g_01575
OG0000059	Prao.g_01639	Syal.g_01332
OG0000061	Prao.g_01089	Syab.g_00171
OG0000061	Prao.g_01089	Prbb.g_00874
OG0000061	Prao.g_01089	Syah.g_00215
OG0000061	Prao.g_01089	Pral.g_00639
OG0000061	Prao.g_01089	Syaj.g_02351
OG0000061	Prao.g_01089	Syaa.g_00469
OG0000061	Prao.g_01089	Syap.g_00870
OG0000062	Prao.g_01474	Praf.g_01047
OG0000070	Prao.g_00554	Syar.g_03150
OG0000076	Prao.g_01743	Syao.g_01251
OG0000099	Prao.g_01214	Syai.g_00151
OG0000107	Prao.g_00518	Syar.g_03290
OG0000107	Prao.g_00518	Syat.g_02009
OG0000108	Prao.g_00586	Syap.g_02256
OG0000117	Prao.g_01332	Pral.g_01396, Pral.g_01881
OG0000120	Prao.g_01215	Pras.g_00330
OG0000124	Prao.g_01759	Syag.g_02485
OG0000131	Prao.g_00283	Syar.g_02216
OG0000132	Prao.g_00302	Syaj.g_00688
OG0000132	Prao.g_00302	Syaq.g_01036
OG0000138	Prao.g_00601	Syaj.g_02631
OG0000138	Prao.g_00601	Syak.g_01062
OG0000142	Prao.g_00074	Syab.g_01524
OG0000145	Prao.g_00701	Syar.g_03205
OG0000148	Prao.g_00757	Syab.g_01683
OG0000148	Prao.g_00757	Syaj.g_01002
OG0000158	Prao.g_01220	Syao.g_01141
OG0000159	Prao.g_01219	Syap.g_00700
OG0000173	Prao.g_01782	Syap.g_01213
OG0000188	Prao.g_00221	Syai.g_00696
OG0000205	Prao.g_00340	Praf.g_02708
OG0000224	Prao.g_00461	Syar.g_00762
OG0000230	Prao.g_00542	Syar.g_03275
OG0000250	Prao.g_01864	Syar.g_03194
OG0000253	Prao.g_00033	Syar.g_03229
OG0000259	Prao.g_00099	Syas.g_01006
OG0000268	Prao.g_00670	Syaf.g_00307
OG0000283	Prao.g_00879	Syal.g_02131
OG0000284	Prao.g_00884	Syar.g_03258
OG0000289	Prao.g_00958	Syar.g_03305
OG0000303	Prao.g_01036	Syar.g_03136
OG0000323	Prao.g_01579	Syas.g_00159
OG0000330	Prao.g_01665	Syar.g_03190
OG0000344	Prao.g_01735	Syab.g_02424
OG0000346	Prao.g_01744	Syap.g_02423
OG0000379	Prao.g_00196	Syal.g_02681
OG0001008	Prao.g_00541	Syar.g_03274
OG0001140	Prao.g_01061	Syab.g_00642
OG0001269	Prao.g_00493	Syal.g_02116
OG0001284	Prao.g_01466	Syas.g_02124
OG0001395	Prao.g_00961	Syal.g_00001
OG0001412	Prao.g_01190	Syat.g_00584
OG0001412	Prao.g_01190	Syaa.g_01020
OG0001423	Prao.g_01368	Syam.g_00534
OG0001505	Prao.g_01205	Prav.g_01548
OG0001748	Prao.g_00152	Syah.g_00554
