Orthogroup	Prax	Other
OG0000017	Prax.g_00057	Syar.g_03181
OG0000017	Prax.g_00057	Praj.g_00585
OG0000017	Prax.g_00057	Prbb.g_00598
OG0000017	Prax.g_00057	Prbc.g_01674
OG0000017	Prax.g_00057	Prbm.g_00628
OG0000018	Prax.g_00181, Prax.g_00346	Syap.g_02708
OG0000027	Prax.g_01916	Syac.g_01009
OG0000027	Prax.g_01916	Syar.g_02835
OG0000037	Prax.g_01110	Syat.g_01575
OG0000059	Prax.g_01286	Syal.g_01332
OG0000061	Prax.g_00200	Syab.g_00171
OG0000061	Prax.g_00200	Prbb.g_00874
OG0000061	Prax.g_00200	Syah.g_00215
OG0000061	Prax.g_00200	Pral.g_00639
OG0000061	Prax.g_00200	Syaj.g_02351
OG0000061	Prax.g_00200	Syaa.g_00469
OG0000061	Prax.g_00200	Syap.g_00870
OG0000062	Prax.g_01650	Praf.g_01047
OG0000070	Prax.g_00750	Syar.g_03150
OG0000076	Prax.g_01394	Syao.g_01251
OG0000093	Prax.g_01769	Prbb.g_01606
OG0000099	Prax.g_01825	Syai.g_00151
OG0000107	Prax.g_00790	Syar.g_03290
OG0000107	Prax.g_00790	Syat.g_02009
OG0000108	Prax.g_00722	Syap.g_02256
OG0000117	Prax.g_01959	Pral.g_01881
OG0000124	Prax.g_01410	Syag.g_02485
OG0000131	Prax.g_01073	Syar.g_02216
OG0000132	Prax.g_01054	Syaj.g_00688
OG0000132	Prax.g_01054	Syaq.g_01036
OG0000138	Prax.g_00706	Syaj.g_02631
OG0000138	Prax.g_00706	Syak.g_01062
OG0000142	Prax.g_00094	Syab.g_01524
OG0000145	Prax.g_00413	Syar.g_03205
OG0000148	Prax.g_00357	Syab.g_01683
OG0000148	Prax.g_00357	Syaj.g_01002
OG0000158	Prax.g_01780	Syao.g_01141
OG0000173	Prax.g_01433	Syap.g_01213
OG0000188	Prax.g_00653	Syai.g_00696
OG0000205	Prax.g_01016	Praf.g_02708
OG0000224	Prax.g_00848	Syar.g_00762
OG0000230	Prax.g_00762	Syar.g_03275
OG0000250	Prax.g_00032	Syar.g_03194
OG0000253	Prax.g_00054	Syar.g_03229
OG0000259	Prax.g_00119	Syas.g_01006
OG0000268	Prax.g_00463	Syaf.g_00307
OG0000283	Prax.g_00597	Syal.g_02131
OG0000284	Prax.g_00602	Syar.g_03258
OG0000289	Prax.g_01188	Syar.g_03305
OG0000303	Prax.g_00253	Syar.g_03136
OG0000323	Prax.g_01532	Syas.g_00159
OG0000330	Prax.g_01316	Syar.g_03190
OG0000344	Prax.g_01386	Syab.g_02424
OG0000346	Prax.g_01395	Syap.g_02423
OG0000379	Prax.g_00625	Syal.g_02681
OG0000771	Prax.g_01789	Prau.g_01496
OG0001008	Prax.g_00763	Syar.g_03274
OG0001140	Prax.g_00228	Syab.g_00642
OG0001264	Prax.g_01976	Praa.g_01221
OG0001269	Prax.g_00814	Syal.g_02116
OG0001284	Prax.g_01658	Syas.g_02124
OG0001349	Prax.g_01820	Syaa.g_00454
OG0001356	Prax.g_00527	Syaf.g_02177
OG0001395	Prax.g_01191	Syal.g_00001
OG0001588	Prax.g_01756	Praf.g_02600
OG0001635	Prax.g_01586	Syao.g_02182
